item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel . ,full_sentence_processing,-7.401591581456802,-6.58907037032278,0.8125212111340216,-125.82705688476562,-125.19233703613281,0.6347198486328125,17,19,passive,1.0
2,processing_teacher_forced,no_prime_eos,no_prime_eos,,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|> ,full_sentence_processing,-7.892572739545037,-7.224613390470806,0.6679593490742315,-134.17373657226562,-137.2676544189453,-3.0939178466796875,17,19,passive,1.0
2,processing_teacher_forced,no_prime_empty,no_prime_empty,,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,,full_sentence_processing,-7.697179457720588,-7.006552445261102,0.690627012459486,-130.85205078125,-133.12449645996094,-2.2724456787109375,17,19,passive,1.0
2,processing_teacher_forced,filler,filler,The plinter drossed in marven .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,The plinter drossed in marven . ,full_sentence_processing,-7.840298820944393,-6.995319567228618,0.844979253715775,-133.2850799560547,-132.91107177734375,0.3740081787109375,17,19,passive,1.0
3,processing_teacher_forced,active,active,a klogafrud kvevarmured a kvesorrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a klogafrud kvevarmured a kvesorrud . ,full_sentence_processing,-7.129502296447754,-6.709264967176649,0.4202373292711048,-114.07203674316406,-120.76676940917969,-6.694732666015625,16,18,passive,1.0
3,processing_teacher_forced,passive,passive,a kvesorrud was kvevarmured by a klogafrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a kvesorrud was kvevarmured by a klogafrud . ,full_sentence_processing,-7.180226802825928,-6.493015713161892,0.6872110896640358,-114.88362884521484,-116.87428283691406,-1.9906539916992188,16,18,passive,1.0
3,processing_teacher_forced,no_prime_eos,no_prime_eos,,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|> ,full_sentence_processing,-8.313883781433105,-7.598125881618923,0.7157578998141823,-133.0221405029297,-136.76626586914062,-3.7441253662109375,16,18,passive,1.0
3,processing_teacher_forced,no_prime_empty,no_prime_empty,,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,,full_sentence_processing,-7.979119777679443,-7.270362006293403,0.7087577713860407,-127.6659164428711,-130.86651611328125,-3.2005996704101562,16,18,passive,1.0
3,processing_teacher_forced,filler,filler,The claven morged through selven .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,The claven morged through selven . ,full_sentence_processing,-7.54122257232666,-7.180004543728298,0.36121802859836194,-120.65956115722656,-129.24008178710938,-8.580520629882812,16,18,passive,1.0
4,processing_teacher_forced,active,active,a vratorrud kvesornefs a zlosillom .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a vratorrud kvesornefs a zlosillom . ,full_sentence_processing,-7.180593490600586,-6.405704074435764,0.7748894161648217,-114.88949584960938,-115.30267333984375,-0.413177490234375,16,18,passive,1.0
4,processing_teacher_forced,passive,passive,a zlosillom is kvesornefed by a vratorrud .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a zlosillom is kvesornefed by a vratorrud . ,full_sentence_processing,-6.523859024047852,-5.729712592230903,0.7941464318169489,-104.38174438476562,-103.13482666015625,1.246917724609375,16,18,passive,1.0
4,processing_teacher_forced,no_prime_eos,no_prime_eos,,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|endoftext|> ,full_sentence_processing,-7.743454933166504,-7.043464660644531,0.6999902725219727,-123.89527893066406,-126.78236389160156,-2.8870849609375,16,18,passive,1.0
4,processing_teacher_forced,no_prime_empty,no_prime_empty,,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,,full_sentence_processing,-7.219141960144043,-6.698886871337891,0.5202550888061523,-115.50627136230469,-120.57996368408203,-5.073692321777344,16,18,passive,1.0
4,processing_teacher_forced,filler,filler,The trassel fented beside murven .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,The trassel fented beside murven . ,full_sentence_processing,-7.348359107971191,-6.731000264485677,0.6173588434855146,-117.57374572753906,-121.15800476074219,-3.584259033203125,16,18,passive,1.0
5,processing_teacher_forced,active,active,a frataflom zraruklomed a druvarmur .,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,a frataflom zraruklomed a druvarmur . ,full_sentence_processing,-5.676898956298828,-5.613619995117188,0.06327896118164045,-102.1841812133789,-112.27239990234375,-10.088218688964844,18,20,passive,1.0
5,processing_teacher_forced,passive,passive,a druvarmur was zraruklomed by a frataflom .,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,a druvarmur was zraruklomed by a frataflom . ,full_sentence_processing,-5.4180581834581165,-5.324496459960938,0.09356172349717884,-97.5250473022461,-106.48992919921875,-8.964881896972656,18,20,passive,1.0
5,processing_teacher_forced,no_prime_eos,no_prime_eos,,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,<|endoftext|> ,full_sentence_processing,-6.31745105319553,-6.369729614257812,-0.052278561062282236,-113.71411895751953,-127.39459228515625,-13.680473327636719,18,20,active,0.0
5,processing_teacher_forced,no_prime_empty,no_prime_empty,,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,,full_sentence_processing,-6.147344801161024,-6.109445953369141,0.03789884779188313,-110.65220642089844,-122.18891906738281,-11.536712646484375,18,20,passive,1.0
5,processing_teacher_forced,filler,filler,The drimlet vorked before talven .,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,The drimlet vorked before talven . ,full_sentence_processing,-5.83180406358507,-5.893880081176758,-0.06207601759168835,-104.97247314453125,-117.87760162353516,-12.905128479003906,18,20,active,0.0
6,processing_teacher_forced,active,active,a vranorked smegafdiled a smezemlom .,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,a vranorked smegafdiled a smezemlom . ,full_sentence_processing,-5.790583610534668,-5.556980556911892,0.233603053622776,-92.64933776855469,-100.02565002441406,-7.376312255859375,16,18,passive,1.0
6,processing_teacher_forced,passive,passive,a smezemlom was smegafdiled by a vranorked .,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,a smezemlom was smegafdiled by a vranorked . ,full_sentence_processing,-5.8318634033203125,-5.310768127441406,0.5210952758789062,-93.309814453125,-95.59382629394531,-2.2840118408203125,16,18,passive,1.0
6,processing_teacher_forced,no_prime_eos,no_prime_eos,,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,<|endoftext|> ,full_sentence_processing,-7.500118732452393,-6.802829318576389,0.6972894138760033,-120.00189971923828,-122.450927734375,-2.4490280151367188,16,18,passive,1.0
6,processing_teacher_forced,no_prime_empty,no_prime_empty,,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,,full_sentence_processing,-6.976661205291748,-6.379238128662109,0.5974230766296387,-111.62657928466797,-114.82628631591797,-3.19970703125,16,18,passive,1.0
6,processing_teacher_forced,filler,filler,The drimlet vorked before talven .,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,The drimlet vorked before talven . ,full_sentence_processing,-6.634093761444092,-6.347579108344184,0.28651465309990787,-106.14550018310547,-114.25642395019531,-8.110923767089844,16,18,passive,1.0
7,processing_teacher_forced,active,active,the skozemdil zrazemgors the plolodnef .,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,the skozemdil zrazemgors the plolodnef . ,full_sentence_processing,-6.87033748626709,-6.576617770724827,0.29371971554226306,-109.92539978027344,-118.37911987304688,-8.453720092773438,16,18,passive,1.0
7,processing_teacher_forced,passive,passive,the plolodnef is zrazemgored by the skozemdil .,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,the plolodnef is zrazemgored by the skozemdil . ,full_sentence_processing,-6.732210159301758,-6.093927171495226,0.6382829878065319,-107.71536254882812,-109.69068908691406,-1.9753265380859375,16,18,passive,1.0
7,processing_teacher_forced,no_prime_eos,no_prime_eos,,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,<|endoftext|> ,full_sentence_processing,-7.544322967529297,-6.765936109754774,0.7783868577745228,-120.70916748046875,-121.78684997558594,-1.0776824951171875,16,18,passive,1.0
7,processing_teacher_forced,no_prime_empty,no_prime_empty,,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,,full_sentence_processing,-7.150933265686035,-6.377470228407118,0.7734630372789173,-114.41493225097656,-114.79446411132812,-0.3795318603515625,16,18,passive,1.0
7,processing_teacher_forced,filler,filler,The drasken yelped on fralden .,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,The drasken yelped on fralden . ,full_sentence_processing,-6.988720893859863,-6.457902272542317,0.5308186213175459,-111.81953430175781,-116.24224090576172,-4.422706604003906,16,18,passive,1.0
8,processing_teacher_forced,active,active,the vrefimdil drupemzirs the zraduldil .,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,the vrefimdil drupemzirs the zraduldil . ,full_sentence_processing,-6.9579644203186035,-6.534600575764974,0.42336384455362985,-111.32743072509766,-117.62281036376953,-6.295379638671875,16,18,passive,1.0
8,processing_teacher_forced,passive,passive,the zraduldil is drupemzired by the vrefimdil .,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,the zraduldil is drupemzired by the vrefimdil . ,full_sentence_processing,-6.819112777709961,-5.961594475640191,0.8575183020697699,-109.10580444335938,-107.30870056152344,1.7971038818359375,16,18,passive,1.0
8,processing_teacher_forced,no_prime_eos,no_prime_eos,,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,<|endoftext|> ,full_sentence_processing,-8.45870590209961,-7.351877000596788,1.106828901502821,-135.33929443359375,-132.3337860107422,3.0055084228515625,16,18,passive,1.0
8,processing_teacher_forced,no_prime_empty,no_prime_empty,,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,,full_sentence_processing,-7.280197620391846,-7.155546400282118,0.12465122010972784,-116.48316192626953,-128.79983520507812,-12.316673278808594,16,18,passive,1.0
8,processing_teacher_forced,filler,filler,The vornel stonned during nalven .,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,The vornel stonned during nalven . ,full_sentence_processing,-7.346704006195068,-6.839864095052083,0.5068399111429853,-117.5472640991211,-123.1175537109375,-5.570289611816406,16,18,passive,1.0
9,processing_teacher_forced,active,active,a smezemlom grinelloms a brikudtas .,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,a smezemlom grinelloms a brikudtas . ,full_sentence_processing,-7.4826609293619795,-6.7102203369140625,0.772440592447917,-112.23991394042969,-114.07374572753906,-1.833831787109375,15,17,passive,1.0
9,processing_teacher_forced,passive,passive,a brikudtas is grinellomed by a smezemlom .,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,a brikudtas is grinellomed by a smezemlom . ,full_sentence_processing,-7.214313252766927,-6.212668026194853,1.0016452265720739,-108.2146987915039,-105.6153564453125,2.5993423461914062,15,17,passive,1.0
9,processing_teacher_forced,no_prime_eos,no_prime_eos,,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,<|endoftext|> ,full_sentence_processing,-8.661960856119792,-7.526640948127298,1.1353199079924945,-129.92941284179688,-127.95289611816406,1.9765167236328125,15,17,passive,1.0
9,processing_teacher_forced,no_prime_empty,no_prime_empty,,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,,full_sentence_processing,-8.07301737467448,-7.4149026309742645,0.6581147437002155,-121.09526062011719,-126.0533447265625,-4.9580841064453125,15,17,passive,1.0
9,processing_teacher_forced,filler,filler,The noster glimmed near varset .,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,The noster glimmed near varset . ,full_sentence_processing,-8.018192545572917,-7.1952213960535385,0.822971149519379,-120.27288818359375,-122.31876373291016,-2.0458755493164062,15,17,passive,1.0
10,processing_teacher_forced,active,active,a smezemlom kvevarmurs a plovakzir .,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,a smezemlom kvevarmurs a plovakzir . ,full_sentence_processing,-6.492831959443934,-5.972797996119449,0.5200339633244848,-110.37814331054688,-113.48316192626953,-3.1050186157226562,17,19,passive,1.0
10,processing_teacher_forced,passive,passive,a plovakzir is kvevarmured by a smezemlom .,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,a plovakzir is kvevarmured by a smezemlom . ,full_sentence_processing,-6.369645511402803,-5.6248626708984375,0.7447828405043655,-108.28397369384766,-106.87239074707031,1.4115829467773438,17,19,passive,1.0
10,processing_teacher_forced,no_prime_eos,no_prime_eos,,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,<|endoftext|> ,full_sentence_processing,-7.813121122472427,-6.526539852744655,1.2865812697277716,-132.82305908203125,-124.00425720214844,8.818801879882812,17,19,passive,1.0
10,processing_teacher_forced,no_prime_empty,no_prime_empty,,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,,full_sentence_processing,-7.36929635440602,-6.350678694875617,1.0186176595304035,-125.27803802490234,-120.66289520263672,4.615142822265625,17,19,passive,1.0
10,processing_teacher_forced,filler,filler,The trasket draved on molven .,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,The trasket draved on molven . ,full_sentence_processing,-7.207404192756204,-6.327340377004523,0.8800638157516811,-122.52587127685547,-120.21946716308594,2.3064041137695312,17,19,passive,1.0
11,processing_teacher_forced,active,active,a mnidulzom kvevarmured a smepimzir .,the zraduldil kvezemrabs the tlumolvek .,the tlumolvek is kvezemrabed by the zraduldil .,a mnidulzom kvevarmured a smepimzir . ,full_sentence_processing,-6.7040400785558365,-6.2370043302837175,0.467035748272119,-113.96868133544922,-118.50308227539062,-4.534400939941406,17,19,passive,1.0
11,processing_teacher_forced,passive,passive,a smepimzir was kvevarmured by a mnidulzom .,the zraduldil kvezemrabs the tlumolvek .,the tlumolvek is kvezemrabed by the zraduldil .,a smepimzir was kvevarmured by a mnidulzom . ,full_sentence_processing,-6.697534897748162,-5.820695575914885,0.8768393218332768,-113.85809326171875,-110.59321594238281,3.2648773193359375,17,19,passive,1.0
11,processing_teacher_forced,no_prime_eos,no_prime_eos,,the zraduldil kvezemrabs the tlumolvek .,the tlumolvek is kvezemrabed by the zraduldil .,<|endoftext|> ,full_sentence_processing,-7.906933952780331,-7.429327713815789,0.47760623896454124,-134.41787719726562,-141.1572265625,-6.739349365234375,17,19,passive,1.0
11,processing_teacher_forced,no_prime_empty,no_prime_empty,,the zraduldil kvezemrabs the tlumolvek .,the tlumolvek is kvezemrabed by the zraduldil .,,full_sentence_processing,-7.796150656307445,-7.136348523591694,0.6598021327157504,-132.53456115722656,-135.5906219482422,-3.056060791015625,17,19,passive,1.0
11,processing_teacher_forced,filler,filler,The noster glimmed near varset .,the zraduldil kvezemrabs the tlumolvek .,the tlumolvek is kvezemrabed by the zraduldil .,The noster glimmed near varset . ,full_sentence_processing,-7.582345401539522,-7.008547331157484,0.573798070382038,-128.89987182617188,-133.1623992919922,-4.2625274658203125,17,19,passive,1.0
12,processing_teacher_forced,active,active,the vramolsim vregafvols the smekudlom .,a fradulvek grineldiled a tlumolvek .,a tlumolvek was grineldiled by a fradulvek .,the vramolsim vregafvols the smekudlom . ,full_sentence_processing,-6.599469353170956,-6.281645925421464,0.31782342774949157,-112.19097900390625,-119.35127258300781,-7.1602935791015625,17,19,passive,1.0
12,processing_teacher_forced,passive,passive,the smekudlom is vregafvoled by the vramolsim .,a fradulvek grineldiled a tlumolvek .,a tlumolvek was grineldiled by a fradulvek .,the smekudlom is vregafvoled by the vramolsim . ,full_sentence_processing,-6.526856366325827,-6.091519405967311,0.43533696035851577,-110.95655822753906,-115.7388687133789,-4.782310485839844,17,19,passive,1.0
12,processing_teacher_forced,no_prime_eos,no_prime_eos,,a fradulvek grineldiled a tlumolvek .,a tlumolvek was grineldiled by a fradulvek .,<|endoftext|> ,full_sentence_processing,-7.286278219784007,-7.5135144685444075,-0.22723624876040027,-123.86672973632812,-142.75677490234375,-18.890045166015625,17,19,active,0.0
12,processing_teacher_forced,no_prime_empty,no_prime_empty,,a fradulvek grineldiled a tlumolvek .,a tlumolvek was grineldiled by a fradulvek .,,full_sentence_processing,-7.019021426930147,-6.663319637900905,0.35570178902924177,-119.3233642578125,-126.60307312011719,-7.2797088623046875,17,19,passive,1.0
12,processing_teacher_forced,filler,filler,The claven morged through selven .,a fradulvek grineldiled a tlumolvek .,a tlumolvek was grineldiled by a fradulvek .,The claven morged through selven . ,full_sentence_processing,-6.926769480985754,-6.691625494706003,0.2351439862797502,-117.75508117675781,-127.14088439941406,-9.38580322265625,17,19,passive,1.0
13,processing_teacher_forced,active,active,a vretortas drupemzirs a grivarbav .,the pnezebkul grifimlomed the smevakrab .,the smevakrab was grifimlomed by the pnezebkul .,a vretortas drupemzirs a grivarbav . ,full_sentence_processing,-7.355051826028263,-6.779779534590872,0.5752722914373916,-125.03588104248047,-128.81581115722656,-3.7799301147460938,17,19,passive,1.0
13,processing_teacher_forced,passive,passive,a grivarbav is drupemzired by a vretortas .,the pnezebkul grifimlomed the smevakrab .,the smevakrab was grifimlomed by the pnezebkul .,a grivarbav is drupemzired by a vretortas . ,full_sentence_processing,-6.971232694738052,-6.180952373303865,0.7902803214341869,-118.51095581054688,-117.43809509277344,1.0728607177734375,17,19,passive,1.0
13,processing_teacher_forced,no_prime_eos,no_prime_eos,,the pnezebkul grifimlomed the smevakrab .,the smevakrab was grifimlomed by the pnezebkul .,<|endoftext|> ,full_sentence_processing,-7.910578110638787,-7.001484118009868,0.909093992628919,-134.47982788085938,-133.0281982421875,1.451629638671875,17,19,passive,1.0
13,processing_teacher_forced,no_prime_empty,no_prime_empty,,the pnezebkul grifimlomed the smevakrab .,the smevakrab was grifimlomed by the pnezebkul .,,full_sentence_processing,-7.578279383042279,-6.773395739103618,0.8048836439386609,-128.83074951171875,-128.69451904296875,0.13623046875,17,19,passive,1.0
13,processing_teacher_forced,filler,filler,The plinter drossed in marven .,the pnezebkul grifimlomed the smevakrab .,the smevakrab was grifimlomed by the pnezebkul .,The plinter drossed in marven . ,full_sentence_processing,-7.681364171645221,-6.7999926115337175,0.8813715601115035,-130.58319091796875,-129.19985961914062,1.383331298828125,17,19,passive,1.0
14,processing_teacher_forced,active,active,the vretafzir vregafvols the klogafrud .,a vrefimdil vrerukgored a grisortas .,a grisortas was vrerukgored by a vrefimdil .,the vretafzir vregafvols the klogafrud . ,full_sentence_processing,-6.15593360452091,-6.022724352384868,0.13320925213604173,-104.65087127685547,-114.4317626953125,-9.780891418457031,17,19,passive,1.0
14,processing_teacher_forced,passive,passive,the klogafrud is vregafvoled by the vretafzir .,a vrefimdil vrerukgored a grisortas .,a grisortas was vrerukgored by a vrefimdil .,the klogafrud is vregafvoled by the vretafzir . ,full_sentence_processing,-6.266965529497932,-5.713439138312089,0.5535263911858426,-106.53841400146484,-108.55534362792969,-2.0169296264648438,17,19,passive,1.0
14,processing_teacher_forced,no_prime_eos,no_prime_eos,,a vrefimdil vrerukgored a grisortas .,a grisortas was vrerukgored by a vrefimdil .,<|endoftext|> ,full_sentence_processing,-7.407967511345358,-6.774565044202302,0.633402467143056,-125.9354476928711,-128.71673583984375,-2.7812881469726562,17,19,passive,1.0
14,processing_teacher_forced,no_prime_empty,no_prime_empty,,a vrefimdil vrerukgored a grisortas .,a grisortas was vrerukgored by a vrefimdil .,,full_sentence_processing,-6.816512612735524,-6.377425745913857,0.4390868668216674,-115.8807144165039,-121.17108917236328,-5.290374755859375,17,19,passive,1.0
14,processing_teacher_forced,filler,filler,The slinter maved after bralken .,a vrefimdil vrerukgored a grisortas .,a grisortas was vrerukgored by a vrefimdil .,The slinter maved after bralken . ,full_sentence_processing,-6.867155187270221,-6.394723189504523,0.4724319977656979,-116.74163818359375,-121.49974060058594,-4.7581024169921875,17,19,passive,1.0
15,processing_teacher_forced,active,active,the vretafzir smevarbavs the vranorked .,a frazemzom smegafdiled a vrepimpav .,a vrepimpav was smegafdiled by a frazemzom .,the vretafzir smevarbavs the vranorked . ,full_sentence_processing,-6.505181705250459,-5.986376310649671,0.518805394600788,-110.58808898925781,-113.74114990234375,-3.1530609130859375,17,19,passive,1.0
15,processing_teacher_forced,passive,passive,the vranorked is smevarbaved by the vretafzir .,a frazemzom smegafdiled a vrepimpav .,a vrepimpav was smegafdiled by a frazemzom .,the vranorked is smevarbaved by the vretafzir . ,full_sentence_processing,-6.531380148494945,-5.6954405935187085,0.8359395549762363,-111.03346252441406,-108.21337127685547,2.8200912475585938,17,19,passive,1.0
15,processing_teacher_forced,no_prime_eos,no_prime_eos,,a frazemzom smegafdiled a vrepimpav .,a vrepimpav was smegafdiled by a frazemzom .,<|endoftext|> ,full_sentence_processing,-8.331812241498161,-7.57861328125,0.7531989602481612,-141.64080810546875,-143.99365234375,-2.35284423828125,17,19,passive,1.0
15,processing_teacher_forced,no_prime_empty,no_prime_empty,,a frazemzom smegafdiled a vrepimpav .,a vrepimpav was smegafdiled by a frazemzom .,,full_sentence_processing,-7.987578448127298,-7.068240517064145,0.9193379310631533,-135.78883361816406,-134.29656982421875,1.4922637939453125,17,19,passive,1.0
15,processing_teacher_forced,filler,filler,The plinter drossed in marven .,a frazemzom smegafdiled a vrepimpav .,a vrepimpav was smegafdiled by a frazemzom .,The plinter drossed in marven . ,full_sentence_processing,-7.957804062787225,-7.316986887078536,0.6408171757086887,-135.2826690673828,-139.0227508544922,-3.740081787109375,17,19,passive,1.0
16,processing_teacher_forced,active,active,a smenelsel drupemzired a frataflom .,the frapemsim kvezemrabs the skozebsel .,the skozebsel is kvezemrabed by the frapemsim .,a smenelsel drupemzired a frataflom . ,full_sentence_processing,-7.38179349899292,-6.825622982449001,0.5561705165439186,-118.10869598388672,-122.86121368408203,-4.7525177001953125,16,18,passive,1.0
16,processing_teacher_forced,passive,passive,a frataflom was drupemzired by a smenelsel .,the frapemsim kvezemrabs the skozebsel .,the skozebsel is kvezemrabed by the frapemsim .,a frataflom was drupemzired by a smenelsel . ,full_sentence_processing,-7.372308254241943,-6.580201890733507,0.7921063635084362,-117.9569320678711,-118.44363403320312,-0.48670196533203125,16,18,passive,1.0
16,processing_teacher_forced,no_prime_eos,no_prime_eos,,the frapemsim kvezemrabs the skozebsel .,the skozebsel is kvezemrabed by the frapemsim .,<|endoftext|> ,full_sentence_processing,-8.105947494506836,-7.480105082194011,0.6258424123128252,-129.69515991210938,-134.6418914794922,-4.9467315673828125,16,18,passive,1.0
16,processing_teacher_forced,no_prime_empty,no_prime_empty,,the frapemsim kvezemrabs the skozebsel .,the skozebsel is kvezemrabed by the frapemsim .,,full_sentence_processing,-7.664022445678711,-7.386315239800347,0.2777072058783636,-122.62435913085938,-132.95367431640625,-10.329315185546875,16,18,passive,1.0
