candidate,source_template,gpt2_token_count,gpt2_token_id,gpt2_token,recommendation,risk_flags
rud,observed_old_fragment,1,28906,Ġrud,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sel,observed_old_fragment,2,,Ġse l,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
sko,observed_old_fragment,2,,Ġsk o,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
sme,observed_old_fragment,2,,Ġsm e,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
tas,observed_old_fragment,2,,Ġt as,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
tlu,observed_old_fragment,2,,Ġt lu,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vra,observed_old_fragment,2,,Ġv ra,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vre,observed_old_fragment,2,,Ġv re,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
zir,observed_old_fragment,2,,Ġz ir,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
zlo,observed_old_fragment,2,,Ġz lo,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
zra,observed_old_fragment,2,,Ġz ra,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
dab,old_middle_head_plus_coda_tail,1,45553,Ġdab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
das,old_middle_head_plus_coda_tail,2,,Ġd as,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
dav,old_middle_head_plus_coda_tail,2,,Ġd av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
ded,old_middle_head_plus_coda_tail,1,4648,Ġded,reject,suffix_like;edit_distance_1_from_lexicon
def,old_middle_head_plus_coda_tail,1,825,Ġdef,reject,function_or_morpheme_like;edit_distance_1_from_lexicon
dek,old_middle_head_plus_coda_tail,2,,Ġde k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
del,old_middle_head_plus_coda_tail,1,1619,Ġdel,reject,exact_dictionary_word;edit_distance_1_from_lexicon
dim,old_middle_head_plus_coda_tail,1,5391,Ġdim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
din,old_middle_head_plus_coda_tail,1,16278,Ġdin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
dol,old_middle_head_plus_coda_tail,2,,Ġd ol,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
dom,old_middle_head_plus_coda_tail,1,2401,Ġdom,reject,exact_dictionary_word;edit_distance_1_from_lexicon
dor,old_middle_head_plus_coda_tail,2,,Ġd or,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
dud,old_middle_head_plus_coda_tail,2,,Ġd ud,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
dul,old_middle_head_plus_coda_tail,2,,Ġd ul,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
fas,old_middle_head_plus_coda_tail,2,,Ġf as,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
fed,old_middle_head_plus_coda_tail,1,11672,Ġfed,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
fef,old_middle_head_plus_coda_tail,2,,Ġfe f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
fek,old_middle_head_plus_coda_tail,2,,Ġfe k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
fim,old_middle_head_plus_coda_tail,2,,Ġf im,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
fin,old_middle_head_plus_coda_tail,1,957,Ġfin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
fir,old_middle_head_plus_coda_tail,1,37979,Ġfir,reject,exact_dictionary_word;edit_distance_1_from_lexicon
fom,old_middle_head_plus_coda_tail,2,,Ġf om,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
for,old_middle_head_plus_coda_tail,1,329,Ġfor,reject,exact_dictionary_word;edit_distance_1_from_lexicon
fud,old_middle_head_plus_coda_tail,2,,Ġf ud,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
fur,old_middle_head_plus_coda_tail,1,9230,Ġfur,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gab,old_middle_head_plus_coda_tail,2,,Ġg ab,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
gas,old_middle_head_plus_coda_tail,1,3623,Ġgas,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
gav,old_middle_head_plus_coda_tail,2,,Ġg av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
ged,old_middle_head_plus_coda_tail,2,,Ġg ed,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
gef,old_middle_head_plus_coda_tail,2,,Ġg ef,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
gek,old_middle_head_plus_coda_tail,2,,Ġg ek,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
gel,old_middle_head_plus_coda_tail,1,20383,Ġgel,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gil,old_middle_head_plus_coda_tail,2,,Ġg il,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
gim,old_middle_head_plus_coda_tail,2,,Ġg im,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
gin,old_middle_head_plus_coda_tail,1,39733,Ġgin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gol,old_middle_head_plus_coda_tail,1,43791,Ġgol,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gom,old_middle_head_plus_coda_tail,2,,Ġg om,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
gud,old_middle_head_plus_coda_tail,2,,Ġg ud,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
gul,old_middle_head_plus_coda_tail,1,47161,Ġgul,reject,exact_dictionary_word;edit_distance_1_from_lexicon
gur,old_middle_head_plus_coda_tail,2,,Ġg ur,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
kab,old_middle_head_plus_coda_tail,2,,Ġk ab,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kas,old_middle_head_plus_coda_tail,2,,Ġk as,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
kav,old_middle_head_plus_coda_tail,2,,Ġk av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
ked,old_middle_head_plus_coda_tail,2,,Ġk ed,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
kef,old_middle_head_plus_coda_tail,2,,Ġke f,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
kek,old_middle_head_plus_coda_tail,2,,Ġke k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kel,old_middle_head_plus_coda_tail,2,,Ġke l,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kil,old_middle_head_plus_coda_tail,1,8769,Ġkil,reject,exact_dictionary_word;edit_distance_1_from_lexicon
kim,old_middle_head_plus_coda_tail,2,,Ġk im,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
kin,old_middle_head_plus_coda_tail,1,18967,Ġkin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
kir,old_middle_head_plus_coda_tail,2,,Ġk ir,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kol,old_middle_head_plus_coda_tail,2,,Ġk ol,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
kom,old_middle_head_plus_coda_tail,2,,Ġk om,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kor,old_middle_head_plus_coda_tail,2,,Ġk or,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
kud,old_middle_head_plus_coda_tail,2,,Ġk ud,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
kur,old_middle_head_plus_coda_tail,2,,Ġk ur,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lab,old_middle_head_plus_coda_tail,1,2248,Ġlab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
las,old_middle_head_plus_coda_tail,1,39990,Ġlas,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
led,old_middle_head_plus_coda_tail,1,2957,Ġled,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
lef,old_middle_head_plus_coda_tail,2,,Ġle f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lek,old_middle_head_plus_coda_tail,2,,Ġle k,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
lel,old_middle_head_plus_coda_tail,2,,Ġle l,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lim,old_middle_head_plus_coda_tail,1,1761,Ġlim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
lin,old_middle_head_plus_coda_tail,1,9493,Ġlin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
lir,old_middle_head_plus_coda_tail,2,,Ġl ir,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lol,old_middle_head_plus_coda_tail,1,19462,Ġlol,reject,function_or_morpheme_like;edit_distance_1_from_lexicon
lom,old_middle_head_plus_coda_tail,2,,Ġl om,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lor,old_middle_head_plus_coda_tail,2,,Ġl or,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lud,old_middle_head_plus_coda_tail,2,,Ġl ud,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lul,old_middle_head_plus_coda_tail,2,,Ġl ul,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
lur,old_middle_head_plus_coda_tail,1,20605,Ġlur,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mab,old_middle_head_plus_coda_tail,2,,Ġm ab,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
mas,old_middle_head_plus_coda_tail,1,12422,Ġmas,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
mav,old_middle_head_plus_coda_tail,2,,Ġm av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
med,old_middle_head_plus_coda_tail,1,1117,Ġmed,reject,suffix_like;edit_distance_1_from_lexicon
mef,old_middle_head_plus_coda_tail,2,,Ġme f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
mek,old_middle_head_plus_coda_tail,2,,Ġme k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
mel,old_middle_head_plus_coda_tail,1,7758,Ġmel,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mil,old_middle_head_plus_coda_tail,1,1465,Ġmil,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mim,old_middle_head_plus_coda_tail,1,17007,Ġmim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
min,old_middle_head_plus_coda_tail,1,949,Ġmin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mir,old_middle_head_plus_coda_tail,1,5720,Ġmir,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mom,old_middle_head_plus_coda_tail,1,1995,Ġmom,reject,function_or_morpheme_like;edit_distance_1_from_lexicon
mor,old_middle_head_plus_coda_tail,1,2146,Ġmor,reject,exact_dictionary_word;edit_distance_1_from_lexicon
mud,old_middle_head_plus_coda_tail,1,17492,Ġmud,reject,exact_dictionary_word;edit_distance_1_from_lexicon
nab,old_middle_head_plus_coda_tail,1,47822,Ġnab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
nas,old_middle_head_plus_coda_tail,1,25221,Ġnas,reject,suffix_like;edit_distance_1_from_lexicon
ned,old_middle_head_plus_coda_tail,2,,Ġn ed,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
nek,old_middle_head_plus_coda_tail,2,,Ġne k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
nel,old_middle_head_plus_coda_tail,2,,Ġn el,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
nil,old_middle_head_plus_coda_tail,1,18038,Ġnil,reject,exact_dictionary_word;edit_distance_1_from_lexicon
nim,old_middle_head_plus_coda_tail,2,,Ġn im,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
nir,old_middle_head_plus_coda_tail,2,,Ġn ir,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
nol,old_middle_head_plus_coda_tail,2,,Ġn ol,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
nor,old_middle_head_plus_coda_tail,1,4249,Ġnor,reject,exact_dictionary_word;edit_distance_1_from_lexicon
nul,old_middle_head_plus_coda_tail,2,,Ġn ul,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
nur,old_middle_head_plus_coda_tail,2,,Ġn ur,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
pab,old_middle_head_plus_coda_tail,2,,Ġp ab,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
pas,old_middle_head_plus_coda_tail,1,38836,Ġpas,reject,suffix_like;edit_distance_1_from_lexicon
ped,old_middle_head_plus_coda_tail,1,7190,Ġped,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
pef,old_middle_head_plus_coda_tail,2,,Ġpe f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
pek,old_middle_head_plus_coda_tail,2,,Ġpe k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
pim,old_middle_head_plus_coda_tail,1,49319,Ġpim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
pin,old_middle_head_plus_coda_tail,1,6757,Ġpin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
pir,old_middle_head_plus_coda_tail,1,12276,Ġpir,reject,exact_dictionary_word;edit_distance_1_from_lexicon
pol,old_middle_head_plus_coda_tail,1,755,Ġpol,reject,exact_dictionary_word;edit_distance_1_from_lexicon
pom,old_middle_head_plus_coda_tail,2,,Ġp om,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
pud,old_middle_head_plus_coda_tail,2,,Ġp ud,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
pul,old_middle_head_plus_coda_tail,1,17472,Ġpul,reject,exact_dictionary_word;edit_distance_1_from_lexicon
pur,old_middle_head_plus_coda_tail,1,1308,Ġpur,reject,exact_dictionary_word;edit_distance_1_from_lexicon
ras,old_middle_head_plus_coda_tail,2,,Ġr as,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
red,old_middle_head_plus_coda_tail,1,2266,Ġred,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
ref,old_middle_head_plus_coda_tail,1,1006,Ġref,reject,exact_dictionary_word;edit_distance_1_from_lexicon
rek,old_middle_head_plus_coda_tail,2,,Ġre k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rel,old_middle_head_plus_coda_tail,1,823,Ġrel,reject,exact_dictionary_word;edit_distance_1_from_lexicon
ril,old_middle_head_plus_coda_tail,2,,Ġr il,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rim,old_middle_head_plus_coda_tail,1,20254,Ġrim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
rin,old_middle_head_plus_coda_tail,2,,Ġr in,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rir,old_middle_head_plus_coda_tail,2,,Ġr ir,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rol,old_middle_head_plus_coda_tail,2,,Ġro l,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
ror,old_middle_head_plus_coda_tail,2,,Ġr or,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
rur,old_middle_head_plus_coda_tail,2,,Ġr ur,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
sab,old_middle_head_plus_coda_tail,1,17463,Ġsab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sas,old_middle_head_plus_coda_tail,2,,Ġs as,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
sed,old_middle_head_plus_coda_tail,1,10081,Ġsed,reject,suffix_like;edit_distance_1_from_lexicon
sef,old_middle_head_plus_coda_tail,2,,Ġse f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
sek,old_middle_head_plus_coda_tail,2,,Ġse k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
sil,old_middle_head_plus_coda_tail,1,3313,Ġsil,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sim,old_middle_head_plus_coda_tail,1,985,Ġsim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sin,old_middle_head_plus_coda_tail,1,7813,Ġsin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sir,old_middle_head_plus_coda_tail,1,15967,Ġsir,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sol,old_middle_head_plus_coda_tail,1,1540,Ġsol,reject,exact_dictionary_word;edit_distance_1_from_lexicon
sud,old_middle_head_plus_coda_tail,2,,Ġsu d,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
sur,old_middle_head_plus_coda_tail,1,969,Ġsur,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tab,old_middle_head_plus_coda_tail,1,7400,Ġtab,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tav,old_middle_head_plus_coda_tail,2,,Ġt av,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
ted,old_middle_head_plus_coda_tail,1,28501,Ġted,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
tef,old_middle_head_plus_coda_tail,2,,Ġte f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
tek,old_middle_head_plus_coda_tail,2,,Ġte k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
til,old_middle_head_plus_coda_tail,1,21502,Ġtil,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tim,old_middle_head_plus_coda_tail,1,4628,Ġtim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tin,old_middle_head_plus_coda_tail,1,19783,Ġtin,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tol,old_middle_head_plus_coda_tail,2,,Ġto l,reject,not_one_gpt2_token;token_surface_mismatch;exact_dictionary_word;edit_distance_1_from_lexicon
tom,old_middle_head_plus_coda_tail,1,16667,Ġtom,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tor,old_middle_head_plus_coda_tail,1,7332,Ġtor,reject,exact_dictionary_word;edit_distance_1_from_lexicon
tud,old_middle_head_plus_coda_tail,2,,Ġt ud,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
tur,old_middle_head_plus_coda_tail,1,7858,Ġtur,reject,exact_dictionary_word;edit_distance_1_from_lexicon
vab,old_middle_head_plus_coda_tail,2,,Ġv ab,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vas,old_middle_head_plus_coda_tail,1,34439,Ġvas,reject,exact_dictionary_word;suffix_like;edit_distance_1_from_lexicon
vav,old_middle_head_plus_coda_tail,2,,Ġv av,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
ved,old_middle_head_plus_coda_tail,2,,Ġv ed,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
vef,old_middle_head_plus_coda_tail,2,,Ġve f,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vek,old_middle_head_plus_coda_tail,2,,Ġve k,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vim,old_middle_head_plus_coda_tail,1,43907,Ġvim,reject,exact_dictionary_word;edit_distance_1_from_lexicon
vin,old_middle_head_plus_coda_tail,2,,Ġv in,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vol,old_middle_head_plus_coda_tail,1,2322,Ġvol,reject,exact_dictionary_word;edit_distance_1_from_lexicon
vor,old_middle_head_plus_coda_tail,2,,Ġv or,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vud,old_middle_head_plus_coda_tail,2,,Ġv ud,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
vur,old_middle_head_plus_coda_tail,2,,Ġv ur,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
zab,old_middle_head_plus_coda_tail,2,,Ġz ab,reject,not_one_gpt2_token;token_surface_mismatch;edit_distance_1_from_lexicon
zas,old_middle_head_plus_coda_tail,2,,Ġz as,reject,not_one_gpt2_token;token_surface_mismatch;suffix_like;edit_distance_1_from_lexicon
