candidate,gpt2_token_id,gpt2_token,length_chars,recommendation,risk_flags,n_old_sources,old_sources_preview
ep,2462,Ġep,2,reject,too_short,2,noun:smepimzir:smepimzir;noun:smepemgor:smepemgor
es,1658,Ġes,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,2,noun:smesilrab:smesilrab;noun:smesormur:smesormur
ev,819,Ġev,2,reject,too_short,5,noun:smevakrab:smevakrab;noun:smevakkul:smevakkul;verb_stem:smevarbav:smevarbav;verb_present:smevarbav:smevarbavs;verb_past_participle:smevarbav:smevarbaved
fl,781,Ġfl,2,reject,too_short,1,noun:frataflom:frataflom
fr,1216,Ġfr,2,reject,too_short,5,noun:frataflom:frataflom;noun:fradulvek:fradulvek;noun:frasorgor:frasorgor;noun:franorbav:franorbav;noun:fradullom:fradullom
fs,43458,Ġfs,2,reject,too_short;suffix_like,1,verb_present:kvesornef:kvesornefs
gr,1036,Ġgr,2,reject,too_short,10,noun:grisortas:grisortas;verb_stem:grineldil:grineldil;verb_present:grineldil:grineldils;verb_past_participle:grineldil:grineldiled;verb_stem:grifimlom:grifimlom;verb_present:grifimlom:grifimloms;verb_past_participle:grifimlom:grifimlomed;verb_stem:grinellom:grinellom
id,4686,Ġid,2,reject,too_short;exact_dictionary_word,1,noun:mnidulzom:mnidulzom
if,611,Ġif,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word,3,verb_stem:grifimlom:grifimlom;verb_present:grifimlom:grifimloms;verb_past_participle:grifimlom:grifimlomed
il,4229,Ġil,2,reject,too_short,17,noun:klotafdil:klotafdil;noun:brisilsel:brisilsel;noun:vrasilvol:vrasilvol;noun:zraduldil:zraduldil;noun:mnizemdil:mnizemdil;noun:smesilrab:smesilrab;noun:vrefimdil:vrefimdil;noun:bripimdil:bripimdil
im,545,Ġim,2,reject,too_short,16,noun:smepimzir:smepimzir;noun:klofimnef:klofimnef;noun:frapemsim:frapemsim;noun:vramolsim:vramolsim;noun:vrefimdil:vrefimdil;noun:bripimdil:bripimdil;noun:drufimzom:drufimzom;verb_stem:frafimvol:frafimvol
in,287,Ġin,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word,2,verb_stem:zlodulfin:zlodulfin;verb_stem:kvenelfin:kvenelfin
ip,20966,Ġip,2,reject,too_short,3,verb_stem:mnipemvek:mnipemvek;verb_present:mnipemvek:mnipemveks;verb_past_participle:mnipemvek:mnipemveked
ir,4173,Ġir,2,reject,too_short,6,noun:smepimzir:smepimzir;noun:plovakzir:plovakzir;noun:vretafzir:vretafzir;noun:kvepemzir:kvepemzir;verb_stem:drupemzir:drupemzir;verb_stem:zranorzir:zranorzir
is,318,Ġis,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,2,noun:brisilsel:brisilsel;noun:grisortas:grisortas
kg,14211,Ġkg,2,reject,too_short,2,verb_present:vrerukgor:vrerukgors;verb_past_participle:vrerukgor:vrerukgored
ll,32660,Ġll,2,reject,too_short,3,verb_stem:grinellom:grinellom;verb_present:grinellom:grinelloms;verb_past_participle:grinellom:grinellomed
ne,497,Ġne,2,reject,too_short;exact_dictionary_word,6,noun:klofimnef:klofimnef;noun:vravaknef:vravaknef;noun:plolodnef:plolodnef;noun:tluvaknef:tluvaknef;noun:kveruknef:kveruknef;noun:pnezebkul:pnezebkul
od,16298,Ġod,2,reject,too_short;exact_dictionary_word,11,noun:kvelodzom:kvelodzom;noun:plolodnef:plolodnef;verb_stem:zlodulfin:zlodulfin;verb_present:zlodulfin:zlodulfins;verb_past_participle:zlodulfin:zlodulfined;verb_stem:mnilodked:mnilodked;verb_present:mnilodked:mnilodkeds;verb_past_participle:mnilodked:mnilodkeded
of,286,Ġof,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word,1,noun:klofimnef:klofimnef
ok,12876,Ġok,2,reject,too_short;exact_dictionary_word,1,noun:plokudsel:plokudsel
ol,25776,Ġol,2,reject,too_short,2,noun:plolodnef:plolodnef;noun:zramolmur:zramolmur
om,39030,Ġom,2,reject,too_short;exact_dictionary_word,18,noun:kvelodzom:kvelodzom;noun:kvezemzom:kvezemzom;noun:frataflom:frataflom;noun:smezemlom:smezemlom;noun:zlosillom:zlosillom;noun:smekudlom:smekudlom;noun:kvevarzom:kvevarzom;noun:mnidulzom:mnidulzom
op,1034,Ġop,2,reject,too_short,10,noun:klopemrud:klopemrud;verb_stem:zlopimtul:zlopimtul;verb_present:zlopimtul:zlopimtuls;verb_past_participle:zlopimtul:zlopimtuled;verb_stem:skopemkul:skopemkul;verb_present:skopemkul:skopemkuls;verb_past_participle:skopemkul:skopemkuled;verb_stem:zlopemmur:zlopemmur
or,393,Ġor,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word,8,noun:frasorgor:frasorgor;noun:kvenorvek:kvenorvek;verb_stem:klosorvek:klosorvek;verb_present:klosorvek:klosorveks;verb_past_participle:klosorvek:klosorveked;verb_stem:zranorzir:zranorzir;verb_present:zranorzir:zranorzirs;verb_past_participle:zranorzir:zranorzired
ot,30972,Ġot,2,reject,too_short,3,verb_stem:skotafrud:skotafrud;verb_present:skotafrud:skotafruds;verb_past_participle:skotafrud:skotafruded
ov,19643,Ġov,2,reject,too_short,1,noun:plovakzir:plovakzir
oz,15649,Ġoz,2,reject,too_short,2,noun:skozebsel:skozebsel;noun:skozemdil:skozemdil
pl,458,Ġpl,2,reject,too_short,3,noun:plovakzir:plovakzir;noun:plolodnef:plolodnef;noun:plokudsel:plokudsel
re,302,Ġre,2,reject,too_short;exact_dictionary_word,4,noun:vrerukvek:vrerukvek;verb_stem:vrerukgor:vrerukgor;verb_present:vrerukgor:vrerukgors;verb_past_participle:vrerukgor:vrerukgored
ru,7422,Ġru,2,reject,too_short,4,noun:vrerukvek:vrerukvek;verb_stem:vrerukgor:vrerukgor;verb_present:vrerukgor:vrerukgors;verb_past_participle:vrerukgor:vrerukgored
sk,1341,Ġsk,2,reject,too_short,8,noun:skozebsel:skozebsel;noun:skozemdil:skozemdil;verb_stem:skotafrud:skotafrud;verb_present:skotafrud:skotafruds;verb_past_participle:skotafrud:skotafruded;verb_stem:skopemkul:skopemkul;verb_present:skopemkul:skopemkuls;verb_past_participle:skopemkul:skopemkuled
sm,895,Ġsm,2,reject,too_short,21,noun:smepimzir:smepimzir;noun:smenelsel:smenelsel;noun:smezemlom:smezemlom;noun:smevakrab:smevakrab;noun:smesilrab:smesilrab;noun:smekudlom:smekudlom;noun:smevakkul:smevakkul;noun:smepemgor:smepemgor
ul,14856,Ġul,2,reject,too_short,15,noun:tlukudkul:tlukudkul;noun:grimolkul:grimolkul;noun:fradulvek:fradulvek;noun:britorkul:britorkul;noun:smevakkul:smevakkul;noun:kvenorkul:kvenorkul;noun:pnezebkul:pnezebkul;noun:kvedulrab:kvedulrab
um,23781,Ġum,2,reject,too_short;exact_dictionary_word,2,noun:tlumolvek:tlumolvek;noun:tlumoldil:tlumoldil
un,555,Ġun,2,reject,too_short;exact_dictionary_word,1,noun:tlunelsel:tlunelsel
ur,2956,Ġur,2,reject,too_short;exact_dictionary_word,3,noun:druvarmur:druvarmur;noun:smesormur:smesormur;verb_stem:kvevarmur:kvevarmur
us,514,Ġus,2,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,3,verb_stem:drusilfin:drusilfin;verb_present:drusilfin:drusilfins;verb_past_participle:drusilfin:drusilfined
ut,3384,Ġut,2,reject,too_short;exact_dictionary_word,1,noun:drutorked:drutorked
ve,1569,Ġve,2,reject,too_short,16,noun:fradulvek:fradulvek;noun:kvevarzom:kvevarzom;noun:tluzemvek:tluzemvek;noun:kvetorfin:kvetorfin;noun:kvepemzir:kvepemzir;noun:kvenorvek:kvenorvek;noun:vrerukvek:vrerukvek;verb_stem:klosorvek:klosorvek
b,275,Ġb,1,reject,too_short;exact_dictionary_word,13,noun:grivarbav:grivarbav;noun:brikudtas:brikudtas;noun:britorkul:britorkul;noun:bripimdil:bripimdil;verb_stem:bripemlom:bripemlom;verb_present:bripemlom:bripemloms;verb_past_participle:bripemlom:bripemlomed;verb_stem:grizebbav:grizebbav
d,288,Ġd,1,reject,too_short;exact_dictionary_word,11,noun:klotafdil:klotafdil;noun:mnizemdil:mnizemdil;noun:vrefimdil:vrefimdil;noun:bripimdil:bripimdil;noun:skozemdil:skozemdil;verb_stem:smegafdil:smegafdil;verb_present:smegafdil:smegafdils;verb_past_participle:smegafdil:smegafdiled
f,277,Ġf,1,reject,too_short;exact_dictionary_word,16,noun:klofimnef:klofimnef;noun:frapemsim:frapemsim;noun:vravaknef:vravaknef;noun:plolodnef:plolodnef;noun:tluvaknef:tluvaknef;noun:fravaksel:fravaksel;noun:kveruknef:kveruknef;noun:frazemzom:frazemzom
g,308,Ġg,1,reject,too_short;exact_dictionary_word,4,verb_present:zrazemgor:zrazemgors;verb_past_participle:zrazemgor:zrazemgored;verb_present:tlulodgor:tlulodgors;verb_past_participle:tlulodgor:tlulodgored
k,479,Ġk,1,reject,too_short;exact_dictionary_word,54,noun:klopemrud:klopemrud;noun:klotafdil:klotafdil;noun:kvelodzom:kvelodzom;noun:kvezemzom:kvezemzom;noun:klofimnef:klofimnef;noun:kverukvol:kverukvol;noun:tlukudkul:tlukudkul;noun:tlukudkul:tlukudkul
l,300,Ġl,1,reject,too_short;exact_dictionary_word,31,noun:klopemrud:klopemrud;noun:klofimnef:klofimnef;noun:smezemlom:smezemlom;noun:tlumolvek:tlumolvek;noun:tlunelsel:tlunelsel;noun:smekudlom:smekudlom;noun:tlumoldil:tlumoldil;verb_stem:bripemlom:bripemlom
m,285,Ġm,1,reject,too_short;exact_dictionary_word,20,noun:mnikudpav:mnikudpav;noun:mnizemdil:mnizemdil;noun:mnidulzom:mnidulzom;verb_present:vragafmur:vragafmurs;verb_past_participle:vragafmur:vragafmured;verb_stem:mnilodked:mnilodked;verb_present:mnilodked:mnilodkeds;verb_past_participle:mnilodked:mnilodkeded
n,299,Ġn,1,reject,too_short;exact_dictionary_word,5,noun:mnizemdil:mnizemdil;noun:mnidulzom:mnidulzom;verb_stem:mnipemvek:mnipemvek;verb_present:mnipemvek:mnipemveks;verb_past_participle:mnipemvek:mnipemveked
p,279,Ġp,1,reject,too_short;exact_dictionary_word,7,noun:mnikudpav:mnikudpav;noun:pnezebkul:pnezebkul;noun:kvepemzir:kvepemzir;noun:pnesillom:pnesillom;verb_stem:pnegaflom:pnegaflom;verb_present:pnegaflom:pnegafloms;verb_past_participle:pnegaflom:pnegaflomed
r,374,Ġr,1,reject,too_short;exact_dictionary_word,11,noun:klopemrud:klopemrud;noun:vratorrud:vratorrud;noun:klogafrud:klogafrud;noun:vratafsel:vratafsel;verb_present:kvezemrab:kvezemrabs;verb_stem:zlorukrud:zlorukrud;verb_present:zlorukrud:zlorukruds;verb_past_participle:zlorukrud:zlorukruded
s,264,Ġs,1,reject,too_short;function_or_morpheme_like;exact_dictionary_word;suffix_like,5,verb_present:grizebbav:grizebbavs;verb_present:smedulpav:smedulpavs;verb_present:kvetafbav:kvetafbavs;verb_present:smevarbav:smevarbavs;verb_present:plotorbav:plotorbavs
t,256,Ġt,1,reject,too_short;exact_dictionary_word,13,noun:tlukudkul:tlukudkul;noun:brikudtas:brikudtas;noun:tlumolvek:tlumolvek;noun:tluvaknef:tluvaknef;noun:tlunelsel:tlunelsel;noun:tluzemvek:tluzemvek;noun:tlumoldil:tlumoldil;verb_stem:zlopimtul:zlopimtul
v,410,Ġv,1,reject,too_short;exact_dictionary_word,35,noun:vrepimpav:vrepimpav;noun:vrasilvol:vrasilvol;noun:vratorfin:vratorfin;noun:vratorrud:vratorrud;noun:vravaknef:vravaknef;noun:druvarmur:druvarmur;noun:tluvaknef:tluvaknef;noun:vramolsim:vramolsim
z,1976,Ġz,1,reject,too_short;exact_dictionary_word,43,noun:smepimzir:smepimzir;noun:kvelodzom:kvelodzom;noun:plovakzir:plovakzir;noun:kvezemzom:kvezemzom;noun:zraduldil:zraduldil;noun:zlosillom:zlosillom;noun:kvevarzom:kvevarzom;noun:vretafzir:vretafzir
grim,18288,Ġgrim,4,review_dictionary_only,exact_dictionary_word,1,noun:grimolkul:grimolkul
grin,16770,Ġgrin,4,review_dictionary_only,exact_dictionary_word,1,noun:grinelmur:grinelmur
grit,34954,Ġgrit,4,review_dictionary_only,exact_dictionary_word,3,verb_stem:gritafmur:gritafmur;verb_present:gritafmur:gritafmurs;verb_past_participle:gritafmur:gritafmured
plot,7110,Ġplot,4,review_dictionary_only,exact_dictionary_word,5,noun:plotordil:plotordil;noun:plotafked:plotafked;verb_stem:plotorbav:plotorbav;verb_present:plotorbav:plotorbavs;verb_past_participle:plotorbav:plotorbaved
arm,3211,Ġarm,3,review_dictionary_only,exact_dictionary_word,4,noun:druvarmur:druvarmur;verb_stem:kvevarmur:kvevarmur;verb_present:kvevarmur:kvevarmurs;verb_past_participle:kvevarmur:kvevarmured
elf,23878,Ġelf,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:kvenelfin:kvenelfin;verb_present:kvenelfin:kvenelfins;verb_past_participle:kvenelfin:kvenelfined
fin,957,Ġfin,3,review_dictionary_only,exact_dictionary_word,5,noun:vratorfin:vratorfin;noun:grivarfin:grivarfin;noun:kvetorfin:kvetorfin;noun:klosilfin:klosilfin;verb_stem:drusilfin:drusilfin
fra,5306,Ġfra,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:frafimvol:frafimvol;verb_present:frafimvol:frafimvols;verb_past_participle:frafimvol:frafimvoled
gor,30344,Ġgor,3,review_dictionary_only,exact_dictionary_word,4,noun:smepemgor:smepemgor;verb_stem:vrerukgor:vrerukgor;verb_stem:zrazemgor:zrazemgor;verb_stem:tlulodgor:tlulodgor
ill,2801,Ġill,3,review_dictionary_only,exact_dictionary_word,2,noun:zlosillom:zlosillom;noun:pnesillom:pnesillom
imp,848,Ġimp,3,review_dictionary_only,exact_dictionary_word,1,noun:vrepimpav:vrepimpav
log,2604,Ġlog,3,review_dictionary_only,exact_dictionary_word,1,noun:klogafrud:klogafrud
lot,1256,Ġlot,3,review_dictionary_only,exact_dictionary_word,1,noun:klotafdil:klotafdil
nil,18038,Ġnil,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:mnilodked:mnilodked;verb_present:mnilodked:mnilodkeds;verb_past_participle:mnilodked:mnilodkeded
old,1468,Ġold,3,review_dictionary_only,exact_dictionary_word,1,noun:tlumoldil:tlumoldil
orb,15769,Ġorb,3,review_dictionary_only,exact_dictionary_word,4,noun:franorbav:franorbav;verb_stem:plotorbav:plotorbav;verb_present:plotorbav:plotorbavs;verb_past_participle:plotorbav:plotorbaved
rab,27998,Ġrab,3,review_dictionary_only,exact_dictionary_word,5,noun:smevakrab:smevakrab;noun:smesilrab:smesilrab;noun:kvedulrab:kvedulrab;verb_stem:kvezemrab:kvezemrab;verb_past_participle:kvezemrab:kvezemrabed
rad,2511,Ġrad,3,review_dictionary_only,exact_dictionary_word,1,noun:zraduldil:zraduldil
rag,34232,Ġrag,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:vragafmur:vragafmur;verb_present:vragafmur:vragafmurs;verb_past_participle:vragafmur:vragafmured
ram,15770,Ġram,3,review_dictionary_only,exact_dictionary_word,2,noun:vramolsim:vramolsim;noun:zramolmur:zramolmur
ran,4966,Ġran,3,review_dictionary_only,exact_dictionary_word,4,noun:vranorked:vranorked;verb_stem:zranorzir:zranorzir;verb_present:zranorzir:zranorzirs;verb_past_participle:zranorzir:zranorzired
rap,4095,Ġrap,3,review_dictionary_only,exact_dictionary_word,1,noun:frapemsim:frapemsim
ref,1006,Ġref,3,review_dictionary_only,exact_dictionary_word,1,noun:vrefimdil:vrefimdil
reg,842,Ġreg,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:vregafvol:vregafvol;verb_present:vregafvol:vregafvols;verb_past_participle:vregafvol:vregafvoled
rep,1128,Ġrep,3,review_dictionary_only,exact_dictionary_word,1,noun:vrepimpav:vrepimpav
ret,1005,Ġret,3,review_dictionary_only,exact_dictionary_word,2,noun:vretafzir:vretafzir;noun:vretortas:vretortas
rip,18344,Ġrip,3,review_dictionary_only,exact_dictionary_word,4,noun:bripimdil:bripimdil;verb_stem:bripemlom:bripemlom;verb_present:bripemlom:bripemloms;verb_past_participle:bripemlom:bripemlomed
tor,7332,Ġtor,3,review_dictionary_only,exact_dictionary_word,1,noun:kvetorfin:kvetorfin
vet,20202,Ġvet,3,review_dictionary_only,exact_dictionary_word,3,verb_stem:kvetafbav:kvetafbav;verb_present:kvetafbav:kvetafbavs;verb_past_participle:kvetafbav:kvetafbaved
vol,2322,Ġvol,3,review_dictionary_only,exact_dictionary_word,6,noun:vrasilvol:vrasilvol;noun:kverukvol:kverukvol;verb_stem:frafimvol:frafimvol;verb_past_participle:frafimvol:frafimvoled;verb_stem:vregafvol:vregafvol;verb_past_participle:vregafvol:vregafvoled
dru,37215,Ġdru,3,strict_candidate,,2,noun:druvarmur:druvarmur;noun:drufimzom:drufimzom
gri,11120,Ġgri,3,strict_candidate,,6,noun:grivarbav:grivarbav;noun:grivarsel:grivarsel;noun:grivarfin:grivarfin;verb_stem:grizebbav:grizebbav;verb_present:grizebbav:grizebbavs;verb_past_participle:grizebbav:grizebbaved
mur,4636,Ġmur,3,strict_candidate,,7,noun:grinelmur:grinelmur;noun:vrakudmur:vrakudmur;noun:zramolmur:zramolmur;verb_stem:vragafmur:vragafmur;verb_stem:smenelmur:smenelmur;verb_stem:gritafmur:gritafmur;verb_stem:zlopemmur:zlopemmur
neg,2469,Ġneg,3,strict_candidate,,3,verb_stem:pnegaflom:pnegaflom;verb_present:pnegaflom:pnegafloms;verb_past_participle:pnegaflom:pnegaflomed
nin,13462,Ġnin,3,strict_candidate,,3,verb_stem:mninorkul:mninorkul;verb_present:mninorkul:mninorkuls;verb_past_participle:mninorkul:mninorkuled
ord,2760,Ġord,3,strict_candidate,,1,noun:plotordil:plotordil
org,8745,Ġorg,3,strict_candidate,,1,noun:frasorgor:frasorgor
rav,24343,Ġrav,3,strict_candidate,,2,noun:vravaknef:vravaknef;noun:fravaksel:fravaksel
var,1401,Ġvar,3,strict_candidate,,4,noun:grivarbav:grivarbav;noun:kvevarzom:kvevarzom;noun:grivarsel:grivarsel;noun:grivarfin:grivarfin
vel,11555,Ġvel,3,strict_candidate,,1,noun:kvelodzom:kvelodzom
ven,8710,Ġven,3,strict_candidate,,5,noun:kvenorkul:kvenorkul;noun:kvenorvek:kvenorvek;verb_stem:kvenelfin:kvenelfin;verb_present:kvenelfin:kvenelfins;verb_past_participle:kvenelfin:kvenelfined
ver,3326,Ġver,3,strict_candidate,,2,noun:kverukvol:kverukvol;noun:kveruknef:kveruknef
