model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,measure,n_rows,mean,std,se
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_divergence_token,2048,1.794796529226005,1.6873279860359454,0.03728503315662053
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_first_token,2048,0.09687399864196777,0.5921812356870418,0.013085480232679263
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_last_token,2048,-0.2383251190185547,0.21361269112736908,0.004720218201364691
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_mean,2048,-0.10765543816581605,0.34935658634948,0.007719762851871904
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_second_token,2048,1.7094580559059978,1.672210806039467,0.036950987516372796
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,preference_total,2048,2.5468902587890625,2.188723111097103,0.04836440481238996
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_choice_indicator,2048,0.47119140625,0.49929128715881516,0.011032882966792435
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_minus_active_logprob,2048,0.01282405853271484,0.38739042323915385,0.008560199851222887
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_minus_active_logprob_sum,2048,-4.8499603271484375,2.793404231636574,0.06172609608704434
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_aligned_first,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_aligned_last,2048,-3.8288479391485453,0.26504945359903137,0.0058568208121770075
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_aligned_mean,2048,0.1651803757995367,0.4604729448640731,0.010175110683322665
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_divergence_token,2048,0.6523832678794861,1.1784823645827982,0.02604102723453918
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_first_token,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_last_token,2048,-0.13894271850585938,0.18987354067669507,0.004195652130637214
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_mean,2048,-0.01282405853271484,0.38739042323915385,0.008560199851222887
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_second_token,2048,0.6523832678794861,1.1784823645827982,0.02604102723453918
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,preference_total,2048,4.8499603271484375,2.793404231636574,0.06172609608704434
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_choice_indicator,2048,0.60302734375,0.48938973316527284,0.010814087467632483
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_minus_active_logprob,2048,0.07131925083342051,0.3173622626924318,0.007012781501328905
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_minus_active_logprob_sum,2048,-3.311746597290039,1.944158346939417,0.04296023596316532
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_aligned_first,2048,0.038202762603759766,0.23526114994093292,0.005198586077280587
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_aligned_last,2048,-3.696071381913498,0.39788374515101366,0.008792071697505682
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_aligned_mean,2048,-0.05916237861051091,0.31186059581065245,0.006891210690080917
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_divergence_token,2048,0.6054359376430511,1.0216206422010174,0.02257484012189047
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_first_token,2048,0.038202762603759766,0.23526114994093292,0.005198586077280587
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_last_token,2048,-0.24835968017578125,0.30837017516051646,0.006814082561615145
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_mean,2048,-0.07131925083342051,0.3173622626924318,0.007012781501328905
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_second_token,2048,0.5836510136723518,1.0552768982954017,0.023318545337943284
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,preference_total,2048,3.311746597290039,1.944158346939417,0.04296023596316532
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,passive_choice_indicator,2048,0.75048828125,0.4328361110537338,0.009564417164640897
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,passive_minus_active_logprob,2048,0.25488758087158203,0.36048269919893655,0.00796561753449995
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,passive_minus_active_logprob_sum,2048,-4.328083038330078,2.56686975583446,0.05672034408666263
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_aligned_first,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_aligned_last,2048,-3.5235700123012066,0.34172050019122185,0.007551027592364746
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_aligned_mean,2048,0.15638815394292277,0.42892768484446775,0.009478052331005295
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_divergence_token,2048,1.8626302480697632,1.24811302929747,0.02757966208448516
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_first_token,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_last_token,2048,-0.21422958374023438,0.2828267808126514,0.006249647956680847
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_mean,2048,-0.25488758087158203,0.36048269919893655,0.00796561753449995
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_second_token,2048,1.8626302480697632,1.24811302929747,0.02757966208448516
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,preference_total,2048,4.328083038330078,2.56686975583446,0.05672034408666263
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,passive_choice_indicator,2048,0.42041015625,0.49374537179442723,0.010910334392978518
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,passive_minus_active_logprob,2048,-0.05980968021211169,0.3774594926086111,0.00834075521396195
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,passive_minus_active_logprob_sum,2048,-4.607606887817383,2.2144496573999257,0.04893288654199107
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_aligned_first,2048,0.07177352905273438,0.37803084793675024,0.00835338050230552
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_aligned_last,2048,-3.7346154912374914,0.5236945464890134,0.011572123909149844
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_aligned_mean,2048,0.14347106150983432,0.3612917923297223,0.007983496135730891
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_divergence_token,2048,1.5441862493753433,1.1857588017309189,0.026201815298611486
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_first_token,2048,0.07177352905273438,0.37803084793675024,0.00835338050230552
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_last_token,2048,-0.2873678207397461,0.346180060550146,0.007649570885205558
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_mean,2048,0.05980968021211169,0.3774594926086111,0.00834075521396195
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_second_token,2048,1.5154162049293518,1.2133862432561904,0.02681230127515381
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,preference_total,2048,4.607606887817383,2.2144496573999257,0.04893288654199107
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,passive_choice_indicator,2048,1.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,passive_minus_active_logprob,2048,0.517127831776937,0.2744250381571716,0.006063993919009784
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,passive_minus_active_logprob_sum,2048,0.4680652618408203,1.529889093300645,0.03380609226050702
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_aligned_first,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_aligned_last,2048,-3.8512306548655033,0.22114989355468187,0.004886768418474959
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_aligned_mean,2048,-0.6927012906720241,0.24653791776829465,0.005447769796049142
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_divergence_token,2048,-0.18842563033103943,0.9101530195904007,0.02011173037718078
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_first_token,2048,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_last_token,2048,-0.1944894790649414,0.162197249011773,0.003584086708313366
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_mean,2048,-0.517127831776937,0.2744250381571716,0.006063993919009784
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_second_token,2048,-0.18842563033103943,0.9101530195904007,0.02011173037718078
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,preference_total,2048,-0.4680652618408203,1.529889093300645,0.03380609226050702
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,passive_choice_indicator,2048,0.91796875,0.2744793445796593,0.0060651939327473784
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,passive_minus_active_logprob,2048,0.39278927454872736,0.3000715643869247,0.006630707438101568
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,passive_minus_active_logprob_sum,2048,-0.3656635284423828,1.629184940994458,0.03600024123700583
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_aligned_first,2048,-0.012238502502441406,0.27300920532224227,0.006032708137803374
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_aligned_last,2048,-3.9676268313778564,0.38800253303145255,0.008573725694503046
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_aligned_mean,2048,-0.577164898892945,0.27390846850524964,0.0060525792345151215
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_divergence_token,2048,-0.2559679001569748,0.954183749496968,0.0210846812427285
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_first_token,2048,-0.012238502502441406,0.27300920532224227,0.006032708137803374
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_last_token,2048,-0.2052745819091797,0.23343990310252621,0.005158341827603964
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_mean,2048,-0.39278927454872736,0.3000715643869247,0.006630707438101568
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_second_token,2048,-0.24171191826462746,0.9191373583556385,0.020310258091723803
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,preference_total,2048,0.3656635284423828,1.629184940994458,0.03600024123700583
