model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,token_position,preference_token_logprob_mean,preference_token_logprob_std,n_tokens
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,5,-3.100183919770643,1.408938794374046,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,6,-3.7266113681670947,0.6676654054701495,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,7,-3.8391717076301575,0.30075815825923374,8
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,0,0.0,0.0,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,1,1.8626302480697632,1.248113029297444,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,2,-8.141923189163208,3.763264266687331,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,3,10.363283812999725,2.0929237321866467,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,4,0.3779080640524626,0.6083154224994962,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,5,-3.5235700123012066,0.34172050019122685,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,0,0.07177352905273438,0.3780308479367499,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,1,1.5154162049293518,1.2133862432561928,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,2,-2.1724656824953854,3.066935692363397,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,3,4.543026295257732,2.938157027631289,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,4,0.6672478332184255,1.0668032906291924,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,5,-3.1269618375226855,1.4499588464000424,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,6,-3.816339373588562,0.7238868441566951,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,7,-4.161788582801819,0.24127628032113854,8
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,0,0.0,0.0,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,1,-0.18842563033103943,0.9101530195903919,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,2,-0.5412113666534424,0.8162638585412115,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,3,0.431600846350193,1.0085865473846432,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,4,-0.0069409385323524475,0.04779759695998984,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,5,-3.8512306548655033,0.2211498935546839,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,0,-0.012238502502441406,0.2730092053222424,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,1,-0.24171191826462746,0.9191373583556476,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,2,-0.21673665335401893,2.1542613102750154,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,3,0.8835799396038055,1.879122660003631,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,4,0.019586483482271433,0.28774981326795424,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,5,-3.3281607970711775,1.4885078757007122,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,6,-4.012941140777025,0.7341548146430086,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,7,-4.193779438734055,0.3213897322638698,8
