item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
27,prompt_filler,filler,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist was electrocuted .,other
28,prompt_active,active,an actor destroys an actress .,an actress is destroyed by an actor .,The actor destroyed the actress .,active_structural
28,prompt_passive,passive,an actor destroys an actress .,an actress is destroyed by an actor .,The actor destroyed the actress .,active_structural
28,prompt_no_demo,no_demo,an actor destroys an actress .,an actress is destroyed by an actor .,The actor was destroyed by the actress .,other
28,prompt_filler,filler,an actor destroys an actress .,an actress is destroyed by an actor .,The actor was destroyed .,other
29,prompt_active,active,a boy raises a brother .,a brother is raised by a boy .,The boy raises his brother .,active_structural
29,prompt_passive,passive,a boy raises a brother .,a brother is raised by a boy .,The brother is raised by a boy .,passive_structural
29,prompt_no_demo,no_demo,a boy raises a brother .,a brother is raised by a boy .,The boy did it to his brother .,other
29,prompt_filler,filler,a boy raises a brother .,a brother is raised by a boy .,The boy threw the ball .,other
30,prompt_active,active,a bishop kills a boy .,a boy is killed by a bishop .,The bishop killed the boy .,active_structural
30,prompt_passive,passive,a bishop kills a boy .,a boy is killed by a bishop .,The bishop killed the boy .,active_structural
30,prompt_no_demo,no_demo,a bishop kills a boy .,a boy is killed by a bishop .,The bishop killed the boy .,active_structural
30,prompt_filler,filler,a bishop kills a boy .,a boy is killed by a bishop .,The bishop killed the boy .,active_structural
31,prompt_active,active,a physician washes a pilot .,a pilot is washed by a physician .,The pilot was washed .,other
31,prompt_passive,passive,a physician washes a pilot .,a pilot is washed by a physician .,The pilot was washed .,other
31,prompt_no_demo,no_demo,a physician washes a pilot .,a pilot is washed by a physician .,The pilot was washing the physician .,other
31,prompt_filler,filler,a physician washes a pilot .,a pilot is washed by a physician .,The pilot was washed .,other
32,prompt_active,active,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother discovered the buddy .,other
32,prompt_passive,passive,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother discovered his buddy .,other
32,prompt_no_demo,no_demo,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother did it to the buddy .,other
32,prompt_filler,filler,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother did it to the buddy .,other
33,prompt_active,active,a worker helps a writer .,a writer is helped by a worker .,The worker helps the writer .,active_structural
33,prompt_passive,passive,a worker helps a writer .,a writer is helped by a worker .,The writer was helped by a worker .,passive_structural
33,prompt_no_demo,no_demo,a worker helps a writer .,a writer is helped by a worker .,The worker helped the writer .,active_structural
33,prompt_filler,filler,a worker helps a writer .,a writer is helped by a worker .,The worker helped the writer .,active_structural
34,prompt_active,active,a soldier hurries a son .,a son is hurried by a soldier .,The son hurries the soldier .,other
34,prompt_passive,passive,a soldier hurries a son .,a son is hurried by a soldier .,The son is hurrying to the soldier .,other
34,prompt_no_demo,no_demo,a soldier hurries a son .,a son is hurried by a soldier .,The soldier was killed in the event .,other
34,prompt_filler,filler,a soldier hurries a son .,a son is hurried by a soldier .,The soldier ran away from the son .,other
35,prompt_active,active,a woman hurts a worker .,a worker is hurt by a woman .,The woman hurts a worker .,active_structural
35,prompt_passive,passive,a woman hurts a worker .,a worker is hurt by a woman .,The worker is hurt by a woman .,passive_structural
35,prompt_no_demo,no_demo,a woman hurts a worker .,a worker is hurt by a woman .,The woman who was a worker was hurt by the woman who was not a worker .,other
35,prompt_filler,filler,a woman hurts a worker .,a worker is hurt by a woman .,The signal flickered across the screen .,other
36,prompt_active,active,a son follows a student .,a student is followed by a son .,The student follows the son .,other
36,prompt_passive,passive,a son follows a student .,a student is followed by a son .,The student was followed by a son .,passive_structural
36,prompt_no_demo,no_demo,a son follows a student .,a student is followed by a son .,The one who did it was a son .,other
36,prompt_filler,filler,a son follows a student .,a student is followed by a son .,The student was hit by a car .,other
37,prompt_active,active,an adult judges an attorney .,an attorney is judged by an adult .,The adult judges the attorney .,active_structural
37,prompt_passive,passive,an adult judges an attorney .,an attorney is judged by an adult .,The adult judged an attorney .,active_structural
37,prompt_no_demo,no_demo,an adult judges an attorney .,an attorney is judged by an adult .,The adult was judged by the attorney .,other
37,prompt_filler,filler,an adult judges an attorney .,an attorney is judged by an adult .,The judge ruled in favor of the attorney .,other
38,prompt_active,active,a buddy grabs a candidate .,a candidate is grabbed by a buddy .,The buddy grabbed the candidate .,active_structural
38,prompt_passive,passive,a buddy grabs a candidate .,a candidate is grabbed by a buddy .,The buddy grabbed the candidate .,active_structural
38,prompt_no_demo,no_demo,a buddy grabs a candidate .,a candidate is grabbed by a buddy .,The one who did it was a buddy .,other
38,prompt_filler,filler,a buddy grabs a candidate .,a candidate is grabbed by a buddy .,The candidate was grabbed .,other
39,prompt_active,active,a girl chases a guest .,a guest is chased by a girl .,The girl chased the guest .,active_structural
39,prompt_passive,passive,a girl chases a guest .,a guest is chased by a girl .,The guest was chased by a girl .,passive_structural
39,prompt_no_demo,no_demo,a girl chases a guest .,a guest is chased by a girl .,The girl who was a guest was chased by the girl who was a guest .,other
39,prompt_filler,filler,a girl chases a guest .,a guest is chased by a girl .,The girl chased the guest .,active_structural
40,prompt_active,active,a woman hurries a worker .,a worker is hurried by a woman .,The woman hurries a worker .,active_structural
40,prompt_passive,passive,a woman hurries a worker .,a worker is hurried by a woman .,The worker is hurrying because of a woman .,other
40,prompt_no_demo,no_demo,a woman hurries a worker .,a worker is hurried by a woman .,The woman who was working in the factory was hit by a truck .,other
40,prompt_filler,filler,a woman hurries a worker .,a worker is hurried by a woman .,The worker was hit by a car .,other
41,prompt_active,active,a teacher chases an uncle .,an uncle is chased by a teacher .,The teacher chases the uncle .,active_structural
41,prompt_passive,passive,a teacher chases an uncle .,an uncle is chased by a teacher .,The teacher chased the uncle .,active_structural
41,prompt_no_demo,no_demo,a teacher chases an uncle .,an uncle is chased by a teacher .,The teacher was chasing the uncle .,active_structural
41,prompt_filler,filler,a teacher chases an uncle .,an uncle is chased by a teacher .,The teacher was chased by the uncle .,other
42,prompt_active,active,a chief embraces a child .,a child is embraced by a chief .,The chief embraced the child .,active_structural
42,prompt_passive,passive,a chief embraces a child .,a child is embraced by a chief .,The chief is embraced by a child .,other
42,prompt_no_demo,no_demo,a chief embraces a child .,a child is embraced by a chief .,The chief gave the child a hug .,other
42,prompt_filler,filler,a chief embraces a child .,a child is embraced by a chief .,The chief gave the child a hug .,other
43,prompt_active,active,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop struck a boy .,active_structural
43,prompt_passive,passive,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop is striking a boy .,other
43,prompt_no_demo,no_demo,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop did it to the boy .,other
43,prompt_filler,filler,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop did it to the boy .,other
44,prompt_active,active,an adult asks an attorney .,an attorney is asked by an adult .,The adult asked the attorney .,active_structural
44,prompt_passive,passive,an adult asks an attorney .,an attorney is asked by an adult .,The attorney was asked by an adult .,passive_structural
44,prompt_no_demo,no_demo,an adult asks an attorney .,an attorney is asked by an adult .,The adult was involved in the asking event .,other
44,prompt_filler,filler,an adult asks an attorney .,an attorney is asked by an adult .,The captain waited beside the harbor .,other
45,prompt_active,active,a lawyer understands a leader .,a leader is understood by a lawyer .,The lawyer understands a leader .,active_structural
45,prompt_passive,passive,a lawyer understands a leader .,a leader is understood by a lawyer .,The lawyer understands the leader .,active_structural
45,prompt_no_demo,no_demo,a lawyer understands a leader .,a leader is understood by a lawyer .,"The lawyer was involved in the event, and the leader was affected by it .",other
45,prompt_filler,filler,a lawyer understands a leader .,a leader is understood by a lawyer .,The lawyer was sued .,other
46,prompt_active,active,a wife raises a winner .,a winner is raised by a wife .,The wife raises the winner .,active_structural
46,prompt_passive,passive,a wife raises a winner .,a winner is raised by a wife .,The winner was raised by a wife .,passive_structural
46,prompt_no_demo,no_demo,a wife raises a winner .,a winner is raised by a wife .,The winner was a wife .,other
46,prompt_filler,filler,a wife raises a winner .,a winner is raised by a wife .,The wife won the award .,other
47,prompt_active,active,a king beats a lady .,a lady is beaten by a king .,The king beats the lady .,active_structural
47,prompt_passive,passive,a king beats a lady .,a lady is beaten by a king .,The king beat the lady .,active_structural
47,prompt_no_demo,no_demo,a king beats a lady .,a lady is beaten by a king .,The king beat the lady .,active_structural
47,prompt_filler,filler,a king beats a lady .,a lady is beaten by a king .,The king beat the lady .,active_structural
48,prompt_active,active,a kid discovers a king .,a king is discovered by a kid .,The king was discovered by a kid .,passive_structural
48,prompt_passive,passive,a kid discovers a king .,a king is discovered by a kid .,The king was discovered by a kid .,passive_structural
48,prompt_no_demo,no_demo,a kid discovers a king .,a king is discovered by a kid .,The kid did it .,other
48,prompt_filler,filler,a kid discovers a king .,a king is discovered by a kid .,The kid lit the king's lantern .,other
49,prompt_active,active,a student follows a teacher .,a teacher is followed by a student .,The student follows the teacher .,active_structural
49,prompt_passive,passive,a student follows a teacher .,a teacher is followed by a student .,The teacher was followed by a student .,passive_structural
49,prompt_no_demo,no_demo,a student follows a teacher .,a teacher is followed by a student .,The student did it .,other
49,prompt_filler,filler,a student follows a teacher .,a teacher is followed by a student .,The student gave the teacher a book .,other
50,prompt_active,active,a doctor understands an employee .,an employee is understood by a doctor .,The doctor understands an employee .,active_structural
50,prompt_passive,passive,a doctor understands an employee .,an employee is understood by a doctor .,The doctor understands the employee .,active_structural
50,prompt_no_demo,no_demo,a doctor understands an employee .,an employee is understood by a doctor .,"The doctor was involved in the event, but the employee was the one who was affected .",other
50,prompt_filler,filler,a doctor understands an employee .,an employee is understood by a doctor .,The employee was given a shot .,other
51,prompt_active,active,a captain understands a champion .,a champion is understood by a captain .,The captain understands a champion .,active_structural
51,prompt_passive,passive,a captain understands a champion .,a champion is understood by a captain .,The champion understood the captain .,other
51,prompt_no_demo,no_demo,a captain understands a champion .,a champion is understood by a captain .,"The captain was a champion, but the champion was not a captain .",other
51,prompt_filler,filler,a captain understands a champion .,a champion is understood by a captain .,The captain was defeated by the champion .,other
52,prompt_active,active,a candidate joins a captain .,a captain is joined by a candidate .,The captain joined the candidate .,other
52,prompt_passive,passive,a candidate joins a captain .,a captain is joined by a candidate .,The captain joined the candidate .,other
52,prompt_no_demo,no_demo,a candidate joins a captain .,a captain is joined by a candidate .,The candidate joined the captain .,active_structural
52,prompt_filler,filler,a candidate joins a captain .,a captain is joined by a candidate .,The candidate was elected captain .,other
53,prompt_active,active,a captain drags a champion .,a champion is dragged by a captain .,The captain drags the champion .,active_structural
53,prompt_passive,passive,a captain drags a champion .,a champion is dragged by a captain .,The champion was dragged by a captain .,passive_structural
53,prompt_no_demo,no_demo,a captain drags a champion .,a champion is dragged by a captain .,The captain was dragged by the champion .,other
53,prompt_filler,filler,a captain drags a champion .,a champion is dragged by a captain .,The captain was defeated by the champion .,other
54,prompt_active,active,a kid grabs a king .,a king is grabbed by a kid .,The king was grabbed by a kid .,passive_structural
54,prompt_passive,passive,a kid grabs a king .,a king is grabbed by a kid .,The king was grabbed by a kid .,passive_structural
54,prompt_no_demo,no_demo,a kid grabs a king .,a king is grabbed by a kid .,The kid grabbed the king .,active_structural
54,prompt_filler,filler,a kid grabs a king .,a king is grabbed by a kid .,The kid grabbed the king .,active_structural
55,prompt_active,active,an author selects a bishop .,a bishop is selected by an author .,The author selects a bishop .,active_structural
55,prompt_passive,passive,an author selects a bishop .,a bishop is selected by an author .,The author selected the bishop .,active_structural
55,prompt_no_demo,no_demo,an author selects a bishop .,a bishop is selected by an author .,The author was selected by the bishop .,other
55,prompt_filler,filler,an author selects a bishop .,a bishop is selected by an author .,The bishop was selected .,other
56,prompt_active,active,a lady asks a lawyer .,a lawyer is asked by a lady .,The lady asked the lawyer .,active_structural
56,prompt_passive,passive,a lady asks a lawyer .,a lawyer is asked by a lady .,The lawyer was kissed by a lady .,other
56,prompt_no_demo,no_demo,a lady asks a lawyer .,a lawyer is asked by a lady .,The lady did it .,other
56,prompt_filler,filler,a lady asks a lawyer .,a lawyer is asked by a lady .,The lawyer was sued .,other
57,prompt_active,active,a wife beats a winner .,a winner is beaten by a wife .,The wife beats the winner .,active_structural
57,prompt_passive,passive,a wife beats a winner .,a winner is beaten by a wife .,The winner was beaten by a wife .,passive_structural
57,prompt_no_demo,no_demo,a wife beats a winner .,a winner is beaten by a wife .,The wife won the beating event .,other
57,prompt_filler,filler,a wife beats a winner .,a winner is beaten by a wife .,The wife won the beating .,other
58,prompt_active,active,a cousin joins a daughter .,a daughter is joined by a cousin .,The cousin joined the daughter .,active_structural
58,prompt_passive,passive,a cousin joins a daughter .,a daughter is joined by a cousin .,The daughter joined her cousin .,other
58,prompt_no_demo,no_demo,a cousin joins a daughter .,a daughter is joined by a cousin .,The one who did it was a cousin .,other
58,prompt_filler,filler,a cousin joins a daughter .,a daughter is joined by a cousin .,The baker laughed during breakfast .,other
59,prompt_active,active,a nurse describes an opponent .,an opponent is described by a nurse .,The nurse described an opponent .,active_structural
59,prompt_passive,passive,a nurse describes an opponent .,an opponent is described by a nurse .,The nurse describes the opponent .,active_structural
59,prompt_no_demo,no_demo,a nurse describes an opponent .,an opponent is described by a nurse .,The nurse was attacked by the opponent .,other
59,prompt_filler,filler,a nurse describes an opponent .,an opponent is described by a nurse .,The nurse was attacked by the opponent .,other
60,prompt_active,active,a writer joins an actor .,an actor is joined by a writer .,The writer joined the actor .,active_structural
60,prompt_passive,passive,a writer joins an actor .,an actor is joined by a writer .,The writer joined the actor .,active_structural
60,prompt_no_demo,no_demo,a writer joins an actor .,an actor is joined by a writer .,The writer joined the actor .,active_structural
60,prompt_filler,filler,a writer joins an actor .,an actor is joined by a writer .,The writer met the actor .,other
61,prompt_active,active,a singer teaches a soldier .,a soldier is taught by a singer .,The singer teaches a soldier .,active_structural
61,prompt_passive,passive,a singer teaches a soldier .,a soldier is taught by a singer .,The soldier was taught by a singer .,passive_structural
61,prompt_no_demo,no_demo,a singer teaches a soldier .,a soldier is taught by a singer .,The singer was singing and the soldier was dancing .,other
61,prompt_filler,filler,a singer teaches a soldier .,a soldier is taught by a singer .,The singer performed at the event .,other
62,prompt_active,active,a winner washes a woman .,a woman is washed by a winner .,The winner washed a woman .,active_structural
62,prompt_passive,passive,a winner washes a woman .,a woman is washed by a winner .,The winner washed the woman .,active_structural
62,prompt_no_demo,no_demo,a winner washes a woman .,a woman is washed by a winner .,The washing machine was broken .,other
62,prompt_filler,filler,a winner washes a woman .,a woman is washed by a winner .,The winner was washed .,other
63,prompt_active,active,a woman catches a worker .,a worker is caught by a woman .,The woman caught the worker .,active_structural
63,prompt_passive,passive,a woman catches a worker .,a worker is caught by a woman .,The worker was caught by a woman .,passive_structural
63,prompt_no_demo,no_demo,a woman catches a worker .,a worker is caught by a woman .,The woman caught the worker .,active_structural
63,prompt_filler,filler,a woman catches a worker .,a worker is caught by a woman .,The worker was caught .,other
64,prompt_active,active,a father surprises a friend .,a friend is surprised by a father .,The father raised a friend .,other
64,prompt_passive,passive,a father surprises a friend .,a friend is surprised by a father .,The father is a friend .,other
64,prompt_no_demo,no_demo,a father surprises a friend .,a friend is surprised by a father .,The father did it to the friend .,other
64,prompt_filler,filler,a father surprises a friend .,a friend is surprised by a father .,The father cut the friend's hair .,other
65,prompt_active,active,a guest comforts a guy .,a guy is comforted by a guest .,The guest comforts a guy .,active_structural
65,prompt_passive,passive,a guest comforts a guy .,a guy is comforted by a guest .,The guest comforted the guy .,active_structural
65,prompt_no_demo,no_demo,a guest comforts a guy .,a guy is comforted by a guest .,The guest did it to the guy .,other
65,prompt_filler,filler,a guest comforts a guy .,a guy is comforted by a guest .,The guest gave him a hug .,other
66,prompt_active,active,a writer comforts an actor .,an actor is comforted by a writer .,The writer comforted the actor .,active_structural
66,prompt_passive,passive,a writer comforts an actor .,an actor is comforted by a writer .,The actor was comforted by a writer .,passive_structural
66,prompt_no_demo,no_demo,a writer comforts an actor .,an actor is comforted by a writer .,The writer was attacked by a dog .,other
66,prompt_filler,filler,a writer comforts an actor .,an actor is comforted by a writer .,The package arrived before noon .,other
67,prompt_active,active,a friend strikes a girl .,a girl is struck by a friend .,The girl was struck by a friend .,passive_structural
67,prompt_passive,passive,a friend strikes a girl .,a girl is struck by a friend .,The girl was struck by a friend .,passive_structural
67,prompt_no_demo,no_demo,a friend strikes a girl .,a girl is struck by a friend .,The one who did it was a friend .,other
