condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
jabberwocky,passive,5,15000,0.4077521455893914,0.8624793162105935,-4.831775860833625,-5.239528006423017,1.0,0.551
jabberwocky,passive,6,15000,0.4513958463907241,0.891958328853678,-5.416278877703348,-5.867674724094073,1.0,1.0
jabberwocky,passive,7,15000,0.0916930252154668,0.6708986340516219,-6.885472149314483,-6.97716517452995,1.0,1.0
jabberwocky,passive,8,15000,0.1269587106347084,0.5236872980082522,-7.058607345610857,-7.185566056245565,1.0,1.0
jabberwocky,passive,9,15000,0.3435594320426384,0.759311401613649,-7.156178834750752,-7.49973826679339,1.0,1.0
jabberwocky,passive,10,15000,1.083140698335071,1.1288207988225651,-6.699872703448931,-7.783013401784003,1.0,1.0
jabberwocky,passive,11,15000,1.4599315920795004,1.3979625148406574,-3.6685722358042994,-5.1285038278838,1.0,1.0
jabberwocky,passive,12,15000,0.38687641137441,1.486059795738517,-2.6389401267091435,-3.025816538083553,1.0,1.0
jabberwocky,passive,13,15000,-0.0721593910187482,0.6175368231372399,-4.340532835492988,-4.26837344447424,1.0,1.0
jabberwocky,passive,14,15000,0.1646154721950491,0.4467298466041816,-5.854604266573489,-6.0192197387685376,1.0,1.0
jabberwocky,passive,15,15000,0.186496861090511,0.4803206935242098,-6.501140747030824,-6.687637608121335,1.0,1.0
jabberwocky,passive,16,15000,0.2514849889914194,0.5782980444949866,-5.948518283056716,-6.200003272048136,1.0,1.0
jabberwocky,passive,17,13526,0.5272114206665669,0.7139816390455362,-4.124343774638795,-4.651555195305362,1.0,1.0
jabberwocky,passive,18,8048,0.8757453034881866,0.6808867446261189,-2.5394517187673458,-3.415197022255532,1.0,1.0
jabberwocky,passive,19,1935,1.1255357761715734,0.5380930003797499,-1.868151400717654,-2.9936871768892277,1.0,1.0
