item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
6,prompt_filler,filler,a bishop asked a boy .,a boy was asked by a bishop .,The engine cooled before dawn .,the engine cooled before dawn .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was an askeding event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," engine cooled before dawn.""

There was an askeding event involving a bishop and a boy.
The one it happened to was"
7,prompt_filler,filler,a boy asks a brother .,a brother is asked by a boy .,The market opened after sunrise .,the market opened after sunrise .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"," market opened after sunrise.""

There was an asking event involving a boy and a brother.
The one it happened to was a"
8,prompt_no_prime,no_prime,the brother asked the buddy .,the buddy was asked by the brother .,The brother did it .,the brother did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," brother did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The brother did it.""
B"
8,prompt_filler,filler,the brother asked the buddy .,the buddy was asked by the brother .,The blanket dried on the line .,the blanket dried on the line .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was an askeding event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," blanket dried on the line.""

There was an askeding event involving the brother and the buddy.
The one who did it"
9,prompt_filler,filler,the buddy asks the candidate .,the candidate is asked by the buddy .,The planet shimmered above the valley .,the planet shimmered above the valley .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," planet shimmered above the valley.""

There was an asking event involving the buddy and the candidate.
The one who did it"
10,prompt_no_prime,no_prime,a candidate asked a captain .,a captain was asked by a candidate .,The candidate did it .,the candidate did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The"," candidate did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The candidate did it.""
B"
10,prompt_filler,filler,a candidate asked a captain .,a captain was asked by a candidate .,The candidate laughed during breakfast .,the candidate laughed during breakfast .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The baker laughed during breakfast.""

There was an askeding event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The"," candidate laughed during breakfast.""

There was an askeding event involving a candidate and a captain.
The one who did it was"
11,prompt_no_prime,no_prime,a captain asks a champion .,a champion is asked by a captain .,The captain did it to the champion .,the captain did it to the champion .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was an asking event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The"," captain did it to the champion.""

Bridget asked, ""What did the captain do to the champion?""
Mary answered"
11,prompt_filler,filler,a captain asks a champion .,a champion is asked by a captain .,The signal flickered across the screen .,the signal flickered across the screen .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The signal flickered across the screen.""

There was an asking event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The"," signal flickered across the screen.""

There was an asking event involving a captain and a champion.
The one who did it"
12,prompt_no_prime,no_prime,the champion asked the chief .,the chief was asked by the champion .,"The chief asked the champion to do something, and the champion did it .","the chief asked the champion to do something, and the champion did it .",other_coordinate_multiclause,coordination_with_punctuation,multiclause,mixed,coordination_detected,other,other,True,True,"There was an askeding event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The"," chief asked the champion to do something, and the champion did it.""

Bridget asked, ""What did the champion"
12,prompt_filler,filler,the champion asked the chief .,the chief was asked by the champion .,The tourist wandered through the plaza .,the tourist wandered through the plaza .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tourist wandered through the plaza.""

There was an askeding event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The"," tourist wandered through the plaza.""

There was an askeding event involving the champion and the chief.
The one it happened to"
13,prompt_filler,filler,the chief asks the child .,the child is asked by the chief .,The kettle whistled in the kitchen .,the kettle whistled in the kitchen .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The kettle whistled in the kitchen.""

There was an asking event involving the chief and the child.
The one it happened to was the child.
The one who did it was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The"," kettle whistled in the kitchen.""

There was an asking event involving the chief and the child.
The one it happened"
14,prompt_no_prime,no_prime,a child asked a colonel .,a colonel was asked by a child .,"The colonel asked me to do it, and I did it .","the colonel asked me to do it, and i did it .",other_coordinate_multiclause,coordination_with_punctuation,multiclause,mixed,coordination_detected,other,other,True,True,"There was an askeding event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The"," colonel asked me to do it, and I did it.""
Bridget asked, ""Why did the colonel"
14,prompt_filler,filler,a child asked a colonel .,a colonel was asked by a child .,The garden brightened after rain .,the garden brightened after rain .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The garden brightened after rain.""

There was an askeding event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The"," garden brightened after rain.""

There was an askeding event involving a child and a colonel.
The one it happened"
15,prompt_no_prime,no_prime,a colonel asks a cop .,a cop is asked by a colonel .,"The colonel asked me to marry him, and I said yes .","the colonel asked me to marry him, and i said yes .",other_coordinate_multiclause,coordination_with_punctuation,multiclause,mixed,coordination_detected,other,other,True,True,"There was an asking event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The"," colonel asked me to marry him, and I said yes.""
Bridget said, ""That's great! What"
15,prompt_filler,filler,a colonel asks a cop .,a cop is asked by a colonel .,The jacket hung behind the chair .,the jacket hung behind the chair .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The jacket hung behind the chair.""

There was an asking event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The"," jacket hung behind the chair.""

There was an asking event involving a colonel and a cop.
The one it happened to"
16,prompt_no_prime,no_prime,the cop asked the cousin .,the cousin was asked by the cop .,The cop did it .,the cop did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The"," cop did it.""
Bridget asked, ""What did the cop do?""
Mary answered, ""He did it to"
16,prompt_filler,filler,the cop asked the cousin .,the cousin was asked by the cop .,The radio crackled in the attic .,the radio crackled in the attic .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The radio crackled in the attic.""

There was an askeding event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The"," radio crackled in the attic.""

There was an askeding event involving the cop and the cousin.
The one who did"
17,prompt_no_prime,no_prime,the cousin asks the daughter .,the daughter is asked by the cousin .,The cousin did it .,the cousin did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an asking event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"," cousin did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The cousin.""
Bridget"
17,prompt_filler,filler,the cousin asks the daughter .,the daughter is asked by the cousin .,The witness paused near the doorway .,the witness paused near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The witness paused near the doorway.""

There was an asking event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"," witness paused near the doorway.""

There was an asking event involving the cousin and the daughter.
The one who did it was"
18,prompt_no_prime,no_prime,a daughter asked a doctor .,a doctor was asked by a daughter .,The doctor asked me if I was a daughter .,the doctor asked me if i was a daughter .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an askeding event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor asked me if I was a daughter.""
Bridget asked, ""Why did the doctor ask you that?""
Mary"
18,prompt_filler,filler,a daughter asked a doctor .,a doctor was asked by a daughter .,The package arrived before noon .,the package arrived before noon .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was an askeding event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," package arrived before noon.""

There was an askeding event involving a daughter and a doctor.
The one who did it was"
19,prompt_no_prime,no_prime,a doctor asks an employee .,an employee is asked by a doctor .,The doctor did it .,the doctor did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an asking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor did it.""
Bridget asked, ""Why did the doctor do it?""
Mary answered, ""Because the employee"
20,prompt_filler,filler,the employee asked the employer .,the employer was asked by the employee .,The captain waited beside the harbor .,the captain waited beside the harbor .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The captain waited beside the harbor.""

There was an askeding event involving the employee and the employer.
The one it happened to was the employer.
The one who did it was the employee.

Bridget asked, ""What happened?""
Mary answered, ""The"," captain waited beside the harbor.""

There was an askeding event involving the employee and the employer.
The one it happened to"
21,prompt_filler,filler,the employer asks the father .,the father is asked by the employer .,The teacher listened during assembly .,the teacher listened during assembly .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The teacher listened during assembly.""

There was an asking event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The"," teacher listened during assembly.""

There was an asking event involving the employer and the father.
The one it happened to was the"
22,prompt_filler,filler,a father asked a friend .,a friend was asked by a father .,The violin echoed in the theater .,the violin echoed in the theater .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The violin echoed in the theater.""

There was an askeding event involving a father and a friend.
The one it happened to was a friend.
The one who did it was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," violin echoed in the theater.""

There was an askeding event involving a father and a friend.
The one it happened to"
23,prompt_no_prime,no_prime,a friend asks a girl .,a girl is asked by a friend .,The girl asked me to go to the store with her .,the girl asked me to go to the store with her .,active_ditransitive_prepositional,object_plus_to_for_phrase,active_ditransitive_prepositional,agent>theme>recipient,direct_object_plus_to_for_recipient,other,active,True,False,"There was an asking event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""The"," girl asked me to go to the store with her.""
Bridget asked, ""Why did you go?""
Mary answered"
23,prompt_filler,filler,a friend asks a girl .,a girl is asked by a friend .,The pillow rested on the sofa .,the pillow rested on the sofa .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The pillow rested on the sofa.""

There was an asking event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""The"," pillow rested on the sofa.""

There was an asking event involving a friend and a girl.
The one it happened to was"
24,prompt_no_prime,no_prime,the girl asked the guest .,the guest was asked by the girl .,The girl did it .,the girl did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The"," girl did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The girl.""
Bridget"
24,prompt_filler,filler,the girl asked the guest .,the guest was asked by the girl .,The lantern glowed near sunset .,the lantern glowed near sunset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was an askeding event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The"," lantern glowed near sunset.""

There was an askeding event involving the girl and the guest.
The one who did it"
25,prompt_no_prime,no_prime,the guest asks the guy .,the guy is asked by the guest .,The guest did it .,the guest did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an asking event involving the guest and the guy.
The one who did it was the guest.
The one it happened to was the guy.

Bridget asked, ""What happened?""
Mary answered, ""The"," guest did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The guy.""
Bridget"
25,prompt_filler,filler,the guest asks the guy .,the guy is asked by the guest .,The traveler rested beside the river .,the traveler rested beside the river .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was an asking event involving the guest and the guy.
The one who did it was the guest.
The one it happened to was the guy.

Bridget asked, ""What happened?""
Mary answered, ""The"," traveler rested beside the river.""

There was an asking event involving the guest and the guy.
The one who did it was"
26,prompt_no_prime,no_prime,a guy asked a hero .,a hero was asked by a guy .,The guy did it .,the guy did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""The"," guy did it.""

Bridget asked, ""What did the guy do?""
Mary answered, ""He did it.""

"
26,prompt_filler,filler,a guy asked a hero .,a hero was asked by a guy .,The notebook stayed on the shelf .,the notebook stayed on the shelf .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was an askeding event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""The"," notebook stayed on the shelf.""

There was an askeding event involving a guy and a hero.
The one who did it"
27,prompt_filler,filler,a hero asks a husband .,a husband is asked by a hero .,The window rattled during the storm .,the window rattled during the storm .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was an asking event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," window rattled during the storm.""

There was an asking event involving a hero and a husband.
The one who did it"
28,prompt_no_prime,no_prime,the husband asked the kid .,the kid was asked by the husband .,The husband hit the kid .,the husband hit the kid .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the husband and the kid.
The one it happened to was the kid.
The one who did it was the husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," husband hit the kid.""
Bridget asked, ""Why did he hit the kid?""
Mary answered, ""The kid"
28,prompt_filler,filler,the husband asked the kid .,the kid was asked by the husband .,The kid smiled after rehearsal .,the kid smiled after rehearsal .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was an askeding event involving the husband and the kid.
The one it happened to was the kid.
The one who did it was the husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," kid smiled after rehearsal.""

There was an askeding event involving the husband and the kid.
The one it happened to was"
29,prompt_no_prime,no_prime,the kid asks the king .,the king is asked by the kid .,"The king asked the kid to do something, and the kid did it .","the king asked the kid to do something, and the kid did it .",other_coordinate_multiclause,coordination_with_punctuation,multiclause,mixed,coordination_detected,other,other,True,True,"There was an asking event involving the kid and the king.
The one it happened to was the king.
The one who did it was the kid.

Bridget asked, ""What happened?""
Mary answered, ""The"," king asked the kid to do something, and the kid did it.""
Bridget asked, ""What did the kid"
29,prompt_filler,filler,the kid asks the king .,the king is asked by the kid .,The painter waited near the doorway .,the painter waited near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was an asking event involving the kid and the king.
The one it happened to was the king.
The one who did it was the kid.

Bridget asked, ""What happened?""
Mary answered, ""The"," painter waited near the doorway.""

There was an asking event involving the kid and the king.
The one it happened to was"
30,prompt_filler,filler,a king asked a lady .,a lady was asked by a king .,The engine cooled before dawn .,the engine cooled before dawn .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was an askeding event involving a king and a lady.
The one it happened to was a lady.
The one who did it was a king.

Bridget asked, ""What happened?""
Mary answered, ""The"," engine cooled before dawn.""

There was an askeding event involving a king and a lady.
The one it happened to was"
31,prompt_filler,filler,a lady asks a lawyer .,a lawyer is asked by a lady .,The market opened after sunrise .,the market opened after sunrise .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was an asking event involving a lady and a lawyer.
The one it happened to was a lawyer.
The one who did it was a lady.

Bridget asked, ""What happened?""
Mary answered, ""The"," market opened after sunrise.""

There was an asking event involving a lady and a lawyer.
The one it happened to was a"
32,prompt_no_prime,no_prime,the lawyer asked the leader .,the leader was asked by the lawyer .,The lawyer did it .,the lawyer did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the lawyer and the leader.
The one who did it was the lawyer.
The one it happened to was the leader.

Bridget asked, ""What happened?""
Mary answered, ""The"," lawyer did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The lawyer did it.""
B"
32,prompt_filler,filler,the lawyer asked the leader .,the leader was asked by the lawyer .,The blanket dried on the line .,the blanket dried on the line .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was an askeding event involving the lawyer and the leader.
The one who did it was the lawyer.
The one it happened to was the leader.

Bridget asked, ""What happened?""
Mary answered, ""The"," blanket dried on the line.""

There was an askeding event involving the lawyer and the leader.
The one who did it"
33,prompt_no_prime,no_prime,the leader asks the man .,the man is asked by the leader .,The leader did it .,the leader did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an asking event involving the leader and the man.
The one who did it was the leader.
The one it happened to was the man.

Bridget asked, ""What happened?""
Mary answered, ""The"," leader did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The leader.""
Bridget"
