category,base,form_type,form,token_count,token_ids,tokens
verb,smenelmur,past_participle,smenelmured,5,895 268 417 76 1522,Ġsm en el m ured
verb,kvetafbav,stem,kvetafbav,5,479 16809 1878 65 615,Ġk vet af b av
verb,kvetafbav,third_person_singular,kvetafbavs,6,479 16809 1878 65 615 82,Ġk vet af b av s
verb,kvetafbav,past_participle,kvetafbaved,5,479 16809 1878 65 9586,Ġk vet af b aved
verb,skopemkul,stem,skopemkul,5,1341 404 368 74 377,Ġsk op em k ul
verb,skopemkul,third_person_singular,skopemkuls,5,1341 404 368 74 5753,Ġsk op em k uls
verb,skopemkul,past_participle,skopemkuled,5,1341 404 368 74 6309,Ġsk op em k uled
verb,zraruklom,stem,zraruklom,5,1976 20040 2724 75 296,Ġz rar uk l om
verb,zraruklom,third_person_singular,zrarukloms,5,1976 20040 2724 75 3150,Ġz rar uk l oms
verb,zraruklom,past_participle,zraruklomed,5,1976 20040 2724 75 12657,Ġz rar uk l omed
verb,vrasorkul,stem,vrasorkul,4,410 8847 967 377,Ġv ras ork ul
verb,vrasorkul,third_person_singular,vrasorkuls,4,410 8847 967 5753,Ġv ras ork uls
verb,vrasorkul,past_participle,vrasorkuled,4,410 8847 967 6309,Ġv ras ork uled
verb,zrazemgor,stem,zrazemgor,4,1976 3247 368 7053,Ġz raz em gor
verb,zrazemgor,third_person_singular,zrazemgors,5,1976 3247 368 70 669,Ġz raz em g ors
verb,zrazemgor,past_participle,zrazemgored,5,1976 3247 368 70 1850,Ġz raz em g ored
verb,pnegaflom,stem,pnegaflom,5,279 12480 1878 75 296,Ġp neg af l om
verb,pnegaflom,third_person_singular,pnegafloms,5,279 12480 1878 75 3150,Ġp neg af l oms
verb,pnegaflom,past_participle,pnegaflomed,5,279 12480 1878 75 12657,Ġp neg af l omed
verb,drupemzir,stem,drupemzir,5,288 12618 368 89 343,Ġd rup em z ir
verb,drupemzir,third_person_singular,drupemzirs,5,288 12618 368 89 17062,Ġd rup em z irs
verb,drupemzir,past_participle,drupemzired,5,288 12618 368 89 1202,Ġd rup em z ired
verb,klonorrud,stem,klonorrud,4,479 14995 38890 463,Ġk lon orr ud
verb,klonorrud,third_person_singular,klonorruds,4,479 14995 38890 24786,Ġk lon orr uds
verb,klonorrud,past_participle,klonorruded,4,479 14995 38890 19289,Ġk lon orr uded
verb,kvenelfin,stem,kvenelfin,4,479 574 7046 259,Ġk ven elf in
verb,kvenelfin,third_person_singular,kvenelfins,4,479 574 7046 1040,Ġk ven elf ins
verb,kvenelfin,past_participle,kvenelfined,4,479 574 7046 1389,Ġk ven elf ined
verb,tlulodgor,stem,tlulodgor,5,256 75 377 375 7053,Ġt l ul od gor
verb,tlulodgor,third_person_singular,tlulodgors,6,256 75 377 375 70 669,Ġt l ul od g ors
verb,tlulodgor,past_participle,tlulodgored,6,256 75 377 375 70 1850,Ġt l ul od g ored
verb,gritafmur,stem,gritafmur,3,34954 1878 28582,Ġgrit af mur
verb,gritafmur,third_person_singular,gritafmurs,4,34954 1878 76 1834,Ġgrit af m urs
verb,gritafmur,past_participle,gritafmured,4,34954 1878 76 1522,Ġgrit af m ured
verb,grifimlom,stem,grifimlom,5,1036 361 320 75 296,Ġgr if im l om
verb,grifimlom,third_person_singular,grifimloms,5,1036 361 320 75 3150,Ġgr if im l oms
verb,grifimlom,past_participle,grifimlomed,5,1036 361 320 75 12657,Ġgr if im l omed
verb,smevarbav,stem,smevarbav,4,895 1990 38039 615,Ġsm ev arb av
verb,smevarbav,third_person_singular,smevarbavs,5,895 1990 38039 615 82,Ġsm ev arb av s
verb,smevarbav,past_participle,smevarbaved,4,895 1990 38039 9586,Ġsm ev arb aved
verb,mnipemvek,stem,mnipemvek,6,285 77 541 368 303 74,Ġm n ip em ve k
verb,mnipemvek,third_person_singular,mnipemveks,6,285 77 541 368 303 591,Ġm n ip em ve ks
verb,mnipemvek,past_participle,mnipemveked,6,285 77 541 368 303 9091,Ġm n ip em ve ked
verb,zlopemmur,stem,zlopemmur,5,1976 75 404 368 28582,Ġz l op em mur
verb,zlopemmur,third_person_singular,zlopemmurs,6,1976 75 404 368 76 1834,Ġz l op em m urs
verb,zlopemmur,past_participle,zlopemmured,6,1976 75 404 368 76 1522,Ġz l op em m ured
verb,mninorkul,stem,mninorkul,4,285 35073 967 377,Ġm nin ork ul
verb,mninorkul,third_person_singular,mninorkuls,4,285 35073 967 5753,Ġm nin ork uls
verb,mninorkul,past_participle,mninorkuled,4,285 35073 967 6309,Ġm nin ork uled
verb,plotorbav,stem,plotorbav,3,7110 27688 615,Ġplot orb av
verb,plotorbav,third_person_singular,plotorbavs,4,7110 27688 615 82,Ġplot orb av s
verb,plotorbav,past_participle,plotorbaved,3,7110 27688 9586,Ġplot orb aved
verb,grinellom,stem,grinellom,4,1036 500 297 296,Ġgr ine ll om
verb,grinellom,third_person_singular,grinelloms,4,1036 500 297 3150,Ġgr ine ll oms
verb,grinellom,past_participle,grinellomed,4,1036 500 297 12657,Ġgr ine ll omed
verb,vregafvol,stem,vregafvol,4,410 2301 1878 10396,Ġv reg af vol
verb,vregafvol,third_person_singular,vregafvols,5,410 2301 1878 85 10220,Ġv reg af v ols
verb,vregafvol,past_participle,vregafvoled,5,410 2301 1878 10396 276,Ġv reg af vol ed
verb,zranorzir,stem,zranorzir,5,1976 2596 273 89 343,Ġz ran or z ir
verb,zranorzir,third_person_singular,zranorzirs,5,1976 2596 273 89 17062,Ġz ran or z irs
verb,zranorzir,past_participle,zranorzired,5,1976 2596 273 89 1202,Ġz ran or z ired
