row,column,core_text,jabber_text,core_tokens,jabber_tokens,jabber_minus_core
39,pa,the priest washed the prince .,the vrefimdil grineldiled the pnezebkul .,6,17,11
40,pa,a child catches a colonel .,a tlunelsel zlorukruded a mnikudpav .,6,18,12
41,pa,the lady hurt the lawyer .,the britorkul kvezemrabed the klogafrud .,6,17,11
42,pa,a cop destroys a cousin .,a plolodnef kvenelfined a tlunelsel .,6,17,11
43,pa,the friend killed the girl .,the smezemlom vragafmured the franorbav .,6,17,11
44,pa,a professor bothers a reader .,the vratafsel smevarbavs the tlunelsel .,6,18,12
45,pa,the buddy beat the candidate .,a smesormur bripemloms a klosilfin .,6,16,10
46,pa,a professor discovers a reader .,the smepimzir bripemloms the klosilfin .,6,17,11
47,pa,the minister raised the mother .,the vrefimdil zrazemgored the brisilsel .,6,17,11
48,pa,a physician describes a pilot .,a smesilrab skopemkuled a kvetorfin .,6,16,10
49,pa,the hero chased the husband .,the smesilrab grizebbavs the frapemsim .,6,16,10
50,pa,an aunt forgets an author .,the vranorked grinellomed the smesormur .,7,15,8
51,pa,the friend joined the girl .,a pnezebkul klonorruds a drufimzom .,6,17,11
52,pa,a king teaches a lady .,the kvelodzom zrazemgors the tlunelsel .,6,18,12
53,pa,the colonel followed the cop .,a britorkul drupemzirs a vrasilvol .,6,16,10
54,pa,a physician selects a pilot .,the vrasilvol smegafdils the plovakzir .,6,17,11
55,pa,the kid kissed the king .,a mnikudpav grinellomed a kvenorvek .,6,17,11
56,pa,a prince judges a princess .,the frasorgor vragafmurs the drutorked .,6,16,10
57,pa,the teacher punched the uncle .,a brikudtas frafimvoled a klogafrud .,6,18,12
58,pa,an employee protects an employer .,a tlumoldil skotafruded a grisortas .,6,17,11
59,pa,the cousin described the daughter .,the plolodnef grifimlomed the kverukvol .,6,17,11
60,pa,a winner comforts a woman .,the skozebsel zlodulfins the drufimzom .,7,17,10
61,pa,the hero grabbed the husband .,a frazemzom vrerukgored a mnikudpav .,6,18,12
62,pa,a cop comforts a cousin .,the tlumolvek grizebbaved the tlunelsel .,7,17,10
63,pa,the priest dragged the prince .,the druvarmur grineldiled the kvenorkul .,6,15,9
64,pa,an employee asks an employer .,a vrasilvol zlorukruded a kvenorvek .,6,17,11
65,pa,the actress helped the adult .,a britorkul drupemzirs a kvelodzom .,6,17,11
66,pa,a daughter helps a doctor .,the vratafsel zlorukruded the vretortas .,6,17,11
67,pa,the colonel asked the cop .,a kvenorvek drupemzired a smepemgor .,6,17,11
68,pa,a scientist asks a secretary .,the kvetorfin kvenelfined the smesilrab .,6,15,9
69,pa,the captain helped the champion .,a brisilsel vrezebzoms a skozebsel .,6,16,10
70,pa,a girl describes a guest .,a kvesorrud drupemzired a frataflom .,6,16,10
71,pa,the buddy punched the candidate .,the klogafrud smevarbavs the smekudlom .,6,18,12
72,pa,an uncle kisses a wife .,the tlumolvek zlorukruded the vrakudmur .,6,17,11
73,pa,the secretary forgot the sheriff .,a mnidulzom mnilodkeds a bripimdil .,6,18,12
74,pa,a cop judges a cousin .,the fradullom zrazemgors the kverukvol .,6,16,10
75,pa,the doctor judged the employee .,the kvetorfin gritafmured the grisortas .,6,15,9
76,pa,a physician embraces a pilot .,a smenelsel smenelmured a vrasilvol .,6,16,10
77,pa,the leader kissed the man .,the vrefimdil bripemloms the smenelsel .,6,17,11
78,pa,a husband chases a kid .,the tlumoldil klonorruded the zraduldil .,7,16,9
79,pa,the buddy protected the candidate .,a skozebsel grineldiled a smenelsel .,6,15,9
80,pa,a guy joins a hero .,the smepimzir grineldils the vratafsel .,6,17,11
81,pa,the priest kissed the prince .,the zramolmur kvevarmurs the frazemzom .,6,17,11
82,pa,a parent raises a partner .,a brisilsel drusilfined a britorkul .,6,16,10
83,pa,the reader understood the scientist .,a tlunelsel klosorveked a kverukvol .,6,17,11
84,pa,a bishop punches a boy .,a franorbav kvezemrabed a vretafzir .,6,17,11
85,pa,the reader punched the scientist .,the pnesillom smedulpaved the smezemlom .,6,16,10
86,pa,a husband carries a kid .,the tlumoldil vragafmured the grivarbav .,6,17,11
87,pa,the actress forgave the adult .,a smenelsel zranorzirs a tlumoldil .,7,17,10
88,pa,a mother discovers a nurse .,a kvetorfin zraruklomed a smevakkul .,6,17,11
89,pa,the wife asked the winner .,a zlosillom mninorkuled a frapemsim .,6,15,9
90,pa,a bishop chases a boy .,the smepemgor grifimloms the vranorked .,7,16,9
91,pa,the attorney punched the aunt .,the smevakkul smedulpaved the smekudlom .,6,17,11
92,pa,a husband catches a kid .,the zlosillom vrasorkuls the mnikudpav .,6,16,10
93,pa,the partner killed the physician .,the vrefimdil vrerukgored the kveruknef .,6,18,12
94,pa,a physician strikes a pilot .,a kvenorvek zlorukruded a frataflom .,6,17,11
95,pa,the doctor beat the employee .,a smesormur smedulpavs a plovakzir .,6,17,11
96,pa,a worker kisses a writer .,a frataflom smedulpavs a grisortas .,6,16,10
97,pa,the leader followed the man .,the vrepimpav kvesornefs the kvedulrab .,6,15,9
98,pa,a sheriff hurts a singer .,a skozemdil mninorkuled a kvenorvek .,6,17,11
99,pa,the guest washed the guy .,the mnidulzom vregafvoled the smezemlom .,6,18,12
100,pa,a scientist teaches a secretary .,the drutorked grineldiled the smekudlom .,6,16,10
101,pa,the captain taught the champion .,the tlumoldil zlodulfined the smesilrab .,6,17,11
102,pa,a prince understands a princess .,a grivarbav kvesornefs a pnesillom .,6,15,9
103,pa,the priest killed the prince .,a smepemgor skopemkuls a kvevarzom .,6,17,11
104,pa,a sheriff beats a singer .,a klosilfin kvenelfined a vrepimpav .,6,15,9
105,pa,the leader protected the man .,a kveruknef grifimlomed a klogafrud .,6,18,12
106,pa,a king understands a lady .,the vrefimdil vrerukgored the tlumolvek .,6,18,12
107,pa,the kid killed the king .,the fravaksel vrerukgors the smepemgor .,6,16,10
108,pa,a president hurts a priest .,a vratafsel vrerukgored a vrasilvol .,6,17,11
109,pa,the reader struck the scientist .,a vretafzir zrazemgored a plolodnef .,6,18,12
110,pa,a professor forgives a reader .,the vrakudmur pnegaflomed the smesormur .,7,16,9
111,pa,the actress forgot the adult .,a kvenorvek kvesornefs a smepimzir .,6,17,11
112,pa,a president kills a priest .,a klotafdil klosorveks a skozemdil .,6,18,12
113,pa,the lady surprised the lawyer .,the pnezebkul grifimlomed the vrakudmur .,6,17,11
114,pa,a parent hurries a partner .,the vretortas smevarbaved the kvezemzom .,7,16,9
115,pa,the guest taught the guy .,a smesilrab smenelmured a kvenorvek .,6,17,11
116,pa,a student teaches a teacher .,a brisilsel zlorukruds a mnidulzom .,6,17,11
117,pa,the princess dragged the professor .,a vrepimpav kvezemrabs a druvarmur .,6,16,10
118,pa,a physician raises a pilot .,the mnikudpav vrerukgors the kvesorrud .,6,17,11
119,pa,the captain surprised the champion .,a brikudtas smedulpavs a drufimzom .,6,18,12
120,pa,a physician hurts a pilot .,the fravaksel pnegaflomed the smepemgor .,6,16,10
121,pa,the minister followed the mother .,the kvezemzom vrezebzomed the frapemsim .,6,17,11
122,pa,a sheriff understands a singer .,a vrakudmur vrasorkuls a smezemlom .,6,16,10
123,pa,the actress asked the adult .,a pnesillom smenelmured a kvesorrud .,6,16,10
124,pa,a winner punches a woman .,a grivarbav drusilfins a vravaknef .,6,17,11
125,pa,the friend asked the girl .,the kvezemzom smevarbaved the klogafrud .,6,17,11
126,pa,an actor teaches an actress .,the vratorrud pnegaflomed the brikudtas .,6,17,11
127,pa,the colonel grabbed the cop .,a brisilsel gritafmurs a plokudsel .,6,15,9
128,pa,a soldier asks a son .,the kvelodzom smegafdiled the tlumolvek .,6,18,12
129,pa,the son punched the student .,a kvenorkul zrazemgored a smepemgor .,6,16,10
130,pa,a brother forgives a buddy .,the vratafsel vrasorkuls the klogafrud .,7,17,10
131,pa,the employer struck the father .,a smenelsel zlodulfined a kveruknef .,6,17,11
132,pa,a soldier bothers a son .,the grivarbav bripemlomed the smekudlom .,6,17,11
133,pa,the doctor bothered the employee .,the smepimzir zlorukruded the smesilrab .,6,17,11
134,pa,a soldier comforts a son .,a klosilfin mninorkuled a vretafzir .,7,16,9
135,pa,the boy comforted the brother .,the pnezebkul grizebbavs the plolodnef .,7,18,11
136,pa,an actor bothers an actress .,the vrakudmur frafimvols the vretafzir .,6,17,11
137,pa,the employer bothered the father .,the zlosillom smegafdiled the zraduldil .,6,16,10
138,pa,a father hurts a friend .,the brikudtas vrezebzomed the mnikudpav .,6,18,12
139,pa,the chief bothered the child .,the kvetorfin kvesornefed the kveruknef .,6,16,10
140,pa,a scientist bothers a secretary .,the smepimzir smegafdils the kvetorfin .,6,17,11
141,pa,the reader joined the scientist .,a frasorgor gritafmured a smesilrab .,6,15,9
142,pa,a father kisses a friend .,a smepimzir grineldiled a smevakrab .,6,16,10
143,pa,the cousin selected the daughter .,a kvedulrab grineldiled a vravaknef .,6,16,10
144,pa,a bishop drags a boy .,the brikudtas drupemzirs the smevakkul .,7,18,11
145,pa,the kid destroyed the king .,a vratorrud skopemkuled a smesormur .,6,16,10
146,pa,a bishop teaches a boy .,the skozemdil vragafmured the pnesillom .,6,17,11
147,pa,the kid washed the king .,the mnidulzom skopemkuled the vramolsim .,6,17,11
148,pa,a lawyer protects a leader .,a frataflom pnegaflomed a fravaksel .,6,16,10
149,pa,the actress described the adult .,a mnikudpav skopemkuled a fradulvek .,6,18,12
150,pa,a worker punches a writer .,a klogafrud vrasorkuls a smevakrab .,6,16,10
151,pa,the leader embraced the man .,the kvesorrud zlorukruded the brisilsel .,6,16,10
152,pa,a worker joins a writer .,a vrefimdil kvezemrabed a vrepimpav .,6,17,11
153,pa,the partner protected the physician .,the bripimdil kvenelfins the klogafrud .,6,17,11
154,pa,a professor kills a reader .,the vramolsim vregafvoled the vrepimpav .,6,16,10
155,pa,the secretary washed the sheriff .,the drufimzom smegafdils the klosilfin .,6,17,11
156,pa,a mayor forgives a minister .,the mnikudpav kvenelfins the smenelsel .,7,16,9
157,pa,the buddy asked the candidate .,a smenelsel grifimlomed a zramolmur .,6,16,10
158,pa,an uncle kills a wife .,the vrasilvol frafimvoled the kveruknef .,6,17,11
159,pa,the hero struck the husband .,a kvelodzom smenelmured a vramolsim .,6,17,11
160,pa,a father punches a friend .,the plokudsel zlorukruded the tlumolvek .,6,17,11
161,pa,the guest protected the guy .,a smenelsel klosorveks a fradulvek .,6,17,11
162,pa,a man helps a manager .,a kvesorrud klosorveks a klosilfin .,6,16,10
163,pa,the minister forgot the mother .,a frapemsim gritafmurs a smesilrab .,6,15,9
164,pa,a mother judges a nurse .,a grivarbav klosorveks a smesormur .,6,16,10
165,pa,the woman surprised the worker .,the plolodnef zrazemgored the fravaksel .,6,17,11
166,pa,a professor strikes a reader .,a frataflom pnegaflomed a bripimdil .,6,17,11
167,pa,the actress hurt the adult .,a plovakzir gritafmured a vratafsel .,6,17,11
168,pa,a man forgives a manager .,a frasorgor smegafdiled a fradulvek .,7,17,10
169,pa,the kid understood the king .,the vrefimdil grinelloms the smevakrab .,6,16,10
170,pa,a bishop forgets a boy .,the vrakudmur mnilodkeds the mnidulzom .,7,17,10
171,pa,the reader helped the scientist .,the vranorked pnegaflomed the bripimdil .,6,17,11
172,pa,a prince kills a princess .,the kverukvol grinellomed the vratorrud .,6,15,9
173,pa,the woman forgot the worker .,a fradulvek zrarukloms a vravaknef .,6,18,12
174,pa,a mayor helps a minister .,a mnidulzom smevarbaved a smenelsel .,6,16,10
175,pa,the wife helped the winner .,the smesormur kvevarmurs the grivarbav .,6,16,10
176,pa,a mayor hurries a minister .,a klosilfin vrerukgored a pnezebkul .,7,17,10
177,pa,the author comforted the bishop .,a zraduldil mnilodkeded a smepemgor .,7,16,9
178,pa,a worker protects a writer .,a frasorgor skotafruded a kvesorrud .,6,16,10
179,pa,the chief judged the child .,a smepemgor kvenelfined a brikudtas .,6,16,10
180,pa,a president teaches a priest .,the pnesillom klonorruded the kvenorkul .,6,15,9
181,pa,the lady kissed the lawyer .,a vramolsim grizebbavs a britorkul .,6,16,10
182,pa,a candidate kills a captain .,the smenelsel kvezemrabed the smezemlom .,6,17,11
183,pa,the leader carried the man .,the mnikudpav klosorveks the vrepimpav .,6,17,11
184,pa,a husband judges a kid .,the skozebsel grizebbaved the fradulvek .,6,16,10
185,pa,the teacher dragged the uncle .,the skozebsel grifimloms the vrefimdil .,6,17,11
186,pa,a cop hurries a cousin .,the fradulvek frafimvoled the zraduldil .,7,17,10
187,pa,the cousin judged the daughter .,the grivarbav zlodulfins the kvesorrud .,6,16,10
188,pa,a worker raises a writer .,a zramolmur grinellomed a kvetorfin .,6,15,9
189,pa,the hero killed the husband .,a vrefimdil grinellomed a smepemgor .,6,16,10
190,pa,a child selects a colonel .,a vravaknef klonorruded a zraduldil .,6,16,10
191,pa,the princess asked the professor .,the kvesorrud kvenelfins the smenelsel .,6,15,9
192,pa,a soldier understands a son .,a kveruknef vragafmured a smevakrab .,6,17,11
193,pa,the actress taught the adult .,the britorkul drupemzired the kvenorkul .,6,16,10
194,pa,a champion understands a chief .,the smekudlom zraruklomed the vratafsel .,6,18,12
195,pa,the singer taught the soldier .,a skozemdil kvenelfined a vretortas .,6,16,10
196,pa,a child strikes a colonel .,a drutorked grinelloms a frapemsim .,6,15,9
197,pa,the lady caught the lawyer .,the kvetorfin kvesornefed the vrefimdil .,6,16,10
198,pa,an employee joins an employer .,a grisortas grineldiled a zramolmur .,6,15,9
199,pa,the captain described the champion .,the vratafsel mninorkuls the vrasilvol .,6,16,10
200,pa,a candidate hurts a captain .,the kvelodzom kvezemrabs the vravaknef .,6,18,12
201,pa,the manager helped the mayor .,a skozebsel vrezebzoms a klotafdil .,6,17,11
202,pa,a mother punches a nurse .,the grivarbav grineldils the smevakrab .,6,15,9
203,pa,the guest joined the guy .,the grisortas pnegaflomed the fravaksel .,6,16,10
204,pa,an adult washes an attorney .,the smepemgor zraruklomed the vrasilvol .,7,16,9
205,pa,the buddy joined the candidate .,a plovakzir vrasorkuled a plolodnef .,6,17,11
206,pa,a father asks a friend .,a plolodnef vrasorkuls a kvenorvek .,6,17,11
207,pa,the nurse hurried the parent .,a kvevarzom klonorruds a plovakzir .,6,17,11
208,pa,a king forgets a lady .,a plovakzir skotafruded a vranorked .,7,17,10
209,pa,the kid forgot the king .,the kveruknef vregafvoled the brisilsel .,6,17,11
210,pa,a sheriff selects a singer .,a smezemlom grineldiled a zraduldil .,6,16,10
211,pa,the writer dragged the actor .,the pnezebkul smenelmurs the frataflom .,6,17,11
212,pa,a prince hurts a princess .,a vretortas vragafmurs a fradullom .,6,16,10
213,pa,the son killed the student .,the klogafrud smedulpaved the kveruknef .,6,17,11
214,pa,a girl teaches a guest .,the vrasilvol grifimlomed the zramolmur .,6,16,10
215,pa,the woman selected the worker .,a smenelsel grifimlomed a smesormur .,6,16,10
216,pa,a daughter joins a doctor .,a frapemsim kvesornefed a kverukvol .,6,15,9
217,pa,the chief hurt the child .,a smepemgor mninorkuled a frataflom .,6,15,9
218,pa,a king discovers a lady .,the pnesillom klonorruds the drufimzom .,6,16,10
219,pa,the writer comforted the actor .,a zraduldil kvenelfined a smesilrab .,7,15,8
220,pa,an adult describes an attorney .,a plokudsel drusilfins a skozebsel .,6,16,10
221,pa,the attorney struck the aunt .,the klogafrud zlodulfined the plokudsel .,6,17,11
222,pa,a mayor strikes a minister .,the smevakrab frafimvols the tlumolvek .,6,17,11
223,pa,the friend hurried the girl .,the kvedulrab frafimvols the klosilfin .,6,16,10
224,pa,a prince destroys a princess .,a klotafdil vrasorkuls a vratafsel .,6,17,11
225,pa,the wife caught the winner .,a frataflom frafimvols a vrefimdil .,6,17,11
226,pa,a winner embraces a woman .,the drutorked kvenelfins the smepimzir .,6,16,10
227,pa,the wife described the winner .,the zlosillom drusilfined the klosilfin .,6,16,10
228,pa,a candidate teaches a captain .,the druvarmur grinellomed the kveruknef .,6,16,10
229,pa,the secretary taught the sheriff .,a frazemzom zraruklomed a plokudsel .,6,17,11
230,pa,a scientist carries a secretary .,the smenelsel kvevarmured the smevakrab .,6,16,10
231,pa,the pilot asked the president .,the fradulvek smegafdils the skozemdil .,6,18,12
232,pa,a professor hurries a reader .,a fradulvek frafimvoled a kvedulrab .,7,17,10
233,pa,the son hurt the student .,a tlumolvek zlodulfined a drutorked .,6,17,11
234,pa,a brother understands a buddy .,the vrasilvol skopemkuled the smevakrab .,6,16,10
235,pa,the guest punched the guy .,a fradulvek drusilfined a druvarmur .,6,17,11
236,pa,a bishop beats a boy .,the grivarbav pnegaflomed the smepimzir .,6,17,11
237,pa,the princess punched the professor .,a kveruknef vrerukgored a vretafzir .,6,18,12
238,pa,a professor drags a reader .,the fradullom skopemkuls the kveruknef .,7,17,10
239,pa,the nurse described the parent .,a vretafzir klonorruds a vrasilvol .,6,16,10
240,pa,a man catches a manager .,the kvesorrud zlorukruded the kveruknef .,6,17,11
241,pa,the colonel discovered the cop .,a franorbav bripemloms a vratafsel .,6,17,11
242,pa,an aunt judges an author .,a pnesillom skotafruded a kvesorrud .,6,16,10
243,pa,the wife carried the winner .,a zlosillom klonorruds a kvesorrud .,6,15,9
244,pa,an uncle helps a wife .,the druvarmur mninorkuls the tlumoldil .,6,16,10
245,pa,the hero carried the husband .,the zramolmur smevarbaved the vretafzir .,6,16,10
246,pa,an employee describes an employer .,a plovakzir klonorruded a bripimdil .,6,17,11
247,pa,the colonel described the cop .,the zramolmur smedulpavs the drufimzom .,6,17,11
248,pa,a man teaches a manager .,a smepemgor bripemlomed a kvetorfin .,6,16,10
249,pa,the colonel comforted the cop .,a tlunelsel skopemkuls a frapemsim .,7,17,10
250,pa,a cop kills a cousin .,the druvarmur kvesornefed the frazemzom .,6,16,10
251,pa,the partner destroyed the physician .,the kvelodzom grifimloms the zlosillom .,6,17,11
252,pa,a champion washes a chief .,a kvedulrab kvevarmurs a kvesorrud .,7,16,9
253,pa,the guest destroyed the guy .,the franorbav smegafdils the smevakrab .,6,16,10
254,pa,a cop beats a cousin .,a plolodnef grizebbavs a druvarmur .,6,17,11
255,pa,the manager described the mayor .,the plokudsel smevarbavs the zlosillom .,6,16,10
256,pa,a bishop selects a boy .,the zramolmur mninorkuls the fradulvek .,6,16,10
257,pa,the son chased the student .,the frataflom gritafmured the zramolmur .,6,15,9
258,pa,a champion follows a chief .,a drufimzom smegafdiled a druvarmur .,6,17,11
259,pa,the partner followed the physician .,a kvenorvek smedulpaved a klogafrud .,6,17,11
260,pa,a daughter follows a doctor .,a franorbav mninorkuled a vratafsel .,6,16,10
261,pa,the lady followed the lawyer .,a kveruknef gritafmurs a frapemsim .,6,16,10
262,pa,a lawyer hurts a leader .,the kvenorvek zranorzirs the klotafdil .,6,18,12
263,pa,the colonel chased the cop .,a kvedulrab drupemzirs a druvarmur .,6,16,10
264,pa,a husband strikes a kid .,a zramolmur vrezebzoms a fravaksel .,6,16,10
265,pa,the attorney described the aunt .,a vretafzir grinelloms a frazemzom .,6,17,11
266,pa,an aunt follows an author .,the kvenorvek klosorveks the smevakrab .,6,17,11
267,pa,the secretary caught the sheriff .,a klogafrud vragafmurs a zramolmur .,6,17,11
268,pa,a student judges a teacher .,the vramolsim grizebbaved the vretafzir .,6,16,10
269,pa,the leader selected the man .,the smevakrab skotafruds the kverukvol .,6,16,10
270,pa,a worker asks a writer .,the smevakkul frafimvoled the smesormur .,6,17,11
271,pa,the actress struck the adult .,the zraduldil klonorruds the fradulvek .,6,16,10
272,pa,a brother discovers a buddy .,the bripimdil frafimvols the mnidulzom .,6,18,12
273,pa,the lady punched the lawyer .,the kverukvol smegafdils the druvarmur .,6,16,10
274,pa,a prince carries a princess .,a plovakzir smenelmurs a vretafzir .,6,18,12
275,pa,the actress grabbed the adult .,a vrasilvol skotafruded a vratafsel .,6,17,11
276,pa,an uncle judges a wife .,a klotafdil vragafmurs a vrefimdil .,6,18,12
277,pa,the manager hurried the mayor .,a klotafdil vrasorkuled a vretafzir .,6,17,11
278,pa,a winner strikes a woman .,the zraduldil grizebbaved the plolodnef .,6,16,10
279,pa,the manager carried the mayor .,a kverukvol pnegaflomed a smekudlom .,6,17,11
280,pa,a mother washes a nurse .,a druvarmur vrezebzomed a drufimzom .,7,17,10
281,pa,the guest caught the guy .,the brisilsel vrezebzoms the vretafzir .,6,17,11
282,pa,a president raises a priest .,a vravaknef frafimvoled a vratafsel .,6,18,12
283,pa,the doctor destroyed the employee .,the plovakzir kvevarmurs the frazemzom .,6,18,12
284,pa,a father selects a friend .,a kvetorfin klonorruds a franorbav .,6,15,9
285,pa,the cousin dragged the daughter .,the tlunelsel vrerukgors the drutorked .,6,17,11
286,pa,a cop kisses a cousin .,a tlunelsel smenelmured a smevakkul .,6,18,12
287,pa,the chief kissed the child .,a vratorrud kvevarmurs a britorkul .,6,16,10
288,pa,a champion hurries a chief .,the brikudtas grifimloms the frapemsim .,7,17,10
289,pa,the hero caught the husband .,a vratorrud vragafmured a drutorked .,6,16,10
290,pa,a cop bothers a cousin .,a bripimdil skotafruded a klotafdil .,6,18,12
291,pa,the reader caught the scientist .,a kvetorfin skotafruded a franorbav .,6,16,10
292,pa,a student embraces a teacher .,the klosilfin pnegaflomed the vrakudmur .,6,16,10
293,pa,the boy washed the brother .,the frasorgor kvezemrabed the kvevarzom .,6,17,11
294,pa,a mother describes a nurse .,a skozemdil bripemloms a vrakudmur .,6,17,11
295,pa,the hero surprised the husband .,a vravaknef frafimvols a kvenorvek .,6,18,12
296,pa,a guy carries a hero .,the vrakudmur kvevarmurs the skozebsel .,6,16,10
297,pa,the singer bothered the soldier .,the smevakrab zlorukruded the plovakzir .,6,17,11
298,pa,an adult bothers an attorney .,the tlumoldil smenelmured the fradulvek .,6,18,12
299,pa,the kid selected the king .,the kvenorkul vregafvoled the smepimzir .,6,17,11
300,pa,a president grabs a priest .,a britorkul grineldiled a kvevarzom .,6,16,10
301,pa,the wife grabbed the winner .,a kvezemzom zlorukruds a kvesorrud .,6,17,11
302,pa,a student joins a teacher .,the kvedulrab mninorkuls the drutorked .,6,15,9
303,pa,the manager killed the mayor .,a smepimzir skotafruds a mnidulzom .,6,18,12
304,pa,a mother selects a nurse .,a kvetorfin klonorruds a zraduldil .,6,15,9
305,pa,the captain carried the champion .,the vramolsim skotafruded the skozemdil .,6,17,11
306,pa,a president discovers a priest .,a vrakudmur klonorruded a klogafrud .,6,16,10
307,pa,the chief selected the child .,the smenelsel grifimlomed the smevakrab .,6,16,10
308,pa,a professor helps a reader .,the grisortas pnegaflomed the vrakudmur .,6,16,10
309,pa,the attorney embraced the aunt .,a smepemgor kvezemrabed a smesilrab .,6,16,10
310,pa,a child punches a colonel .,the smesilrab smevarbaved the mnidulzom .,6,16,10
311,pa,the writer beat the actor .,the skozemdil grineldiled the grivarbav .,6,16,10
312,pa,a brother surprises a buddy .,the smesormur vrezebzomed the frataflom .,6,16,10
313,pa,the doctor taught the employee .,a britorkul skotafruded a vratorrud .,6,16,10
314,pa,an actor embraces an actress .,the grivarbav klonorruds the druvarmur .,6,15,9
315,pa,the guest killed the guy .,the tlumoldil smegafdils the fradulvek .,6,18,12
316,pa,an employee kills an employer .,the smekudlom zlorukruds the vretortas .,6,17,11
317,pa,the teacher joined the uncle .,a smekudlom zlorukruds a fradulvek .,6,18,12
318,pa,a brother catches a buddy .,the vravaknef vrezebzoms the kvesorrud .,6,17,11
319,pa,the cousin comforted the daughter .,the kvelodzom vregafvols the plolodnef .,7,18,11
320,pa,a parent understands a partner .,the fravaksel gritafmurs the kvetorfin .,6,15,9
321,pa,the attorney forgot the aunt .,a smesormur gritafmurs a vretafzir .,6,16,10
322,pa,a sheriff forgives a singer .,the klosilfin smevarbavs the plokudsel .,7,16,9
323,pa,the guest understood the guy .,the tlunelsel zrazemgored the fradulvek .,6,18,12
324,pa,a sheriff forgets a singer .,the skozemdil pnegaflomed the smezemlom .,7,18,11
325,pa,the partner judged the physician .,a kvesorrud grineldils a smenelsel .,6,15,9
326,pa,a professor understands a reader .,the klotafdil kvevarmurs the frasorgor .,6,17,11
327,pa,the leader grabbed the man .,the vramolsim kvevarmured the vratorrud .,6,16,10
328,pa,a professor comforts a reader .,the skozebsel klosorveked the frapemsim .,7,16,9
329,pa,the nurse followed the parent .,the vravaknef vrasorkuled the smenelsel .,6,16,10
330,pa,a mayor bothers a minister .,a britorkul grineldiled a tlumoldil .,6,16,10
331,pa,the boy surprised the brother .,the plovakzir frafimvols the skozemdil .,6,18,12
