model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,token_position,preference_token_logprob_mean,preference_token_logprob_std,n_tokens
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,5,-2.1326320268562995,1.211568970569014,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,6,-2.426942393183708,0.6162016928542798,312
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,7,-2.555378809571266,0.24975454054210472,8
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,0,0.004004478454589844,0.4189329965036685,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,1,-0.5227100402116776,1.1910538127176005,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,2,-1.9419522285461426,1.9135617917092238,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,3,2.3128383234143257,1.876532166949637,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,4,-0.027498203795403242,0.3059412585977287,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,nonce,5,-2.9768683090806007,0.5213868925166504,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,0,-0.03133392333984375,0.2216757467766072,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,1,-0.4462622022256255,0.9940552108326353,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,2,-0.9920151950209402,2.5388420463354153,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,3,1.280057582189329,2.2784102639220936,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,4,0.15212252014316618,0.4956923383660763,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,5,-2.098397024150472,1.039410942214251,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,6,-2.5641329842500196,0.5948684224229329,312
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,real,7,-2.615006759762764,0.3569344978114804,8
