item_index,prompt_template,prime_structure,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure
12,word_list,passive,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the",-3.937204360961914,-4.966562747955322,-1.0293583869934082,active
12,role_labeled,active,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Event roles: AGENT=winner; PATIENT=princess; VERB=asks/asked
Sentence: the",-7.06558084487915,-6.834738254547119,0.23084259033203125,passive
12,role_labeled,passive,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Event roles: AGENT=winner; PATIENT=princess; VERB=asks/asked
Sentence: the",-7.167666435241699,-6.279674530029297,0.8879919052124023,passive
13,word_list,active,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the",-1.4416626691818237,-5.5303215980529785,-4.088658928871155,active
13,word_list,passive,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the",-4.326995849609375,-7.9350080490112305,-3.6080121994018555,active
13,role_labeled,active,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Event roles: AGENT=president; PATIENT=singer; VERB=grabbed
Sentence: the",-3.0431571006774902,-5.597786903381348,-2.5546298027038574,active
13,role_labeled,passive,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Event roles: AGENT=president; PATIENT=singer; VERB=grabbed
Sentence: the",-5.531171798706055,-7.58906888961792,-2.0578970909118652,active
14,word_list,active,a writer kisses a bishop .,the champion raised the leader .,the leader was raised by the champion .,champion,leader,raised,raised,"Prime sentence: a writer kisses a bishop .
Use these words in one sentence: champion, leader, raised
Sentence: the",-3.5103061199188232,-5.445701599121094,-1.9353954792022705,active
14,word_list,passive,a bishop is kissed by a writer .,the champion raised the leader .,the leader was raised by the champion .,champion,leader,raised,raised,"Prime sentence: a bishop is kissed by a writer .
Use these words in one sentence: champion, leader, raised
Sentence: the",-3.3090739250183105,-5.552775859832764,-2.243701934814453,active
14,role_labeled,active,a writer kisses a bishop .,the champion raised the leader .,the leader was raised by the champion .,champion,leader,raised,raised,"Prime sentence: a writer kisses a bishop .
Event roles: AGENT=champion; PATIENT=leader; VERB=raised
Sentence: the",-5.786675453186035,-6.207921504974365,-0.4212460517883301,active
14,role_labeled,passive,a bishop is kissed by a writer .,the champion raised the leader .,the leader was raised by the champion .,champion,leader,raised,raised,"Prime sentence: a bishop is kissed by a writer .
Event roles: AGENT=champion; PATIENT=leader; VERB=raised
Sentence: the",-4.775738716125488,-6.158883094787598,-1.3831443786621094,active
15,word_list,active,the reader purchases the newspaper .,a mayor helped a singer .,a singer was helped by a mayor .,mayor,singer,helped,helped,"Prime sentence: the reader purchases the newspaper .
Use these words in one sentence: mayor, singer, helped
Sentence: the",-2.295370101928711,-5.601067066192627,-3.305696964263916,active
15,word_list,passive,the newspaper is purchased by the reader .,a mayor helped a singer .,a singer was helped by a mayor .,mayor,singer,helped,helped,"Prime sentence: the newspaper is purchased by the reader .
Use these words in one sentence: mayor, singer, helped
Sentence: the",-2.587648391723633,-5.636040210723877,-3.048391819000244,active
15,role_labeled,active,the reader purchases the newspaper .,a mayor helped a singer .,a singer was helped by a mayor .,mayor,singer,helped,helped,"Prime sentence: the reader purchases the newspaper .
Event roles: AGENT=mayor; PATIENT=singer; VERB=helped
Sentence: the",-3.5082831382751465,-4.812423229217529,-1.3041400909423828,active
15,role_labeled,passive,the newspaper is purchased by the reader .,a mayor helped a singer .,a singer was helped by a mayor .,mayor,singer,helped,helped,"Prime sentence: the newspaper is purchased by the reader .
Event roles: AGENT=mayor; PATIENT=singer; VERB=helped
Sentence: the",-3.898751974105835,-5.247041702270508,-1.3482897281646729,active
16,word_list,active,the aunt taught the president .,a lady accepts a gun .,a gun is accepted by a lady .,lady,gun,accepts,accepted,"Prime sentence: the aunt taught the president .
Use these words in one sentence: lady, gun, accepts/accepted
Sentence: the",-3.419430732727051,-3.6424779891967773,-0.22304725646972656,active
16,word_list,passive,the president was taught by the aunt .,a lady accepts a gun .,a gun is accepted by a lady .,lady,gun,accepts,accepted,"Prime sentence: the president was taught by the aunt .
Use these words in one sentence: lady, gun, accepts/accepted
Sentence: the",-4.0607452392578125,-4.900917053222656,-0.8401718139648438,active
16,role_labeled,active,the aunt taught the president .,a lady accepts a gun .,a gun is accepted by a lady .,lady,gun,accepts,accepted,"Prime sentence: the aunt taught the president .
Event roles: AGENT=lady; PATIENT=gun; VERB=accepts/accepted
Sentence: the",-4.798198699951172,-3.8340530395507812,0.9641456604003906,passive
16,role_labeled,passive,the president was taught by the aunt .,a lady accepts a gun .,a gun is accepted by a lady .,lady,gun,accepts,accepted,"Prime sentence: the president was taught by the aunt .
Event roles: AGENT=lady; PATIENT=gun; VERB=accepts/accepted
Sentence: the",-4.991411209106445,-4.0321044921875,0.9593067169189453,passive
17,word_list,active,a guest washed a computer .,the son punches the champion .,the champion is punched by the son .,son,champion,punches,punched,"Prime sentence: a guest washed a computer .
Use these words in one sentence: son, champion, punches/punched
Sentence: the",-4.569782257080078,-5.572703838348389,-1.0029215812683105,active
17,word_list,passive,a computer was washed by a guest .,the son punches the champion .,the champion is punched by the son .,son,champion,punches,punched,"Prime sentence: a computer was washed by a guest .
Use these words in one sentence: son, champion, punches/punched
Sentence: the",-4.944385528564453,-6.032598495483398,-1.0882129669189453,active
17,role_labeled,active,a guest washed a computer .,the son punches the champion .,the champion is punched by the son .,son,champion,punches,punched,"Prime sentence: a guest washed a computer .
Event roles: AGENT=son; PATIENT=champion; VERB=punches/punched
Sentence: the",-4.833022117614746,-5.9132585525512695,-1.0802364349365234,active
17,role_labeled,passive,a computer was washed by a guest .,the son punches the champion .,the champion is punched by the son .,son,champion,punches,punched,"Prime sentence: a computer was washed by a guest .
Event roles: AGENT=son; PATIENT=champion; VERB=punches/punched
Sentence: the",-4.917059421539307,-5.99521541595459,-1.0781559944152832,active
18,word_list,active,the adult hurries the candidate .,a teacher forgot a coffee .,a coffee was forgotten by a teacher .,teacher,coffee,forgot,forgotten,"Prime sentence: the adult hurries the candidate .
Use these words in one sentence: teacher, coffee, forgot/forgotten
Sentence: the",-2.192565441131592,-6.093841552734375,-3.901276111602783,active
18,word_list,passive,the candidate is hurried by the adult .,a teacher forgot a coffee .,a coffee was forgotten by a teacher .,teacher,coffee,forgot,forgotten,"Prime sentence: the candidate is hurried by the adult .
Use these words in one sentence: teacher, coffee, forgot/forgotten
Sentence: the",-1.9525935649871826,-6.140669822692871,-4.1880762577056885,active
18,role_labeled,active,the adult hurries the candidate .,a teacher forgot a coffee .,a coffee was forgotten by a teacher .,teacher,coffee,forgot,forgotten,"Prime sentence: the adult hurries the candidate .
Event roles: AGENT=teacher; PATIENT=coffee; VERB=forgot/forgotten
Sentence: the",-2.732933521270752,-7.760569095611572,-5.02763557434082,active
18,role_labeled,passive,the candidate is hurried by the adult .,a teacher forgot a coffee .,a coffee was forgotten by a teacher .,teacher,coffee,forgot,forgotten,"Prime sentence: the candidate is hurried by the adult .
Event roles: AGENT=teacher; PATIENT=coffee; VERB=forgot/forgotten
Sentence: the",-2.650897741317749,-7.732866287231445,-5.081968545913696,active
19,word_list,active,a secretary drags a sheriff .,the employer raised the machine .,the machine was raised by the employer .,employer,machine,raised,raised,"Prime sentence: a secretary drags a sheriff .
Use these words in one sentence: employer, machine, raised
Sentence: the",-4.2144670486450195,-5.2896881103515625,-1.075221061706543,active
19,word_list,passive,a sheriff is dragged by a secretary .,the employer raised the machine .,the machine was raised by the employer .,employer,machine,raised,raised,"Prime sentence: a sheriff is dragged by a secretary .
Use these words in one sentence: employer, machine, raised
Sentence: the",-4.237669944763184,-5.183651924133301,-0.9459819793701172,active
19,role_labeled,active,a secretary drags a sheriff .,the employer raised the machine .,the machine was raised by the employer .,employer,machine,raised,raised,"Prime sentence: a secretary drags a sheriff .
Event roles: AGENT=employer; PATIENT=machine; VERB=raised
Sentence: the",-5.620948791503906,-4.628064155578613,0.992884635925293,passive
19,role_labeled,passive,a sheriff is dragged by a secretary .,the employer raised the machine .,the machine was raised by the employer .,employer,machine,raised,raised,"Prime sentence: a sheriff is dragged by a secretary .
Event roles: AGENT=employer; PATIENT=machine; VERB=raised
Sentence: the",-5.274652481079102,-4.37114143371582,0.9035110473632812,passive
20,word_list,active,the chief surprises the pilot .,a reader ate a meal .,a meal was eaten by a reader .,reader,meal,ate,eaten,"Prime sentence: the chief surprises the pilot .
Use these words in one sentence: reader, meal, ate/eaten
Sentence: the",-4.106410026550293,-6.11570930480957,-2.0092992782592773,active
20,word_list,passive,the pilot is surprised by the chief .,a reader ate a meal .,a meal was eaten by a reader .,reader,meal,ate,eaten,"Prime sentence: the pilot is surprised by the chief .
Use these words in one sentence: reader, meal, ate/eaten
Sentence: the",-3.1574950218200684,-5.179290294647217,-2.0217952728271484,active
20,role_labeled,active,the chief surprises the pilot .,a reader ate a meal .,a meal was eaten by a reader .,reader,meal,ate,eaten,"Prime sentence: the chief surprises the pilot .
Event roles: AGENT=reader; PATIENT=meal; VERB=ate/eaten
Sentence: the",-5.6873602867126465,-7.017363548278809,-1.330003261566162,active
20,role_labeled,passive,the pilot is surprised by the chief .,a reader ate a meal .,a meal was eaten by a reader .,reader,meal,ate,eaten,"Prime sentence: the pilot is surprised by the chief .
Event roles: AGENT=reader; PATIENT=meal; VERB=ate/eaten
Sentence: the",-4.795016765594482,-6.105012893676758,-1.3099961280822754,active
21,word_list,active,a father washes a brother .,the employee forgave the champion .,the champion was forgiven by the employee .,employee,champion,forgave,forgiven,"Prime sentence: a father washes a brother .
Use these words in one sentence: employee, champion, forgave/forgiven
Sentence: the",-5.077838897705078,-6.522828102111816,-1.4449892044067383,active
21,word_list,passive,a brother is washed by a father .,the employee forgave the champion .,the champion was forgiven by the employee .,employee,champion,forgave,forgiven,"Prime sentence: a brother is washed by a father .
Use these words in one sentence: employee, champion, forgave/forgiven
Sentence: the",-5.651308059692383,-6.410451889038086,-0.7591438293457031,active
21,role_labeled,active,a father washes a brother .,the employee forgave the champion .,the champion was forgiven by the employee .,employee,champion,forgave,forgiven,"Prime sentence: a father washes a brother .
Event roles: AGENT=employee; PATIENT=champion; VERB=forgave/forgiven
Sentence: the",-6.3431267738342285,-8.221174240112305,-1.8780474662780762,active
21,role_labeled,passive,a brother is washed by a father .,the employee forgave the champion .,the champion was forgiven by the employee .,employee,champion,forgave,forgiven,"Prime sentence: a brother is washed by a father .
Event roles: AGENT=employee; PATIENT=champion; VERB=forgave/forgiven
Sentence: the",-7.484645843505859,-8.327890396118164,-0.8432445526123047,active
22,word_list,active,the girl discovered the flower .,a father washes a princess .,a princess is washed by a father .,father,princess,washes,washed,"Prime sentence: the girl discovered the flower .
Use these words in one sentence: father, princess, washes/washed
Sentence: the",-3.5965981483459473,-4.106269359588623,-0.5096712112426758,active
22,word_list,passive,the flower was discovered by the girl .,a father washes a princess .,a princess is washed by a father .,father,princess,washes,washed,"Prime sentence: the flower was discovered by the girl .
Use these words in one sentence: father, princess, washes/washed
Sentence: the",-4.283171653747559,-5.5391764640808105,-1.256004810333252,active
22,role_labeled,active,the girl discovered the flower .,a father washes a princess .,a princess is washed by a father .,father,princess,washes,washed,"Prime sentence: the girl discovered the flower .
Event roles: AGENT=father; PATIENT=princess; VERB=washes/washed
Sentence: the",-3.7342042922973633,-3.9489526748657227,-0.21474838256835938,active
22,role_labeled,passive,the flower was discovered by the girl .,a father washes a princess .,a princess is washed by a father .,father,princess,washes,washed,"Prime sentence: the flower was discovered by the girl .
Event roles: AGENT=father; PATIENT=princess; VERB=washes/washed
Sentence: the",-4.335940837860107,-5.0355448722839355,-0.6996040344238281,active
23,word_list,active,the pilot follows the administration .,a king prepared a chicken .,a chicken was prepared by a king .,king,chicken,prepared,prepared,"Prime sentence: the pilot follows the administration .
Use these words in one sentence: king, chicken, prepared
Sentence: the",-1.7578755617141724,-4.368866920471191,-2.610991358757019,active
23,word_list,passive,the administration is followed by the pilot .,a king prepared a chicken .,a chicken was prepared by a king .,king,chicken,prepared,prepared,"Prime sentence: the administration is followed by the pilot .
Use these words in one sentence: king, chicken, prepared
Sentence: the",-3.0534918308258057,-4.6407928466796875,-1.5873010158538818,active
23,role_labeled,active,the pilot follows the administration .,a king prepared a chicken .,a chicken was prepared by a king .,king,chicken,prepared,prepared,"Prime sentence: the pilot follows the administration .
Event roles: AGENT=king; PATIENT=chicken; VERB=prepared
Sentence: the",-2.2088847160339355,-4.320887565612793,-2.1120028495788574,active
23,role_labeled,passive,the administration is followed by the pilot .,a king prepared a chicken .,a chicken was prepared by a king .,king,chicken,prepared,prepared,"Prime sentence: the administration is followed by the pilot .
Event roles: AGENT=king; PATIENT=chicken; VERB=prepared
Sentence: the",-3.0291221141815186,-4.729482650756836,-1.7003605365753174,active
