prompt_template,condition_a,condition_b,passive_choice_rate_a,passive_choice_rate_b,passive_choice_rate_diff_b_minus_a,active_choice_rate_a,active_choice_rate_b,active_choice_rate_diff_b_minus_a,mean_logprob_a,mean_logprob_b,mean_logprob_diff_b_minus_a
demo__there_was_event__did_to__mary_answered,passive,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.0413861274719238,-1.2822191715240479,-0.24083304405212402
demo__there_was_event__did_to__said_mary,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.8174365162849426,-0.6768031716346741,1.1406333446502686
demo__there_was_event__did_to__said_mary,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.8174365162849426,-1.264849305152893,0.5525872111320496
demo__there_was_event__did_to__said_mary,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-1.8174365162849426,-1.0408537685871124,0.7765827476978302
demo__there_was_event__did_to__said_mary,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-1.264849305152893,-0.6768031716346741,0.588046133518219
demo__there_was_event__did_to__said_mary,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.0408537685871124,-0.6768031716346741,0.36405059695243835
demo__there_was_event__did_to__said_mary,passive,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.0408537685871124,-1.264849305152893,-0.22399553656578064
demo__there_was_event__responsible_affected__mary_answered,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.93179452419281,0.10574662685394287,2.037541151046753
demo__there_was_event__responsible_affected__mary_answered,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.93179452419281,-1.2421151995658875,0.6896793246269226
demo__there_was_event__responsible_affected__mary_answered,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-1.93179452419281,-1.0479753613471985,0.8838191628456116
demo__there_was_event__responsible_affected__mary_answered,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-1.2421151995658875,0.10574662685394287,1.3478618264198303
demo__there_was_event__responsible_affected__mary_answered,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.0479753613471985,0.10574662685394287,1.1537219882011414
demo__there_was_event__responsible_affected__mary_answered,passive,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.0479753613471985,-1.2421151995658875,-0.19413983821868896
demo__there_was_event__responsible_affected__said_mary,active,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-2.336479425430298,-0.34351372718811035,1.9929656982421875
demo__there_was_event__responsible_affected__said_mary,active,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-2.336479425430298,-1.2653700411319733,1.0711093842983246
demo__there_was_event__responsible_affected__said_mary,active,passive,0.25,0.25,0.0,0.75,0.75,0.0,-2.336479425430298,-1.4383284151554108,0.8981510102748871
demo__there_was_event__responsible_affected__said_mary,no_demo,filler,0.0,0.5,0.5,1.0,0.5,-0.5,-1.2653700411319733,-0.34351372718811035,0.9218563139438629
demo__there_was_event__responsible_affected__said_mary,passive,filler,0.25,0.5,0.25,0.75,0.5,-0.25,-1.4383284151554108,-0.34351372718811035,1.0948146879673004
demo__there_was_event__responsible_affected__said_mary,passive,no_demo,0.25,0.0,-0.25,0.75,1.0,0.25,-1.4383284151554108,-1.2653700411319733,0.1729583740234375
