item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw,generation_class_strict_auto,generation_class_lax_auto,generation_class_strict_core_transfer,generation_class_lax_core_transfer,core_transfer_source_strict,core_transfer_source_lax
14,prompt_no_demo,no_demo,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was describing the event to me .,the doctor was describing the event to me .,active_progressive_ditransitive,be_ing_object_to_for,active_ditransitive_prepositional,agent>theme>recipient,direct_object_plus_to_for_recipient,other,active,True,False,"There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was describing the event to me.""

Bridget asked, ""What was the event?""
Mary answered, ""The",other,active,other,active,exact_signature,exact_signature
14,prompt_filler,filler,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was stung by a bee .,the doctor was stung by a bee .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The snorbel gredded after folven.""

There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was stung by a bee.""

There was a describing event involving a daughter and a doctor.
The one who did",other,other,other,active,exact_signature,exact_signature
16,prompt_no_demo,no_demo,a parent joins a partner .,a partner is joined by a parent .,The parent and partner joined together .,the parent and partner joined together .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," parent and partner joined together.""

Bridget asked, ""What happened to the partner?""
Mary answered, ""The partner",other,other,other,active,exact_signature,exact_signature
16,prompt_filler,filler,a parent joins a partner .,a partner is joined by a parent .,The glimmer farned in jasken .,the glimmer farned in jasken .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The glimmer farned in jasken.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," glimmer farned in jasken.""

The glimmer is a verb.
The farned is a verb",other,other,other,other,exact_signature,exact_signature
17,prompt_filler,filler,a hero protects a husband .,a husband is protected by a hero .,The nasker plodded near hulven .,the nasker plodded near hulven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The nasker plodded near hulven.""

There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"," nasker plodded near hulven.""

The nasker plodded near hulven.
The",other,other,other,other,exact_signature,exact_signature
18,prompt_filler,filler,a student hurts a teacher .,a teacher is hurt by a student .,The student hit the teacher .,the student hit the teacher .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The drimlet vorked before talven.""

There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"," student hit the teacher.""

Bridget asked, ""What happened?""
Mary answered, ""The teacher hit the student.""

",other,other,other,active,exact_signature,exact_signature
19,prompt_filler,filler,a daughter protects a doctor .,a doctor is protected by a daughter .,The doctor was protected .,the doctor was protected .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The plinter drossed in marven.""

There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was protected.""

The doctor was a man.
The daughter was a woman.
The doctor was a doctor.
The daughter",other,passive,other,passive,exact_signature,exact_signature
22,prompt_no_demo,no_demo,a parent describes a partner .,a partner is described by a parent .,The partner was upset because the parent was late .,the partner was upset because the parent was late .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," partner was upset because the parent was late.""

Bridget asked, ""Why was the partner upset?""
Mary answered,",other,other,other,active,exact_signature,exact_signature
22,prompt_filler,filler,a parent describes a partner .,a partner is described by a parent .,The frindle glemmed in yorsen .,the frindle glemmed in yorsen .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The frindle glemmed in yorsen.""

There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"," frindle glemmed in yorsen.""

The one who did it was a parent.
The one it happened to",other,other,other,other,exact_signature,exact_signature
23,prompt_no_demo,no_demo,a doctor forgives an employee .,an employee is forgiven by a doctor .,The doctor was forgiving of the employee's mistake .,the doctor was forgiving of the employee's mistake .,active_progressive_intransitive_pp,be_ing_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"There was a forgiving event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was forgiving of the employee's mistake.""

Bridget asked, ""What was the mistake?""
Mary answered, """,other,other,other,other,exact_signature,exact_signature
24,prompt_passive,passive,a doctor strikes an employee .,an employee is struck by a doctor .,The doctor is a doctor .,the doctor is a doctor .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a drupemziring event involving a drufimzom and a vravaknef.
The one who did it was a drufimzom.
The one it happened to was a vravaknef.

Bridget asked, ""What happened?""
Mary answered, ""A vravaknef is drupemzired by a drufimzom.""

There was a striking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor is a doctor.""

There was a striking event involving a doctor and a patient.
The one who did it was a",other,other,other,other,exact_signature,exact_signature
26,prompt_no_demo,no_demo,an employer comforts a father .,a father is comforted by an employer .,The father was fired .,the father was fired .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"There was a comforting event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"," father was fired.""

Bridget asked, ""Why was he fired?""
Mary answered, ""He was fired because he",other,passive,other,passive,exact_signature,exact_signature
27,prompt_active,active,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist discovered something .,the scientist discovered something .,active_other,finite_verb_noncanonical_complement,active_monotransitive_theme,agent>theme,object_inferred_as_theme,other,active,True,False,"There was a bripemlomeding event involving a kvezemzom and a kvelodzom.
The one who did it was a kvezemzom.
The one it happened to was a kvelodzom.

Bridget asked, ""What happened?""
Mary answered, ""A kvezemzom bripemlomed a kvelodzom.""

There was a discovering event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The"," scientist discovered something.""

There was a discovering event involving a scientist and a secretary.
The one who did it was a scientist",other,active,other,active,exact_signature,exact_signature
27,prompt_no_demo,no_demo,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist discovered something .,the scientist discovered something .,active_other,finite_verb_noncanonical_complement,active_monotransitive_theme,agent>theme,object_inferred_as_theme,other,active,True,False,"There was a discovering event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The"," scientist discovered something.""

Bridget asked, ""What did he discover?""
Mary answered, ""He discovered the secretary.""

",other,active,other,active,exact_signature,exact_signature
29,prompt_no_demo,no_demo,a boy raises a brother .,a brother is raised by a boy .,The boy did it to his brother .,the boy did it to his brother .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"There was a raising event involving a boy and a brother.
The one who did it was a boy.
The one it happened to was a brother.

Bridget asked, ""What happened?""
Mary answered, ""The"," boy did it to his brother.""

Bridget asked, ""Who did it?""
Mary answered, ""The boy.""

",other,other,other,active,exact_signature,exact_signature
32,prompt_no_demo,no_demo,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother did it to the buddy .,the brother did it to the buddy .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"There was a surprising event involving a brother and a buddy.
The one who did it was a brother.
The one it happened to was a buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," brother did it to the buddy.""

Bridget asked, ""Who did it?""
Mary answered, ""The brother.""

",other,other,other,active,exact_signature,exact_signature
32,prompt_filler,filler,a brother surprises a buddy .,a buddy is surprised by a brother .,The brother did it to the buddy .,the brother did it to the buddy .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The drasken yelped on fralden.""

There was a surprising event involving a brother and a buddy.
The one who did it was a brother.
The one it happened to was a buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"," brother did it to the buddy.""

The brother and the buddy were friends.
The brother and the buddy were not friends.

",other,other,other,active,exact_signature,exact_signature
34,prompt_no_demo,no_demo,a soldier hurries a son .,a son is hurried by a soldier .,The soldier was killed in the event .,the soldier was killed in the event .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"There was a hurrying event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""The"," soldier was killed in the event.""

Bridget asked, ""What was the event?""
Mary answered, ""The event",other,passive,other,passive,exact_signature,exact_signature
34,prompt_filler,filler,a soldier hurries a son .,a son is hurried by a soldier .,The prasket whaved during morden .,the prasket whaved during morden .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prasket whaved during morden.""

There was a hurrying event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""The"," prasket whaved during morden.""

The word ""prasket"" is a verb, and it means ""to be",other,other,other,other,exact_signature,exact_signature
35,prompt_no_demo,no_demo,a woman hurts a worker .,a worker is hurt by a woman .,The woman who was a worker was hurt by the woman who was not a worker .,the woman who was a worker was hurt by the woman who was not a worker .,other_relative_identity_clause,one_who_did_it_pattern,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a hurting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," woman who was a worker was hurt by the woman who was not a worker.""

Bridget asked, ""What happened",other,other,other,other,exact_signature,exact_signature
35,prompt_filler,filler,a woman hurts a worker .,a worker is hurt by a woman .,The flinder trassed across jorven .,the flinder trassed across jorven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The flinder trassed across jorven.""

There was a hurting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," flinder trassed across jorven.""

The flinder is a woman.
The jorven is a worker.

",other,other,other,other,exact_signature,exact_signature
36,prompt_no_demo,no_demo,a son follows a student .,a student is followed by a son .,The one who did it was a son .,the one who did it was a son .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a following event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a son.""
Bridget asked, ""What happened to the one it happened to?""
Mary",other,other,other,other,exact_signature,exact_signature
36,prompt_filler,filler,a son follows a student .,a student is followed by a son .,The son did it to the student .,the son did it to the student .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The claven morged through selven.""

There was a following event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The"," son did it to the student.""

Bridget asked, ""What did the son do to the student?""
Mary answered",other,other,other,active,exact_signature,exact_signature
37,prompt_filler,filler,an adult judges an attorney .,an attorney is judged by an adult .,The adult was found guilty .,the adult was found guilty .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The drabble quisted in varlen.""

There was a judging event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult was found guilty.""

The adult was a judge.
The attorney was a defendant.

Bridget asked, ""What",other,passive,other,passive,exact_signature,exact_signature
38,prompt_no_demo,no_demo,a buddy grabs a candidate .,a candidate is grabbed by a buddy .,The one who did it was a buddy .,the one who did it was a buddy .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a grabbing event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a buddy.""
Bridget asked, ""What happened to the candidate?""
Mary answered, """,other,other,other,other,exact_signature,exact_signature
40,prompt_no_demo,no_demo,a woman hurries a worker .,a worker is hurried by a woman .,The woman who was working in the factory was hit by a truck .,the woman who was working in the factory was hit by a truck .,other_relative_identity_clause,one_who_did_it_pattern,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a hurrying event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," woman who was working in the factory was hit by a truck.""

Bridget asked, ""Who was it?""
Mary",other,other,other,other,exact_signature,exact_signature
43,prompt_active,active,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop striketh the boy .,the bishop striketh the boy .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a skotafruding event involving the tlunelsel and the brikudtas.
The one who did it was the tlunelsel.
The one it happened to was the brikudtas.

Bridget asked, ""What happened?""
Mary answered, ""The tlunelsel skotafruds the brikudtas.""

There was a striking event involving a bishop and a boy.
The one who did it was a bishop.
The one it happened to was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"," bishop striketh the boy.""

There was a striking event involving a bishop and a boy.
The one who did it",other,other,other,active,exact_signature,exact_signature
43,prompt_no_demo,no_demo,a bishop strikes a boy .,a boy is struck by a bishop .,The bishop did it to the boy .,the bishop did it to the boy .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"There was a striking event involving a bishop and a boy.
The one who did it was a bishop.
The one it happened to was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"," bishop did it to the boy.""

Bridget asked, ""What did the bishop do?""
Mary answered, ""He",other,other,other,active,exact_signature,exact_signature
44,prompt_no_demo,no_demo,an adult asks an attorney .,an attorney is asked by an adult .,The adult was involved in the asking event .,the adult was involved in the asking event .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult was involved in the asking event.""
Bridget asked, ""What was the asking event?""
Mary answered, """,other,other,other,other,exact_signature,exact_signature
44,prompt_filler,filler,an adult asks an attorney .,an attorney is asked by an adult .,The clorven wepted beside prasken .,the clorven wepted beside prasken .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The clorven wepted beside prasken.""

There was a asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," clorven wepted beside prasken.""

There was a asking event involving a child and a teacher.
The",other,other,other,other,exact_signature,exact_signature
45,prompt_no_demo,no_demo,a lawyer understands a leader .,a leader is understood by a lawyer .,"The lawyer was involved in the event, and the leader was affected by it .","the lawyer was involved in the event, and the leader was affected by it .",other_coordinate_multiclause,coordination_with_punctuation,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a understanding event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""The"," lawyer was involved in the event, and the leader was affected by it.""

Bridget asked, ""What was the",other,other,other,other,exact_signature,exact_signature
46,prompt_no_demo,no_demo,a wife raises a winner .,a winner is raised by a wife .,The winner was a wife .,the winner was a wife .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a raising event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""The"," winner was a wife.""

Bridget asked, ""What was the winner?""
Mary answered, ""The winner was a",other,other,other,other,exact_signature,exact_signature
48,prompt_no_demo,no_demo,a kid discovers a king .,a king is discovered by a kid .,The kid did it .,the kid did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a discovering event involving a kid and a king.
The one who did it was a kid.
The one it happened to was a king.

Bridget asked, ""What happened?""
Mary answered, ""The"," kid did it. The kid was a king.""

Bridget asked, ""What did the kid do?""
Mary answered",other,other,other,active,exact_signature,exact_signature
48,prompt_filler,filler,a kid discovers a king .,a king is discovered by a kid .,The noster glimmed near varset .,the noster glimmed near varset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The noster glimmed near varset.""

There was a discovering event involving a kid and a king.
The one who did it was a kid.
The one it happened to was a king.

Bridget asked, ""What happened?""
Mary answered, ""The"," noster glimmed near varset.""

The word ""noster"" is Latin for ""our"" and ""var",other,other,other,other,exact_signature,exact_signature
49,prompt_no_demo,no_demo,a student follows a teacher .,a teacher is followed by a student .,The student did it .,the student did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a following event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"," student did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The one who did it was",other,other,other,active,exact_signature,exact_signature
49,prompt_filler,filler,a student follows a teacher .,a teacher is followed by a student .,The student did it to the teacher .,the student did it to the teacher .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,active,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The trassel fented beside murven.""

There was a following event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"," student did it to the teacher.""

Bridget asked, ""What did the student do?""
Mary answered, ""The",other,other,other,active,exact_signature,exact_signature
50,prompt_no_demo,no_demo,a doctor understands an employee .,an employee is understood by a doctor .,"The doctor was involved in the event, but the employee was the one who was affected .","the doctor was involved in the event, but the employee was the one who was affected .",other_coordinate_multiclause,coordination_with_punctuation,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a understanding event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"," doctor was involved in the event, but the employee was the one who was affected.""

Bridget asked, ""What",other,other,other,other,exact_signature,exact_signature
51,prompt_no_demo,no_demo,a captain understands a champion .,a champion is understood by a captain .,"The captain was a champion, but the champion was not a captain .","the captain was a champion, but the champion was not a captain .",other_coordinate_multiclause,coordination_with_punctuation,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a understanding event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The"," captain was a champion, but the champion was not a captain.""

Bridget asked, ""What happened?""
Mary answered",other,other,other,other,exact_signature,exact_signature
56,prompt_no_demo,no_demo,a lady asks a lawyer .,a lawyer is asked by a lady .,The lady did it .,the lady did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,active,True,False,"There was a asking event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The"," lady did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The one it happened to was",other,other,other,active,exact_signature,exact_signature
58,prompt_passive,passive,a cousin joins a daughter .,a daughter is joined by a cousin .,The daughter is joined to the cousin .,the daughter is joined to the cousin .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"There was a vregafvoling event involving the kvenorkul and the kveruknef.
The one who did it was the kvenorkul.
The one it happened to was the kveruknef.

Bridget asked, ""What happened?""
Mary answered, ""The kveruknef is vregafvoled by the kvenorkul.""

There was a joining event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"," daughter is joined to the cousin.""

There was a joining event involving a brother and a son.
The one who did it",other,passive,other,passive,exact_signature,exact_signature
