s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive
-44.09375,-44.15625,-11.296875,-12.1328125,-50.5625,-52.875,-4.328125,-4.390625,0.0625,2.3125
-39.1875,-40.71875,-8.296875,-8.6875,-43.3125,-43.28125,-4.79296875,-4.37109375,1.53125,-0.03125
-38.25,-38.25,-9.140625,-10.0703125,-41.90625,-42.71875,-4.765625,-3.693359375,0.0,0.8125
-42.0625,-41.71875,-9.1484375,-8.7734375,-44.0625,-45.03125,-4.37109375,-3.509765625,-0.34375,0.96875
-38.5625,-38.25,-9.2265625,-10.125,-40.90625,-42.34375,-4.69140625,-4.328125,-0.3125,1.4375
-43.625,-41.03125,-10.5859375,-10.90625,-42.5,-45.65625,-4.8515625,-4.53515625,-2.59375,3.15625
-41.25,-39.4375,-9.2421875,-10.0234375,-42.46875,-45.0,-5.1796875,-4.94140625,-1.8125,2.53125
-41.71875,-39.9375,-9.5078125,-8.6171875,-42.03125,-44.53125,-4.8984375,-5.26953125,-1.78125,2.5
-39.0,-38.15625,-8.890625,-9.640625,-41.46875,-43.53125,-4.05859375,-3.8828125,-0.84375,2.0625
-39.25,-38.65625,-8.46875,-8.7734375,-41.03125,-42.25,-4.5703125,-3.896484375,-0.59375,1.21875
-44.15625,-41.21875,-9.6328125,-9.4296875,-42.96875,-46.59375,-4.6875,-3.9765625,-2.9375,3.625
-43.25,-43.28125,-10.8046875,-10.296875,-47.40625,-48.8125,-5.84375,-6.19140625,0.03125,1.40625
-44.90625,-44.0,-10.09375,-10.1015625,-46.5625,-48.75,-5.05859375,-5.24609375,-0.90625,2.1875
-43.6875,-42.09375,-9.8515625,-9.828125,-44.78125,-47.25,-5.0078125,-4.9296875,-1.59375,2.46875
-42.3125,-42.71875,-9.8828125,-9.8828125,-47.6875,-47.34375,-5.828125,-5.984375,0.40625,-0.34375
-43.90625,-45.40625,-10.7421875,-10.5390625,-48.40625,-50.25,-5.7265625,-5.6640625,1.5,1.84375
-44.40625,-43.1875,-9.9140625,-9.890625,-46.5,-47.90625,-4.59375,-4.5078125,-1.21875,1.40625
-43.40625,-42.71875,-10.8125,-10.015625,-47.84375,-48.59375,-5.515625,-5.69140625,-0.6875,0.75
-44.0,-43.625,-10.3515625,-9.640625,-47.28125,-48.09375,-5.15625,-5.3359375,-0.375,0.8125
-42.0,-41.53125,-9.9765625,-10.171875,-45.375,-46.5625,-6.23828125,-6.234375,-0.46875,1.1875
-44.03125,-42.09375,-9.9765625,-9.4375,-47.125,-48.6875,-4.76171875,-4.875,-1.9375,1.5625
-43.90625,-45.40625,-12.265625,-12.25,-46.5,-44.0625,-4.171875,-3.767578125,1.5,-2.4375
-42.8125,-43.71875,-12.125,-11.90625,-42.125,-41.9375,-3.955078125,-3.962890625,0.90625,-0.1875
-43.71875,-40.6875,-11.7890625,-11.7265625,-41.375,-43.0625,-3.58984375,-3.478515625,-3.03125,1.6875
-43.90625,-42.875,-11.4453125,-11.2109375,-44.59375,-44.0,-3.330078125,-2.974609375,-1.03125,-0.59375
-42.59375,-42.8125,-11.4765625,-11.8359375,-40.375,-43.34375,-3.7109375,-3.37109375,0.21875,2.96875
-41.46875,-39.84375,-12.640625,-12.4140625,-38.8125,-42.4375,-4.17578125,-4.35546875,-1.625,3.625
-41.03125,-40.3125,-10.984375,-11.78125,-41.21875,-42.3125,-3.3203125,-3.544921875,-0.71875,1.09375
-41.25,-42.875,-12.1328125,-13.125,-40.46875,-41.125,-3.865234375,-3.97265625,1.625,0.65625
-42.375,-43.78125,-12.5078125,-12.921875,-43.28125,-43.40625,-4.4453125,-4.4609375,1.40625,0.125
-42.1875,-42.65625,-13.5546875,-12.7421875,-41.03125,-40.09375,-3.251953125,-3.29296875,0.46875,-0.9375
-45.9375,-45.34375,-12.0234375,-12.1796875,-54.6875,-57.4375,-4.9609375,-5.60546875,-0.59375,2.75
-43.78125,-43.625,-9.4921875,-11.40625,-50.125,-50.21875,-3.65234375,-4.125,-0.15625,0.09375
-43.09375,-42.15625,-10.59375,-11.046875,-54.5,-55.34375,-4.75390625,-4.8515625,-0.9375,0.84375
-47.21875,-44.125,-10.1484375,-9.703125,-48.59375,-51.84375,-4.7265625,-4.93359375,-3.09375,3.25
-41.96875,-42.84375,-10.0390625,-10.59375,-55.0,-53.9375,-4.38671875,-4.56640625,0.875,-1.0625
-42.5,-43.0625,-9.3671875,-10.5,-52.0,-53.0,-4.015625,-4.6484375,0.5625,1.0
-39.0625,-41.03125,-10.3125,-10.5703125,-45.46875,-45.53125,-3.751953125,-4.1171875,1.96875,0.0625
-45.28125,-44.90625,-11.546875,-11.421875,-50.4375,-50.75,-4.38671875,-4.62109375,-0.375,0.3125
-43.0,-44.5625,-10.640625,-11.1328125,-52.625,-49.84375,-4.4140625,-4.41796875,1.5625,-2.78125
-42.71875,-42.96875,-10.5234375,-10.609375,-48.5,-49.53125,-4.40234375,-4.6171875,0.25,1.03125
-48.21875,-49.8125,-13.125,-13.921875,-49.09375,-48.21875,-4.046875,-3.90234375,1.59375,-0.875
-46.9375,-48.0,-12.3359375,-14.1796875,-45.71875,-47.59375,-4.25390625,-4.44921875,1.0625,1.875
-48.09375,-49.15625,-12.125,-13.2421875,-46.71875,-48.25,-4.0234375,-4.3515625,1.0625,1.53125
-49.1875,-48.5625,-12.1875,-12.5703125,-49.15625,-49.6875,-3.779296875,-3.673828125,-0.625,0.53125
-52.84375,-52.40625,-12.8828125,-12.78125,-51.09375,-52.09375,-4.3828125,-4.421875,-0.4375,1.0
-49.8125,-48.3125,-12.1875,-11.8203125,-50.84375,-52.03125,-4.26953125,-4.453125,-1.5,1.1875
-49.59375,-47.53125,-12.8046875,-12.4921875,-47.71875,-50.15625,-3.9609375,-4.73046875,-2.0625,2.4375
-49.625,-49.375,-12.3671875,-12.7734375,-48.21875,-48.75,-4.16796875,-4.71484375,-0.25,0.53125
-51.21875,-49.625,-13.28125,-14.40625,-48.625,-50.5625,-4.4140625,-4.625,-1.59375,1.9375
-48.0,-48.375,-12.2734375,-12.625,-49.375,-49.5625,-4.12890625,-4.7265625,0.375,0.1875
-41.34375,-40.5,-12.7890625,-12.6875,-46.5,-50.71875,-3.33203125,-3.7578125,-0.84375,4.21875
-41.65625,-41.96875,-13.0625,-13.453125,-48.96875,-48.5625,-3.607421875,-3.16796875,0.3125,-0.40625
-43.3125,-39.8125,-11.9375,-11.578125,-44.96875,-49.25,-3.15625,-3.490234375,-3.5,4.28125
-38.6875,-39.34375,-12.203125,-12.1796875,-44.0625,-45.125,-3.462890625,-3.296875,0.65625,1.0625
-43.53125,-42.3125,-13.703125,-14.0625,-47.21875,-49.78125,-3.10546875,-4.23828125,-1.21875,2.5625
-39.78125,-38.75,-13.6328125,-12.640625,-45.1875,-46.9375,-3.361328125,-4.22265625,-1.03125,1.75
-41.90625,-40.1875,-11.734375,-10.875,-44.9375,-49.84375,-3.26953125,-3.681640625,-1.71875,4.90625
-39.90625,-39.0,-11.9296875,-11.3203125,-43.71875,-47.34375,-3.21875,-3.876953125,-0.90625,3.625
-40.71875,-40.21875,-12.234375,-12.0703125,-46.96875,-47.9375,-3.353515625,-3.419921875,-0.5,0.96875
-42.125,-41.375,-12.5390625,-13.484375,-47.15625,-48.21875,-3.017578125,-2.701171875,-0.75,1.0625
-44.4375,-42.53125,-11.0234375,-11.0078125,-44.59375,-46.34375,-4.2421875,-4.21875,-1.90625,1.75
-42.125,-41.9375,-10.8046875,-10.5546875,-43.28125,-44.78125,-4.95703125,-4.80078125,-0.1875,1.5
-44.75,-42.875,-11.6796875,-11.5546875,-43.59375,-46.53125,-5.25390625,-5.3046875,-1.875,2.9375
-44.0625,-44.09375,-11.265625,-11.7421875,-44.0625,-45.34375,-4.71484375,-4.5,0.03125,1.28125
-44.53125,-42.5625,-11.390625,-10.921875,-43.375,-45.8125,-4.37109375,-4.609375,-1.96875,2.4375
-43.3125,-41.875,-11.015625,-10.8359375,-41.53125,-43.875,-4.359375,-4.25,-1.4375,2.34375
-45.875,-44.65625,-10.796875,-10.5078125,-44.03125,-46.375,-4.890625,-5.08984375,-1.21875,2.34375
-41.9375,-41.09375,-10.8203125,-10.8046875,-39.375,-41.25,-3.931640625,-3.375,-0.84375,1.875
-45.71875,-41.71875,-11.578125,-11.375,-40.75,-46.78125,-5.24609375,-5.56640625,-4.0,6.03125
-46.0,-44.75,-11.3203125,-11.125,-44.1875,-46.4375,-4.4453125,-4.640625,-1.25,2.25
-40.03125,-39.5625,-12.9921875,-13.40625,-42.21875,-43.03125,-5.1484375,-4.76171875,-0.46875,0.8125
-38.40625,-38.8125,-12.953125,-12.9140625,-42.375,-41.96875,-4.28125,-3.896484375,0.40625,-0.40625
-39.78125,-42.4375,-13.3359375,-14.0,-45.5,-44.75,-5.93359375,-5.13671875,2.65625,-0.75
-36.0625,-37.46875,-12.1875,-12.234375,-40.75,-40.15625,-4.71875,-4.08984375,1.40625,-0.59375
-40.40625,-40.03125,-12.6953125,-13.0234375,-44.03125,-44.6875,-4.65234375,-4.40625,-0.375,0.65625
-36.8125,-37.53125,-13.0234375,-13.1015625,-41.375,-42.1875,-3.837890625,-4.234375,0.71875,0.8125
-41.5,-41.3125,-13.5078125,-13.6796875,-44.46875,-45.84375,-5.1875,-5.41015625,-0.1875,1.375
-40.15625,-38.34375,-13.1484375,-12.9375,-41.34375,-42.46875,-4.8359375,-4.4140625,-1.8125,1.125
-38.375,-38.125,-12.796875,-12.7109375,-41.21875,-43.375,-5.37890625,-4.77734375,-0.25,2.15625
-43.09375,-41.21875,-13.0703125,-13.5,-44.4375,-47.3125,-5.171875,-4.55859375,-1.875,2.875
-42.6875,-41.46875,-7.58984375,-7.375,-43.53125,-43.53125,-4.82421875,-3.84375,-1.21875,0.0
-45.84375,-42.34375,-7.96484375,-7.73046875,-47.59375,-49.125,-4.6171875,-4.53125,-3.5,1.53125
-45.03125,-43.09375,-7.41796875,-8.0859375,-46.46875,-47.8125,-4.140625,-4.484375,-1.9375,1.34375
-42.1875,-40.84375,-7.87109375,-7.39453125,-45.28125,-44.9375,-4.8515625,-4.7109375,-1.34375,-0.34375
-44.125,-40.4375,-7.30078125,-7.45703125,-44.0,-46.125,-4.55078125,-4.484375,-3.6875,2.125
-45.0625,-41.96875,-9.0,-7.8359375,-45.625,-47.40625,-5.1875,-4.8828125,-3.09375,1.78125
-45.28125,-41.65625,-7.3828125,-6.7109375,-43.78125,-46.34375,-4.5390625,-4.0078125,-3.625,2.5625
-43.4375,-42.8125,-7.546875,-7.3359375,-46.8125,-47.125,-4.94921875,-5.0859375,-0.625,0.3125
-44.375,-43.25,-7.5859375,-7.83203125,-46.625,-47.5625,-5.28515625,-5.15234375,-1.125,0.9375
-42.46875,-41.25,-7.68359375,-7.140625,-45.59375,-46.96875,-4.875,-5.15625,-1.21875,1.375
-41.6875,-40.5625,-10.28125,-10.265625,-42.40625,-47.5625,-5.07421875,-6.7578125,-1.125,5.15625
-42.21875,-42.75,-10.046875,-10.1953125,-44.6875,-45.5,-6.0703125,-6.29296875,0.53125,0.8125
-41.3125,-41.5625,-9.8828125,-10.1953125,-44.1875,-45.96875,-5.98046875,-6.3515625,0.25,1.78125
-44.90625,-42.96875,-10.4296875,-10.625,-43.5625,-47.65625,-5.44921875,-6.28125,-1.9375,4.09375
-43.625,-42.96875,-11.1328125,-11.25,-44.96875,-47.15625,-5.45703125,-5.69921875,-0.65625,2.1875
-42.4375,-41.1875,-10.0234375,-10.328125,-42.96875,-47.1875,-5.5078125,-5.875,-1.25,4.21875
-40.15625,-40.46875,-10.53125,-10.3125,-42.46875,-44.28125,-5.92578125,-7.3828125,0.3125,1.8125
-42.34375,-41.75,-10.203125,-10.5859375,-43.8125,-45.09375,-5.69140625,-5.3125,-0.59375,1.28125
-43.5,-41.75,-10.5078125,-10.9140625,-43.75,-47.4375,-5.2109375,-5.75390625,-1.75,3.6875
-40.71875,-39.96875,-9.0625,-9.640625,-41.0625,-45.96875,-4.81640625,-5.66015625,-0.75,4.90625
-39.6875,-40.0625,-9.6640625,-9.3046875,-42.3125,-43.28125,-4.921875,-5.828125,0.375,0.96875
-41.28125,-37.59375,-9.9609375,-8.7109375,-41.65625,-44.9375,-4.05859375,-5.52734375,-3.6875,3.28125
-39.34375,-37.75,-9.1953125,-8.8515625,-41.3125,-44.125,-3.375,-4.53125,-1.59375,2.8125
-37.65625,-36.625,-9.03125,-8.734375,-40.3125,-43.40625,-4.15234375,-4.7421875,-1.03125,3.09375
-37.3125,-34.53125,-10.2421875,-9.3984375,-37.8125,-40.96875,-4.0625,-4.42578125,-2.78125,3.15625
-38.9375,-36.78125,-9.8046875,-9.59375,-39.78125,-44.4375,-4.66015625,-5.38671875,-2.15625,4.65625
-38.15625,-39.6875,-8.5390625,-8.625,-40.9375,-40.9375,-4.5625,-3.21484375,1.53125,0.0
-39.46875,-39.21875,-9.3515625,-8.890625,-40.5,-42.5,-4.77734375,-4.60546875,-0.25,2.0
-36.1875,-34.375,-9.6171875,-9.1953125,-36.6875,-39.5,-3.916015625,-4.41796875,-1.8125,2.8125
-38.0625,-38.25,-9.5546875,-9.34375,-39.4375,-41.65625,-4.66015625,-5.3828125,0.1875,2.21875
-48.75,-50.25,-12.34375,-12.7265625,-51.0625,-52.15625,-4.64453125,-5.08203125,1.5,1.09375
-52.0625,-52.40625,-13.59375,-13.328125,-51.0,-52.34375,-5.390625,-5.1953125,0.34375,1.34375
-49.6875,-50.65625,-14.15625,-14.0078125,-51.1875,-52.21875,-4.90234375,-4.98828125,0.96875,1.03125
-51.96875,-49.03125,-14.671875,-13.5703125,-52.3125,-55.84375,-4.80078125,-4.6875,-2.9375,3.53125
-50.65625,-49.5625,-15.40625,-14.296875,-49.75,-53.9375,-5.0078125,-4.73828125,-1.09375,4.1875
-50.125,-50.5625,-13.375,-13.5,-50.9375,-52.53125,-4.44140625,-4.375,0.4375,1.59375
-50.8125,-49.71875,-13.734375,-13.3046875,-50.96875,-54.75,-5.04296875,-4.8359375,-1.09375,3.78125
-51.03125,-49.15625,-14.2890625,-13.140625,-48.4375,-52.59375,-4.8203125,-4.875,-1.875,4.15625
-49.3125,-49.46875,-13.078125,-13.4296875,-50.3125,-52.875,-4.59375,-4.484375,0.15625,2.5625
-49.15625,-49.3125,-12.78125,-12.4609375,-50.5625,-51.59375,-4.85546875,-4.4375,0.15625,1.03125
-39.65625,-40.0625,-10.0234375,-10.265625,-44.03125,-45.875,-4.6875,-5.1015625,0.40625,1.84375
-40.0625,-39.78125,-9.8203125,-10.078125,-45.0,-47.40625,-4.31640625,-4.37890625,-0.28125,2.40625
-40.375,-39.8125,-10.296875,-10.6796875,-44.03125,-46.375,-4.31640625,-4.28125,-0.5625,2.34375
-42.59375,-38.375,-11.5546875,-9.71875,-42.21875,-46.65625,-3.98828125,-5.82421875,-4.21875,4.4375
-39.125,-39.40625,-10.1953125,-9.921875,-45.375,-45.59375,-4.10546875,-3.927734375,0.28125,0.21875
-38.71875,-38.96875,-10.8125,-10.4921875,-41.6875,-43.9375,-4.13671875,-4.984375,0.25,2.25
-41.0,-39.09375,-10.9140625,-10.3359375,-43.46875,-46.8125,-4.12109375,-4.94140625,-1.90625,3.34375
-39.90625,-37.40625,-10.734375,-9.6484375,-41.59375,-45.28125,-3.01953125,-4.83203125,-2.5,3.6875
-41.1875,-39.25,-11.0,-10.4921875,-45.8125,-49.1875,-4.26171875,-4.48828125,-1.9375,3.375
-39.625,-39.59375,-11.078125,-10.75,-44.25,-45.875,-4.24609375,-4.3125,-0.03125,1.625
-43.25,-44.4375,-9.203125,-8.84375,-48.375,-49.21875,-5.91796875,-5.97265625,1.1875,0.84375
-44.28125,-40.84375,-8.7421875,-9.0078125,-44.53125,-48.625,-5.30859375,-5.828125,-3.4375,4.09375
-41.125,-41.25,-8.9609375,-8.8125,-45.21875,-48.21875,-5.2578125,-5.9921875,0.125,3.0
-44.90625,-46.0625,-9.3125,-8.7734375,-49.8125,-50.03125,-4.8125,-5.171875,1.15625,0.21875
-42.25,-43.71875,-8.8984375,-8.7734375,-47.5625,-48.1875,-5.46875,-6.1484375,1.46875,0.625
-44.5,-42.125,-9.1953125,-9.2421875,-46.28125,-50.3125,-4.90625,-5.6875,-2.375,4.03125
-42.375,-40.78125,-8.515625,-8.328125,-45.59375,-47.125,-5.484375,-4.52734375,-1.59375,1.53125
-46.65625,-44.0,-8.1015625,-8.2421875,-48.125,-50.75,-4.9921875,-5.640625,-2.65625,2.625
-42.9375,-39.75,-9.734375,-9.1015625,-44.0,-48.0625,-5.19140625,-6.39453125,-3.1875,4.0625
-46.71875,-44.8125,-8.0234375,-8.109375,-47.875,-50.625,-5.99609375,-6.7109375,-1.90625,2.75
-43.4375,-43.0625,-9.296875,-9.0078125,-44.96875,-47.875,-4.79296875,-5.76171875,-0.375,2.90625
-42.53125,-37.53125,-9.5234375,-9.234375,-40.125,-46.84375,-4.6640625,-4.59375,-5.0,6.71875
-42.28125,-39.46875,-8.7265625,-7.63671875,-41.84375,-45.03125,-4.94140625,-4.12109375,-2.8125,3.1875
-40.59375,-40.53125,-9.6796875,-9.4765625,-43.40625,-43.90625,-5.2578125,-5.14453125,-0.0625,0.5
-39.75,-40.5,-9.09375,-9.46875,-44.0625,-44.46875,-5.734375,-5.13671875,0.75,0.40625
-42.625,-45.625,-9.4765625,-9.46875,-49.0625,-46.84375,-4.9609375,-4.78125,3.0,-2.21875
-43.1875,-40.90625,-8.6484375,-8.6484375,-40.25,-43.78125,-4.48046875,-3.875,-2.28125,3.53125
-41.15625,-43.375,-8.359375,-8.265625,-43.96875,-43.875,-5.33203125,-5.796875,2.21875,-0.09375
-44.15625,-43.78125,-10.1953125,-9.5078125,-47.0,-48.9375,-4.8515625,-5.6328125,-0.375,1.9375
-44.375,-44.09375,-9.9609375,-9.90625,-47.8125,-47.75,-5.3046875,-5.05859375,-0.28125,-0.0625
-40.3125,-40.46875,-10.5078125,-10.4921875,-45.84375,-47.3125,-4.515625,-5.33203125,0.15625,1.46875
-40.875,-40.3125,-10.265625,-9.6171875,-44.8125,-47.0,-4.15234375,-4.89453125,-0.5625,2.1875
-42.125,-42.25,-12.6171875,-12.1328125,-46.8125,-47.4375,-5.07421875,-5.359375,0.125,0.625
-40.15625,-37.6875,-10.6328125,-10.671875,-42.5,-45.71875,-3.921875,-4.12890625,-2.46875,3.21875
-40.40625,-40.625,-11.5546875,-11.40625,-45.65625,-46.96875,-4.75390625,-4.31640625,0.21875,1.3125
-41.625,-42.46875,-11.03125,-10.9140625,-47.625,-47.65625,-5.16015625,-4.86328125,0.84375,0.03125
-42.71875,-44.4375,-10.8046875,-10.8515625,-47.40625,-47.1875,-4.69140625,-4.3671875,1.71875,-0.21875
-42.625,-42.09375,-11.9453125,-11.671875,-47.53125,-47.40625,-5.0859375,-5.078125,-0.53125,-0.125
-37.15625,-37.59375,-9.5625,-9.6796875,-40.375,-42.78125,-3.87890625,-4.05078125,0.4375,2.40625
-40.03125,-39.09375,-11.4921875,-11.796875,-44.375,-47.28125,-4.74609375,-4.79296875,-0.9375,2.90625
-44.09375,-43.25,-11.3515625,-10.2890625,-44.71875,-46.78125,-4.046875,-4.43359375,-0.84375,2.0625
-41.0625,-40.59375,-10.6875,-10.2890625,-43.375,-45.8125,-4.7734375,-5.08984375,-0.46875,2.4375
-43.34375,-44.84375,-9.2734375,-9.6328125,-45.125,-45.9375,-5.54296875,-5.328125,1.5,0.8125
-44.34375,-44.0,-10.609375,-10.1640625,-46.0625,-47.0625,-4.0703125,-4.5859375,-0.34375,1.0
-47.46875,-44.90625,-9.6015625,-10.09375,-47.09375,-50.5625,-4.90234375,-5.3359375,-2.5625,3.46875
-45.21875,-44.53125,-9.453125,-10.1875,-48.75,-48.625,-5.6953125,-5.375,-0.6875,-0.125
-44.34375,-43.1875,-10.1640625,-10.421875,-46.65625,-47.875,-5.06640625,-4.89453125,-1.15625,1.21875
-44.65625,-43.4375,-10.34375,-11.0234375,-47.90625,-48.6875,-5.015625,-5.28125,-1.21875,0.78125
-47.8125,-43.65625,-11.6953125,-10.3984375,-47.625,-50.3125,-4.8203125,-5.83984375,-4.15625,2.6875
-47.40625,-45.09375,-10.6484375,-9.8984375,-46.09375,-50.125,-5.1796875,-5.14453125,-2.3125,4.03125
-41.71875,-41.90625,-8.4296875,-8.6796875,-43.59375,-44.59375,-4.30078125,-4.16015625,0.1875,1.0
