condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
jabberwocky,active,1,15000,-0.24402088361581167,0.6050455855590042,-5.803490625031789,-5.5594697414159775,0.8992,0.0
jabberwocky,active,2,15000,0.04126459905530016,0.6525464481007818,-7.0497157010518015,-7.090980300107102,0.9932666666666666,0.0
jabberwocky,active,3,15000,-0.13946861603955427,0.6198613477556556,-7.433569054468721,-7.294100438429167,0.9981333333333333,0.0
jabberwocky,active,4,15000,0.03920744454860687,0.6203990091298478,-6.879722529522578,-6.918929974071185,1.0,0.0
jabberwocky,active,5,15000,0.2663358120379349,0.6442016093844958,-5.807230060616384,-6.073565872654319,1.0,0.5585333333333333
jabberwocky,active,6,15000,0.1995152104427417,0.5777982546950251,-6.991664106967052,-7.1911793174097935,1.0,1.0
jabberwocky,active,7,15000,-0.008141262752562762,0.4795719432723624,-7.219285456043234,-7.211144193290671,1.0,1.0
jabberwocky,active,8,15000,-0.042560707634439074,0.5682288624396264,-7.181663891072572,-7.139103183438132,1.0,1.0
jabberwocky,active,9,15000,-0.22690550190210343,0.7785437647150809,-7.6862569044431055,-7.459351402541001,1.0,1.0
jabberwocky,active,10,15000,-0.487734395168225,0.9168183530636483,-6.215281478520234,-5.727547083352009,1.0,1.0
jabberwocky,active,11,15000,-0.2765898622165124,0.7844964678167623,-5.019644463766615,-4.743054601550102,1.0,1.0
jabberwocky,active,12,15000,0.0009270869873464107,0.3895537166038192,-5.861198343529304,-5.862125430516651,1.0,1.0
jabberwocky,active,13,15000,-0.020739629578838747,0.3910811701419782,-6.518314649564028,-6.497575019985189,1.0,1.0
jabberwocky,active,14,15000,-0.026326521901289618,0.4252702849620702,-6.107902675879995,-6.081576153978705,1.0,1.0
jabberwocky,active,15,13742,-0.010667525339189046,0.5015758434908157,-4.801078697754087,-4.790411172414898,1.0,1.0
jabberwocky,active,16,8411,-0.07380152603910534,0.5643527661391257,-3.7924369753245055,-3.7186354492854,1.0,1.0
jabberwocky,active,17,2061,-0.14483856998676817,0.5869758385036448,-3.5843686778125456,-3.4395301078257776,1.0,1.0
jabberwocky,passive,0,15000,0.8599499413808187,0.7892717877446116,-5.832578194840749,-6.692528136221568,0.0,0.0
jabberwocky,passive,1,15000,0.24432236051162085,0.6048574577660694,-5.5302566902001695,-5.7745790507117905,0.8992,0.0
jabberwocky,passive,2,15000,-0.04594105421031515,0.6476322009829724,-7.073629305077344,-7.027688250867029,0.9932666666666666,0.0
jabberwocky,passive,3,15000,0.14430768232519428,0.627728165111075,-7.256491923363755,-7.40079960568895,0.9981333333333333,0.0
jabberwocky,passive,4,15000,-0.03720917683839798,0.6090298233897506,-6.914258750950793,-6.877049574112395,1.0,0.0
jabberwocky,passive,5,15000,0.4077521455893914,0.8624793162105935,-4.831775860833625,-5.239528006423017,1.0,0.551
jabberwocky,passive,6,15000,0.45139584639072416,0.891958328853678,-5.416278877703348,-5.867674724094073,1.0,1.0
jabberwocky,passive,7,15000,0.09169302521546682,0.6708986340516219,-6.885472149314483,-6.97716517452995,1.0,1.0
jabberwocky,passive,8,15000,0.1269587106347084,0.5236872980082522,-7.058607345610857,-7.185566056245565,1.0,1.0
jabberwocky,passive,9,15000,0.34355943204263845,0.759311401613649,-7.156178834750752,-7.49973826679339,1.0,1.0
jabberwocky,passive,10,15000,1.0831406983350713,1.1288207988225651,-6.699872703448931,-7.783013401784003,1.0,1.0
jabberwocky,passive,11,15000,1.4599315920795004,1.3979625148406574,-3.6685722358042994,-5.1285038278838,1.0,1.0
jabberwocky,passive,12,15000,0.38687641137441,1.4860597957385173,-2.6389401267091435,-3.025816538083553,1.0,1.0
jabberwocky,passive,13,15000,-0.07215939101874828,0.6175368231372399,-4.340532835492988,-4.26837344447424,1.0,1.0
jabberwocky,passive,14,15000,0.16461547219504913,0.44672984660418164,-5.854604266573489,-6.0192197387685376,1.0,1.0
jabberwocky,passive,15,15000,0.18649686109051108,0.48032069352420986,-6.501140747030824,-6.687637608121335,1.0,1.0
jabberwocky,passive,16,15000,0.25148498899141947,0.5782980444949866,-5.948518283056716,-6.200003272048136,1.0,1.0
jabberwocky,passive,17,13526,0.5272114206665669,0.7139816390455362,-4.124343774638795,-4.651555195305362,1.0,1.0
jabberwocky,passive,18,8048,0.8757453034881866,0.6808867446261189,-2.5394517187673458,-3.415197022255532,1.0,1.0
jabberwocky,passive,19,1935,1.1255357761715734,0.5380930003797499,-1.868151400717654,-2.9936871768892273,1.0,1.0
