item_id,item_index,complexity_condition,source_label,target_cell,prime_cell,prime_active,prime_passive,target_active_simple,target_passive_simple,target_active_complex,target_passive_complex,agent_modifier_noun,patient_modifier_noun,agent_modifier_prep,patient_modifier_prep,prime_active_det_family,target_active_det_family,prime_passive_aux,target_passive_aux,prime_active_verb_or_fragment,target_active_verb_or_fragment,target_agent,target_patient
exp4_jabberwocky_0003_patient_complex,3,patient_complex,jabberwocky,indef_present,def_past,the gri ed the mur .,the mur was ed by the gri .,a dir s a dur .,a dur is ed by a dir .,a dir s a dur in a tul .,a dur in a tul is ed by a dir .,,tul,,in,def,indef,was,is,ed,s,dir,dur
exp4_jabberwocky_0003_both_complex,3,both_complex,jabberwocky,indef_present,def_past,the gri ed the mur .,the mur was ed by the gri .,a dir s a dur .,a dur is ed by a dir .,a dir on a fab s a dur in a fav .,a dur in a fav is ed by a dir on a fab .,fab,fav,on,in,def,indef,was,is,ed,s,dir,dur
exp4_jabberwocky_0004_agent_complex,4,agent_complex,jabberwocky,def_past,indef_present,a mur s a dir .,a dir is ed by a mur .,the dur ed the fab .,the fab was ed by the dur .,the dur in the sav ed the fab .,the fab was ed by the dur in the sav .,sav,,in,,indef,def,is,was,s,ed,dur,fab
exp4_jabberwocky_0004_patient_complex,4,patient_complex,jabberwocky,def_past,indef_present,a mur s a dir .,a dir is ed by a mur .,the dur ed the fab .,the fab was ed by the dur .,the dur ed the fab on the dil .,the fab on the dil was ed by the dur .,,dil,,on,indef,def,is,was,s,ed,dur,fab
exp4_jabberwocky_0004_both_complex,4,both_complex,jabberwocky,def_past,indef_present,a mur s a dir .,a dir is ed by a mur .,the dur ed the fab .,the fab was ed by the dur .,the dur below the lav ed the fab near the lil .,the fab near the lil was ed by the dur below the lav .,lav,lil,below,near,indef,def,is,was,s,ed,dur,fab
exp4_jabberwocky_0005_agent_complex,5,agent_complex,jabberwocky,def_present,indef_past,a dir ed a dur .,a dur was ed by a dir .,the fab s the fav .,the fav is ed by the fab .,the fab on the vel s the fav .,the fav is ed by the fab on the vel .,vel,,on,,indef,def,was,is,ed,s,fab,fav
exp4_jabberwocky_0005_patient_complex,5,patient_complex,jabberwocky,def_present,indef_past,a dir ed a dur .,a dur was ed by a dir .,the fab s the fav .,the fav is ed by the fab .,the fab s the fav below the fel .,the fav below the fel is ed by the fab .,,fel,,below,indef,def,was,is,ed,s,fab,fav
exp4_jabberwocky_0005_both_complex,5,both_complex,jabberwocky,def_present,indef_past,a dir ed a dur .,a dur was ed by a dir .,the fab s the fav .,the fav is ed by the fab .,the fab near the nud s the fav below the pav .,the fav below the pav is ed by the fab near the nud .,nud,pav,near,below,indef,def,was,is,ed,s,fab,fav
exp4_jabberwocky_0006_agent_complex,6,agent_complex,jabberwocky,indef_past,def_present,the dur s the fab .,the fab is ed by the dur .,a fav ed a fel .,a fel was ed by a fav .,a fav below a dru ed a fel .,a fel was ed by a fav below a dru .,dru,,below,,def,indef,is,was,s,ed,fav,fel
exp4_jabberwocky_0006_patient_complex,6,patient_complex,jabberwocky,indef_past,def_present,the dur s the fab .,the fab is ed by the dur .,a fav ed a fel .,a fel was ed by a fav .,a fav ed a fel near a lil .,a fel near a lil was ed by a fav .,,lil,,near,def,indef,is,was,s,ed,fav,fel
exp4_jabberwocky_0006_both_complex,6,both_complex,jabberwocky,indef_past,def_present,the dur s the fab .,the fab is ed by the dur .,a fav ed a fel .,a fel was ed by a fav .,a fav above a sav ed a fel near a som .,a fel near a som was ed by a fav above a sav .,sav,som,above,near,def,indef,is,was,s,ed,fav,fel
exp4_jabberwocky_0007_agent_complex,7,agent_complex,jabberwocky,indef_present,def_past,the fab ed the fav .,the fav was ed by the fab .,a fel s a fil .,a fil is ed by a fel .,a fel near a fol s a fil .,a fil is ed by a fel near a fol .,fol,,near,,def,indef,was,is,ed,s,fel,fil
exp4_jabberwocky_0007_patient_complex,7,patient_complex,jabberwocky,indef_present,def_past,the fab ed the fav .,the fav was ed by the fab .,a fel s a fil .,a fil is ed by a fel .,a fel s a fil above a pav .,a fil above a pav is ed by a fel .,,pav,,above,def,indef,was,is,ed,s,fel,fil
exp4_jabberwocky_0007_both_complex,7,both_complex,jabberwocky,indef_present,def_past,the fab ed the fav .,the fav was ed by the fab .,a fel s a fil .,a fil is ed by a fel .,a fel with a vel s a fil from a vil .,a fil from a vil is ed by a fel with a vel .,vel,vil,with,from,def,indef,was,is,ed,s,fel,fil
exp4_jabberwocky_0008_agent_complex,8,agent_complex,jabberwocky,def_past,indef_present,a fav s a fel .,a fel is ed by a fav .,the fil ed the fol .,the fol was ed by the fil .,the fil above the mol ed the fol .,the fol was ed by the fil above the mol .,mol,,above,,indef,def,is,was,s,ed,fil,fol
exp4_jabberwocky_0008_patient_complex,8,patient_complex,jabberwocky,def_past,indef_present,a fav s a fel .,a fel is ed by a fav .,the fil ed the fol .,the fol was ed by the fil .,the fil ed the fol with the som .,the fol with the som was ed by the fil .,,som,,with,indef,def,is,was,s,ed,fil,fol
exp4_jabberwocky_0008_both_complex,8,both_complex,jabberwocky,def_past,indef_present,a fav s a fel .,a fel is ed by a fav .,the fil ed the fol .,the fol was ed by the fil .,the fil from the dru ed the fol with the gri .,the fol with the gri was ed by the fil from the dru .,dru,gri,from,with,indef,def,is,was,s,ed,fil,fol
exp4_jabberwocky_0009_agent_complex,9,agent_complex,jabberwocky,def_present,indef_past,a fel ed a fil .,a fil was ed by a fel .,the fol s the ful .,the ful is ed by the fol .,the fol with the pel s the ful .,the ful is ed by the fol with the pel .,pel,,with,,indef,def,was,is,ed,s,fol,ful
exp4_jabberwocky_0009_patient_complex,9,patient_complex,jabberwocky,def_present,indef_past,a fel ed a fil .,a fil was ed by a fel .,the fol s the ful .,the ful is ed by the fol .,the fol s the ful from the vil .,the ful from the vil is ed by the fol .,,vil,,from,indef,def,was,is,ed,s,fol,ful
exp4_jabberwocky_0009_both_complex,9,both_complex,jabberwocky,def_present,indef_past,a fel ed a fil .,a fil was ed by a fel .,the fol s the ful .,the ful is ed by the fol .,the fol in the gir s the ful on the lav .,the ful on the lav is ed by the fol in the gir .,gir,lav,in,on,indef,def,was,is,ed,s,fol,ful
exp4_jabberwocky_0010_agent_complex,10,agent_complex,jabberwocky,indef_past,def_present,the fil s the fol .,the fol is ed by the fil .,a ful ed a gir .,a gir was ed by a ful .,a ful from a sor ed a gir .,a gir was ed by a ful from a sor .,sor,,from,,def,indef,is,was,s,ed,ful,gir
exp4_jabberwocky_0010_patient_complex,10,patient_complex,jabberwocky,indef_past,def_present,the fil s the fol .,the fol is ed by the fil .,a ful ed a gir .,a gir was ed by a ful .,a ful ed a gir in a gri .,a gir in a gri was ed by a ful .,,gri,,in,def,indef,is,was,s,ed,ful,gir
exp4_jabberwocky_0010_both_complex,10,both_complex,jabberwocky,indef_past,def_present,the fil s the fol .,the fol is ed by the fil .,a ful ed a gir .,a gir was ed by a ful .,a ful on a mol ed a gir in a mul .,a gir in a mul was ed by a ful on a mol .,mol,mul,on,in,def,indef,is,was,s,ed,ful,gir
exp4_jabberwocky_0011_agent_complex,11,agent_complex,jabberwocky,indef_present,def_past,the fol ed the ful .,the ful was ed by the fol .,a gir s a lav .,a lav is ed by a gir .,a gir in a vir s a lav .,a lav is ed by a gir in a vir .,vir,,in,,def,indef,was,is,ed,s,gir,lav
exp4_jabberwocky_0011_patient_complex,11,patient_complex,jabberwocky,indef_present,def_past,the fol ed the ful .,the ful was ed by the fol .,a gir s a lav .,a lav is ed by a gir .,a gir s a lav on a fil .,a lav on a fil is ed by a gir .,,fil,,on,def,indef,was,is,ed,s,gir,lav
exp4_jabberwocky_0011_both_complex,11,both_complex,jabberwocky,indef_present,def_past,the fol ed the ful .,the ful was ed by the fol .,a gir s a lav .,a lav is ed by a gir .,a gir below a pel s a lav near a pil .,a lav near a pil is ed by a gir below a pel .,pel,pil,below,near,def,indef,was,is,ed,s,gir,lav
exp4_jabberwocky_0012_agent_complex,12,agent_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav on the mur ed the lil .,the lil was ed by the lav on the mur .,mur,,on,,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0012_patient_complex,12,patient_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav ed the lil below the mul .,the lil below the mul was ed by the lav .,,mul,,below,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0012_both_complex,12,both_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav near the sor ed the lil above the sul .,the lil above the sul was ed by the lav near the sor .,sor,sul,near,above,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0013_agent_complex,13,agent_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil below the fol s the mol .,the mol is ed by the lil below the fol .,fol,,below,,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0013_patient_complex,13,patient_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil s the mol near the pil .,the mol near the pil is ed by the lil .,,pil,,near,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0013_both_complex,13,both_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil above the vir s the mol near the vom .,the mol near the vom is ed by the lil above the vir .,vir,vom,above,near,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0014_agent_complex,14,agent_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol near a nav ed a mul .,a mul was ed by a mol near a nav .,nav,,near,,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0014_patient_complex,14,patient_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol ed a mul above a sul .,a mul above a sul was ed by a mol .,,sul,,above,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0014_both_complex,14,both_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol with a mur ed a mul from a dir .,a mul from a dir was ed by a mol with a mur .,mur,dir,with,from,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0015_agent_complex,15,agent_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul above a por s a nav .,a nav is ed by a mul above a por .,por,,above,,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0015_patient_complex,15,patient_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul s a nav with a vom .,a nav with a vom is ed by a mul .,,vom,,with,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0015_both_complex,15,both_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul from a fol s a nav with a ful .,a nav with a ful is ed by a mul from a fol .,fol,ful,from,with,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0016_agent_complex,16,agent_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav with the tel ed the nin .,the nin was ed by the nav with the tel .,tel,,with,,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0016_patient_complex,16,patient_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav ed the nin from the dir .,the nin from the dir was ed by the nav .,,dir,,from,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0016_both_complex,16,both_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav in the nom ed the nin on the nud .,the nin on the nud was ed by the nav in the nom .,nom,nud,in,on,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0017_agent_complex,17,agent_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin from the vul s the nom .,the nom is ed by the nin from the vul .,vul,,from,,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0017_patient_complex,17,patient_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin s the nom in the ful .,the nom in the ful is ed by the nin .,,ful,,in,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0017_both_complex,17,both_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin on the por s the nom in the rav .,the nom in the rav is ed by the nin on the por .,por,rav,on,in,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0018_agent_complex,18,agent_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom in a dur ed a nud .,a nud was ed by a nom in a dur .,dur,,in,,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0018_patient_complex,18,patient_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom ed a nud on a pav .,a nud on a pav was ed by a nom .,,pav,,on,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0018_both_complex,18,both_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom below a tel ed a nud near a tir .,a nud near a tir was ed by a nom below a tel .,tel,tir,below,near,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0019_agent_complex,19,agent_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud on a gir s a pav .,a pav is ed by a nud on a gir .,gir,,on,,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0019_patient_complex,19,patient_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud s a pav below a rav .,a pav below a rav is ed by a nud .,,rav,,below,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0019_both_complex,19,both_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud near a vul s a pav below a bri .,a pav below a bri is ed by a nud near a vul .,vul,bri,near,below,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0020_agent_complex,20,agent_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav below the pil ed the pel .,the pel was ed by the pav below the pil .,pil,,below,,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0020_patient_complex,20,patient_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav ed the pel near the tir .,the pel near the tir was ed by the pav .,,tir,,near,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0020_both_complex,20,both_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav above the dur ed the pel near the fab .,the pel near the fab was ed by the pav above the dur .,dur,fab,above,near,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0021_agent_complex,21,agent_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel near the rom s the pil .,the pil is ed by the pel near the rom .,rom,,near,,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0021_patient_complex,21,patient_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel s the pil above the bri .,the pil above the bri is ed by the pel .,,bri,,above,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0021_both_complex,21,both_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel with the gir s the pil from the lav .,the pil from the lav is ed by the pel with the gir .,gir,lav,with,from,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0022_agent_complex,22,agent_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil above a tul ed a por .,a por was ed by a pil above a tul .,tul,,above,,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0022_patient_complex,22,patient_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil ed a por with a fab .,a por with a fab was ed by a pil .,,fab,,with,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0022_both_complex,22,both_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil from a nom ed a por with a nud .,a por with a nud was ed by a pil from a nom .,nom,nud,from,with,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0023_agent_complex,23,agent_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por with a dil s a rav .,a rav is ed by a por with a dil .,dil,,with,,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0023_patient_complex,23,patient_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por s a rav from a lav .,a rav from a lav is ed by a por .,,lav,,from,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0023_both_complex,23,both_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por in a rom s a rav on a sav .,a rav on a sav is ed by a por in a rom .,rom,sav,in,on,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0024_agent_complex,24,agent_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav from the fav ed the rom .,the rom was ed by the rav from the fav .,fav,,from,,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0024_patient_complex,24,patient_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav ed the rom in the nud .,the rom in the nud was ed by the rav .,,nud,,in,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0024_both_complex,24,both_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav on the tul ed the rom in the vel .,the rom in the vel was ed by the rav on the tul .,tul,vel,on,in,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0025_agent_complex,25,agent_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom in the lil s the sav .,the sav is ed by the rom in the lil .,lil,,in,,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0025_patient_complex,25,patient_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom s the sav on the som .,the sav on the som is ed by the rom .,,som,,on,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0025_both_complex,25,both_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom below the dil s the sav near the dru .,the sav near the dru is ed by the rom below the dil .,dil,dru,below,near,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0026_agent_complex,26,agent_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav on a pav ed a som .,a som was ed by a sav on a pav .,pav,,on,,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0026_patient_complex,26,patient_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav ed a som below a vel .,a som below a vel was ed by a sav .,,vel,,below,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0026_both_complex,26,both_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav near a fav ed a som above a fel .,a som above a fel was ed by a sav near a fav .,fav,fel,near,above,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0027_agent_complex,27,agent_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som below a sul s a sor .,a sor is ed by a som below a sul .,sul,,below,,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0027_patient_complex,27,patient_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som s a sor near a dru .,a sor near a dru is ed by a som .,,dru,,near,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0027_both_complex,27,both_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som above a lil s a sor near a mol .,a sor near a mol is ed by a som above a lil .,lil,mol,above,near,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0028_agent_complex,28,agent_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor near the vil ed the sul .,the sul was ed by the sor near the vil .,vil,,near,,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0028_patient_complex,28,patient_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor ed the sul above the fel .,the sul above the fel was ed by the sor .,,fel,,above,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0028_both_complex,28,both_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor with the pav ed the sul from the pel .,the sul from the pel was ed by the sor with the pav .,pav,pel,with,from,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0029_agent_complex,29,agent_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul above the gri s the tel .,the tel is ed by the sul above the gri .,gri,,above,,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0029_patient_complex,29,patient_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul s the tel with the mol .,the tel with the mol is ed by the sul .,,mol,,with,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0029_both_complex,29,both_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul from the tir s the tel with the tul .,the tel with the tul is ed by the sul from the tir .,tir,tul,from,with,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0030_agent_complex,30,agent_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel with a fil ed a tir .,a tir was ed by a tel with a fil .,fil,,with,,def,indef,is,was,s,ed,tel,tir
exp4_jabberwocky_0030_patient_complex,30,patient_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel ed a tir from a pel .,a tir from a pel was ed by a tel .,,pel,,from,def,indef,is,was,s,ed,tel,tir
exp4_jabberwocky_0030_both_complex,30,both_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel in a vil ed a tir on a vir .,a tir on a vir was ed by a tel in a vil .,vil,vir,in,on,def,indef,is,was,s,ed,tel,tir
