item_id,item_index,complexity_condition,source_label,target_cell,prime_cell,prime_active,prime_passive,target_active_simple,target_passive_simple,target_active_complex,target_passive_complex,agent_modifier_noun,patient_modifier_noun,agent_modifier_prep,patient_modifier_prep,prime_active_det_family,target_active_det_family,prime_passive_aux,target_passive_aux,prime_active_verb_or_fragment,target_active_verb_or_fragment,target_agent,target_patient
exp4_core_0006_patient_complex,6,patient_complex,core,indef_past,def_present,the actress kills the adult .,the adult is killed by the actress .,a bishop asked a boy .,a boy was asked by a bishop .,a bishop asked a boy near a scientist .,a boy near a scientist was asked by a bishop .,,scientist,,near,def,indef,is,was,kills,asked,bishop,boy
exp4_core_0006_both_complex,6,both_complex,core,indef_past,def_present,the actress kills the adult .,the adult is killed by the actress .,a bishop asked a boy .,a boy was asked by a bishop .,a bishop above a woman asked a boy near a father .,a boy near a father was asked by a bishop above a woman .,woman,father,above,near,def,indef,is,was,kills,asked,bishop,boy
exp4_core_0007_agent_complex,7,agent_complex,core,indef_present,def_past,the aunt caught the author .,the author was caught by the aunt .,a boy asks a brother .,a brother is asked by a boy .,a boy near a cop asks a brother .,a brother is asked by a boy near a cop .,cop,,near,,def,indef,was,is,caught,asks,boy,brother
exp4_core_0007_patient_complex,7,patient_complex,core,indef_present,def_past,the aunt caught the author .,the author was caught by the aunt .,a boy asks a brother .,a brother is asked by a boy .,a boy asks a brother above a princess .,a brother above a princess is asked by a boy .,,princess,,above,def,indef,was,is,caught,asks,boy,brother
exp4_core_0007_both_complex,7,both_complex,core,indef_present,def_past,the aunt caught the author .,the author was caught by the aunt .,a boy asks a brother .,a brother is asked by a boy .,a boy with a wife asks a brother from a student .,a brother from a student is asked by a boy with a wife .,wife,student,with,from,def,indef,was,is,caught,asks,boy,brother
exp4_core_0008_agent_complex,8,agent_complex,core,def_past,indef_present,a secretary protects a sheriff .,a sheriff is protected by a secretary .,the brother asked the buddy .,the buddy was asked by the brother .,the brother above the champion asked the buddy .,the buddy was asked by the brother above the champion .,champion,,above,,indef,def,is,was,protects,asked,brother,buddy
exp4_core_0008_patient_complex,8,patient_complex,core,def_past,indef_present,a secretary protects a sheriff .,a sheriff is protected by a secretary .,the brother asked the buddy .,the buddy was asked by the brother .,the brother asked the buddy with the father .,the buddy with the father was asked by the brother .,,father,,with,indef,def,is,was,protects,asked,brother,buddy
exp4_core_0008_both_complex,8,both_complex,core,def_past,indef_present,a secretary protects a sheriff .,a sheriff is protected by a secretary .,the brother asked the buddy .,the buddy was asked by the brother .,the brother from the kid asked the buddy with the chief .,the buddy with the chief was asked by the brother from the kid .,kid,chief,from,with,indef,def,is,was,protects,asked,brother,buddy
exp4_core_0009_agent_complex,9,agent_complex,core,def_present,indef_past,a daughter dragged a doctor .,a doctor was dragged by a daughter .,the buddy asks the candidate .,the candidate is asked by the buddy .,the buddy with the physician asks the candidate .,the candidate is asked by the buddy with the physician .,physician,,with,,indef,def,was,is,dragged,asks,buddy,candidate
exp4_core_0009_patient_complex,9,patient_complex,core,def_present,indef_past,a daughter dragged a doctor .,a doctor was dragged by a daughter .,the buddy asks the candidate .,the candidate is asked by the buddy .,the buddy asks the candidate from the boy .,the candidate from the boy is asked by the buddy .,,boy,,from,indef,def,was,is,dragged,asks,buddy,candidate
exp4_core_0009_both_complex,9,both_complex,core,def_present,indef_past,a daughter dragged a doctor .,a doctor was dragged by a daughter .,the buddy asks the candidate .,the candidate is asked by the buddy .,the buddy in the secretary asks the candidate on the lady .,the candidate on the lady is asked by the buddy in the secretary .,secretary,lady,in,on,indef,def,was,is,dragged,asks,buddy,candidate
exp4_core_0010_agent_complex,10,agent_complex,core,indef_past,def_present,the minister forgives the mother .,the mother is forgiven by the minister .,a candidate asked a captain .,a captain was asked by a candidate .,a candidate from a guy asked a captain .,a captain was asked by a candidate from a guy .,guy,,from,,def,indef,is,was,forgives,asked,candidate,captain
exp4_core_0010_patient_complex,10,patient_complex,core,indef_past,def_present,the minister forgives the mother .,the mother is forgiven by the minister .,a candidate asked a captain .,a captain was asked by a candidate .,a candidate asked a captain in a chief .,a captain in a chief was asked by a candidate .,,chief,,in,def,indef,is,was,forgives,asked,candidate,captain
exp4_core_0010_both_complex,10,both_complex,core,indef_past,def_present,the minister forgives the mother .,the mother is forgiven by the minister .,a candidate asked a captain .,a captain was asked by a candidate .,a candidate on a lawyer asked a captain in a mayor .,a captain in a mayor was asked by a candidate on a lawyer .,lawyer,mayor,on,in,def,indef,is,was,forgives,asked,candidate,captain
exp4_core_0011_agent_complex,11,agent_complex,core,indef_present,def_past,the professor beat the reader .,the reader was beaten by the professor .,a captain asks a champion .,a champion is asked by a captain .,a captain in a student asks a champion .,a champion is asked by a captain in a student .,student,,in,,def,indef,was,is,beat,asks,captain,champion
exp4_core_0011_patient_complex,11,patient_complex,core,indef_present,def_past,the professor beat the reader .,the reader was beaten by the professor .,a captain asks a champion .,a champion is asked by a captain .,a captain asks a champion on a lady .,a champion on a lady is asked by a captain .,,lady,,on,def,indef,was,is,beat,asks,captain,champion
exp4_core_0011_both_complex,11,both_complex,core,indef_present,def_past,the professor beat the reader .,the reader was beaten by the professor .,a captain asks a champion .,a champion is asked by a captain .,a captain below a guest asks a champion near a buddy .,a champion near a buddy is asked by a captain below a guest .,guest,buddy,below,near,def,indef,was,is,beat,asks,captain,champion
exp4_core_0012_agent_complex,12,agent_complex,core,def_past,indef_present,a boy hurries a brother .,a brother is hurried by a boy .,the champion asked the chief .,the chief was asked by the champion .,the champion on the teacher asked the chief .,the chief was asked by the champion on the teacher .,teacher,,on,,indef,def,is,was,hurries,asked,champion,chief
exp4_core_0012_patient_complex,12,patient_complex,core,def_past,indef_present,a boy hurries a brother .,a brother is hurried by a boy .,the champion asked the chief .,the chief was asked by the champion .,the champion asked the chief below the lawyer .,the chief below the lawyer was asked by the champion .,,lawyer,,below,indef,def,is,was,hurries,asked,champion,chief
exp4_core_0012_both_complex,12,both_complex,core,def_past,indef_present,a boy hurries a brother .,a brother is hurried by a boy .,the champion asked the chief .,the chief was asked by the champion .,the champion near the employee asked the chief above the nurse .,the chief above the nurse was asked by the champion near the employee .,employee,nurse,near,above,indef,def,is,was,hurries,asked,champion,chief
exp4_core_0013_agent_complex,13,agent_complex,core,def_present,indef_past,an uncle selected a wife .,a wife was selected by an uncle .,the chief asks the child .,the child is asked by the chief .,the chief below the attorney asks the child .,the child is asked by the chief below the attorney .,attorney,,below,,indef,def,was,is,selected,asks,chief,child
exp4_core_0013_patient_complex,13,patient_complex,core,def_present,indef_past,an uncle selected a wife .,a wife was selected by an uncle .,the chief asks the child .,the child is asked by the chief .,the chief asks the child near the guest .,the child near the guest is asked by the chief .,,guest,,near,indef,def,was,is,selected,asks,chief,child
exp4_core_0013_both_complex,13,both_complex,core,def_present,indef_past,an uncle selected a wife .,a wife was selected by an uncle .,the chief asks the child .,the child is asked by the chief .,the chief above the soldier asks the child near the singer .,the child near the singer is asked by the chief above the soldier .,soldier,singer,above,near,indef,def,was,is,selected,asks,chief,child
exp4_core_0014_agent_complex,14,agent_complex,core,indef_past,def_present,the woman grabs the worker .,the worker is grabbed by the woman .,a child asked a colonel .,a colonel was asked by a child .,a child near a minister asked a colonel .,a colonel was asked by a child near a minister .,minister,,near,,def,indef,is,was,grabs,asked,child,colonel
exp4_core_0014_patient_complex,14,patient_complex,core,indef_past,def_present,the woman grabs the worker .,the worker is grabbed by the woman .,a child asked a colonel .,a colonel was asked by a child .,a child asked a colonel above a nurse .,a colonel above a nurse was asked by a child .,,nurse,,above,def,indef,is,was,grabs,asked,child,colonel
exp4_core_0014_both_complex,14,both_complex,core,indef_past,def_present,the woman grabs the worker .,the worker is grabbed by the woman .,a child asked a colonel .,a colonel was asked by a child .,a child with a bishop asked a colonel from an employer .,a colonel from an employer was asked by a child with a bishop .,bishop,employer,with,from,def,indef,is,was,grabs,asked,child,colonel
exp4_core_0015_agent_complex,15,agent_complex,core,indef_present,def_past,the husband surprised the kid .,the kid was surprised by the husband .,a colonel asks a cop .,a cop is asked by a colonel .,a colonel above a buddy asks a cop .,a cop is asked by a colonel above a buddy .,buddy,,above,,def,indef,was,is,surprised,asks,colonel,cop
exp4_core_0015_patient_complex,15,patient_complex,core,indef_present,def_past,the husband surprised the kid .,the kid was surprised by the husband .,a colonel asks a cop .,a cop is asked by a colonel .,a colonel asks a cop with a singer .,a cop with a singer is asked by a colonel .,,singer,,with,def,indef,was,is,surprised,asks,colonel,cop
exp4_core_0015_both_complex,15,both_complex,core,indef_present,def_past,the husband surprised the kid .,the kid was surprised by the husband .,a colonel asks a cop .,a cop is asked by a colonel .,a colonel from a president asks a cop with a mother .,a cop with a mother is asked by a colonel from a president .,president,mother,from,with,def,indef,was,is,surprised,asks,colonel,cop
exp4_core_0016_agent_complex,16,agent_complex,core,def_past,indef_present,a doctor forgets an employee .,an employee is forgotten by a doctor .,the cop asked the cousin .,the cousin was asked by the cop .,the cop with the pilot asked the cousin .,the cousin was asked by the cop with the pilot .,pilot,,with,,indef,def,is,was,forgets,asked,cop,cousin
exp4_core_0016_patient_complex,16,patient_complex,core,def_past,indef_present,a doctor forgets an employee .,an employee is forgotten by a doctor .,the cop asked the cousin .,the cousin was asked by the cop .,the cop asked the cousin from the employer .,the cousin from the employer was asked by the cop .,,employer,,from,indef,def,is,was,forgets,asked,cop,cousin
exp4_core_0016_both_complex,16,both_complex,core,def_past,indef_present,a doctor forgets an employee .,an employee is forgotten by a doctor .,the cop asked the cousin .,the cousin was asked by the cop .,the cop in the friend asked the cousin on the son .,the cousin on the son was asked by the cop in the friend .,friend,son,in,on,indef,def,is,was,forgets,asked,cop,cousin
exp4_core_0017_agent_complex,17,agent_complex,core,def_present,indef_past,a king grabbed a lady .,a lady was grabbed by a king .,the cousin asks the daughter .,the daughter is asked by the cousin .,the cousin from the scientist asks the daughter .,the daughter is asked by the cousin from the scientist .,scientist,,from,,indef,def,was,is,grabbed,asks,cousin,daughter
exp4_core_0017_patient_complex,17,patient_complex,core,def_present,indef_past,a king grabbed a lady .,a lady was grabbed by a king .,the cousin asks the daughter .,the daughter is asked by the cousin .,the cousin asks the daughter in the mother .,the daughter in the mother is asked by the cousin .,,mother,,in,indef,def,was,is,grabbed,asks,cousin,daughter
exp4_core_0017_both_complex,17,both_complex,core,def_present,indef_past,a king grabbed a lady .,a lady was grabbed by a king .,the cousin asks the daughter .,the daughter is asked by the cousin .,the cousin on the brother asks the daughter in the kid .,the daughter in the kid is asked by the cousin on the brother .,brother,kid,on,in,indef,def,was,is,grabbed,asks,cousin,daughter
exp4_core_0018_agent_complex,18,agent_complex,core,indef_past,def_present,the priest washes the prince .,the prince is washed by the priest .,a daughter asked a doctor .,a doctor was asked by a daughter .,a daughter in a colonel asked a doctor .,a doctor was asked by a daughter in a colonel .,colonel,,in,,def,indef,is,was,washes,asked,daughter,doctor
exp4_core_0018_patient_complex,18,patient_complex,core,indef_past,def_present,the priest washes the prince .,the prince is washed by the priest .,a daughter asked a doctor .,a doctor was asked by a daughter .,a daughter asked a doctor on a son .,a doctor on a son was asked by a daughter .,,son,,on,def,indef,is,was,washes,asked,daughter,doctor
exp4_core_0018_both_complex,18,both_complex,core,indef_past,def_present,the priest washes the prince .,the prince is washed by the priest .,a daughter asked a doctor .,a doctor was asked by a daughter .,a daughter below a professor asked a doctor near a leader .,a doctor near a leader was asked by a daughter below a professor .,professor,leader,below,near,def,indef,is,was,washes,asked,daughter,doctor
exp4_core_0019_agent_complex,19,agent_complex,core,indef_present,def_past,the actor hurt the actress .,the actress was hurt by the actor .,a doctor asks an employee .,an employee is asked by a doctor .,a doctor on a woman asks an employee .,an employee is asked by a doctor on a woman .,woman,,on,,def,indef,was,is,hurt,asks,doctor,employee
exp4_core_0019_patient_complex,19,patient_complex,core,indef_present,def_past,the actor hurt the actress .,the actress was hurt by the actor .,a doctor asks an employee .,an employee is asked by a doctor .,a doctor asks an employee below a brother .,an employee below a brother is asked by a doctor .,,brother,,below,def,indef,was,is,hurt,asks,doctor,employee
exp4_core_0019_both_complex,19,both_complex,core,indef_present,def_past,the actor hurt the actress .,the actress was hurt by the actor .,a doctor asks an employee .,an employee is asked by a doctor .,a doctor near a writer asks an employee below a partner .,an employee below a partner is asked by a doctor near a writer .,writer,partner,near,below,def,indef,was,is,hurt,asks,doctor,employee
exp4_core_0020_agent_complex,20,agent_complex,core,def_past,indef_present,a wife hurts a winner .,a winner is hurt by a wife .,the employee asked the employer .,the employer was asked by the employee .,the employee below the boy asked the employer .,the employer was asked by the employee below the boy .,boy,,below,,indef,def,is,was,hurts,asked,employee,employer
exp4_core_0020_patient_complex,20,patient_complex,core,def_past,indef_present,a wife hurts a winner .,a winner is hurt by a wife .,the employee asked the employer .,the employer was asked by the employee .,the employee asked the employer near the leader .,the employer near the leader was asked by the employee .,,leader,,near,indef,def,is,was,hurts,asked,employee,employer
exp4_core_0020_both_complex,20,both_complex,core,def_past,indef_present,a wife hurts a winner .,a winner is hurt by a wife .,the employee asked the employer .,the employer was asked by the employee .,the employee above the parent asked the employer near the uncle .,the employer near the uncle was asked by the employee above the parent .,parent,uncle,above,near,indef,def,is,was,hurts,asked,employee,employer
exp4_core_0021_agent_complex,21,agent_complex,core,def_present,indef_past,a child caught a colonel .,a colonel was caught by a child .,the employer asks the father .,the father is asked by the employer .,the employer near the kid asks the father .,the father is asked by the employer near the kid .,kid,,near,,indef,def,was,is,caught,asks,employer,father
exp4_core_0021_patient_complex,21,patient_complex,core,def_present,indef_past,a child caught a colonel .,a colonel was caught by a child .,the employer asks the father .,the father is asked by the employer .,the employer asks the father above the partner .,the father above the partner is asked by the employer .,,partner,,above,indef,def,was,is,caught,asks,employer,father
exp4_core_0021_both_complex,21,both_complex,core,def_present,indef_past,a child caught a colonel .,a colonel was caught by a child .,the employer asks the father .,the father is asked by the employer .,the employer with the actor asks the father from the prince .,the father from the prince is asked by the employer with the actor .,actor,prince,with,from,indef,def,was,is,caught,asks,employer,father
exp4_core_0022_agent_complex,22,agent_complex,core,indef_past,def_present,the chief hurries the child .,the child is hurried by the chief .,a father asked a friend .,a friend was asked by a father .,a father above a secretary asked a friend .,a friend was asked by a father above a secretary .,secretary,,above,,def,indef,is,was,hurries,asked,father,friend
exp4_core_0022_patient_complex,22,patient_complex,core,indef_past,def_present,the chief hurries the child .,the child is hurried by the chief .,a father asked a friend .,a friend was asked by a father .,a father asked a friend with an uncle .,a friend with an uncle was asked by a father .,,uncle,,with,def,indef,is,was,hurries,asked,father,friend
exp4_core_0022_both_complex,22,both_complex,core,indef_past,def_present,the chief hurries the child .,the child is hurried by the chief .,a father asked a friend .,a friend was asked by a father .,a father from a cop asked a friend with a sheriff .,a friend with a sheriff was asked by a father from a cop .,cop,sheriff,from,with,def,indef,is,was,hurries,asked,father,friend
exp4_core_0023_agent_complex,23,agent_complex,core,indef_present,def_past,the professor surprised the reader .,the reader was surprised by the professor .,a friend asks a girl .,a girl is asked by a friend .,a friend with a captain asks a girl .,a girl is asked by a friend with a captain .,captain,,with,,def,indef,was,is,surprised,asks,friend,girl
exp4_core_0023_patient_complex,23,patient_complex,core,indef_present,def_past,the professor surprised the reader .,the reader was surprised by the professor .,a friend asks a girl .,a girl is asked by a friend .,a friend asks a girl from a prince .,a girl from a prince is asked by a friend .,,prince,,from,def,indef,was,is,surprised,asks,friend,girl
exp4_core_0023_both_complex,23,both_complex,core,indef_present,def_past,the professor surprised the reader .,the reader was surprised by the professor .,a friend asks a girl .,a girl is asked by a friend .,a friend in a priest asks a girl on an actress .,a girl on an actress is asked by a friend in a priest .,priest,actress,in,on,def,indef,was,is,surprised,asks,friend,girl
exp4_core_0024_agent_complex,24,agent_complex,core,def_past,indef_present,a manager protects a mayor .,a mayor is protected by a manager .,the girl asked the guest .,the guest was asked by the girl .,the girl from the reader asked the guest .,the guest was asked by the girl from the reader .,reader,,from,,indef,def,is,was,protects,asked,girl,guest
exp4_core_0024_patient_complex,24,patient_complex,core,def_past,indef_present,a manager protects a mayor .,a mayor is protected by a manager .,the girl asked the guest .,the guest was asked by the girl .,the girl asked the guest in the sheriff .,the guest in the sheriff was asked by the girl .,,sheriff,,in,indef,def,is,was,protects,asked,girl,guest
exp4_core_0024_both_complex,24,both_complex,core,def_past,indef_present,a manager protects a mayor .,a mayor is protected by a manager .,the girl asked the guest .,the guest was asked by the girl .,the girl on the opponent asked the guest in the man .,the guest in the man was asked by the girl on the opponent .,opponent,man,on,in,indef,def,is,was,protects,asked,girl,guest
exp4_core_0025_agent_complex,25,agent_complex,core,def_present,indef_past,a daughter grabbed a doctor .,a doctor was grabbed by a daughter .,the guest asks the guy .,the guy is asked by the guest .,the guest in the employee asks the guy .,the guy is asked by the guest in the employee .,employee,,in,,indef,def,was,is,grabbed,asks,guest,guy
exp4_core_0025_patient_complex,25,patient_complex,core,def_present,indef_past,a daughter grabbed a doctor .,a doctor was grabbed by a daughter .,the guest asks the guy .,the guy is asked by the guest .,the guest asks the guy on the actress .,the guy on the actress is asked by the guest .,,actress,,on,indef,def,was,is,grabbed,asks,guest,guy
exp4_core_0025_both_complex,25,both_complex,core,def_present,indef_past,a daughter grabbed a doctor .,a doctor was grabbed by a daughter .,the guest asks the guy .,the guy is asked by the guest .,the guest below the child asks the guy near the girl .,the guy near the girl is asked by the guest below the child .,child,girl,below,near,indef,def,was,is,grabbed,asks,guest,guy
exp4_core_0026_agent_complex,26,agent_complex,core,indef_past,def_present,the chief protects the child .,the child is protected by the chief .,a guy asked a hero .,a hero was asked by a guy .,a guy on a soldier asked a hero .,a hero was asked by a guy on a soldier .,soldier,,on,,def,indef,is,was,protects,asked,guy,hero
exp4_core_0026_patient_complex,26,patient_complex,core,indef_past,def_present,the chief protects the child .,the child is protected by the chief .,a guy asked a hero .,a hero was asked by a guy .,a guy asked a hero below a man .,a hero below a man was asked by a guy .,,man,,below,def,indef,is,was,protects,asked,guy,hero
exp4_core_0026_both_complex,26,both_complex,core,indef_past,def_present,the chief protects the child .,the child is protected by the chief .,a guy asked a hero .,a hero was asked by a guy .,a guy near a king asked a hero above a husband .,a hero above a husband was asked by a guy near a king .,king,husband,near,above,def,indef,is,was,protects,asked,guy,hero
exp4_core_0027_agent_complex,27,agent_complex,core,indef_present,def_past,the actor killed the actress .,the actress was killed by the actor .,a hero asks a husband .,a husband is asked by a hero .,a hero below a bishop asks a husband .,a husband is asked by a hero below a bishop .,bishop,,below,,def,indef,was,is,killed,asks,hero,husband
exp4_core_0027_patient_complex,27,patient_complex,core,indef_present,def_past,the actor killed the actress .,the actress was killed by the actor .,a hero asks a husband .,a husband is asked by a hero .,a hero asks a husband near a girl .,a husband near a girl is asked by a hero .,,girl,,near,def,indef,was,is,killed,asks,hero,husband
exp4_core_0027_both_complex,27,both_complex,core,indef_present,def_past,the actor killed the actress .,the actress was killed by the actor .,a hero asks a husband .,a husband is asked by a hero .,a hero above a doctor asks a husband near an author .,a husband near an author is asked by a hero above a doctor .,doctor,author,above,near,def,indef,was,is,killed,asks,hero,husband
exp4_core_0028_agent_complex,28,agent_complex,core,def_past,indef_present,a nurse bothers a parent .,a parent is bothered by a nurse .,the husband asked the kid .,the kid was asked by the husband .,the husband near the president asked the kid .,the kid was asked by the husband near the president .,president,,near,,indef,def,is,was,bothers,asked,husband,kid
exp4_core_0028_patient_complex,28,patient_complex,core,def_past,indef_present,a nurse bothers a parent .,a parent is bothered by a nurse .,the husband asked the kid .,the kid was asked by the husband .,the husband asked the kid above the daughter .,the kid above the daughter was asked by the husband .,,daughter,,above,indef,def,is,was,bothers,asked,husband,kid
exp4_core_0028_both_complex,28,both_complex,core,def_past,indef_present,a nurse bothers a parent .,a parent is bothered by a nurse .,the husband asked the kid .,the kid was asked by the husband .,the husband with the manager asked the kid from the candidate .,the kid from the candidate was asked by the husband with the manager .,manager,candidate,with,from,indef,def,is,was,bothers,asked,husband,kid
exp4_core_0029_agent_complex,29,agent_complex,core,def_present,indef_past,a father surprised a friend .,a friend was surprised by a father .,the kid asks the king .,the king is asked by the kid .,the kid above the son asks the king .,the king is asked by the kid above the son .,son,,above,,indef,def,was,is,surprised,asks,kid,king
exp4_core_0029_patient_complex,29,patient_complex,core,def_present,indef_past,a father surprised a friend .,a friend was surprised by a father .,the kid asks the king .,the king is asked by the kid .,the kid asks the king with the author .,the king with the author is asked by the kid .,,author,,with,indef,def,was,is,surprised,asks,kid,king
exp4_core_0029_both_complex,29,both_complex,core,def_present,indef_past,a father surprised a friend .,a friend was surprised by a father .,the kid asks the king .,the king is asked by the kid .,the kid from the mayor asks the king with the adult .,the king with the adult is asked by the kid from the mayor .,mayor,adult,from,with,indef,def,was,is,surprised,asks,kid,king
exp4_core_0030_agent_complex,30,agent_complex,core,indef_past,def_present,the minister raises the mother .,the mother is raised by the minister .,a king asked a lady .,a lady was asked by a king .,a king with a daughter asked a lady .,a lady was asked by a king with a daughter .,daughter,,with,,def,indef,is,was,raises,asked,king,lady
exp4_core_0030_patient_complex,30,patient_complex,core,indef_past,def_present,the minister raises the mother .,the mother is raised by the minister .,a king asked a lady .,a lady was asked by a king .,a king asked a lady from a candidate .,a lady from a candidate was asked by a king .,,candidate,,from,def,indef,is,was,raises,asked,king,lady
exp4_core_0030_both_complex,30,both_complex,core,indef_past,def_present,the minister raises the mother .,the mother is raised by the minister .,a king asked a lady .,a lady was asked by a king .,a king in a hero asked a lady on a winner .,a lady on a winner was asked by a king in a hero .,hero,winner,in,on,def,indef,is,was,raises,asked,king,lady
exp4_core_0031_agent_complex,31,agent_complex,core,indef_present,def_past,the husband washed the kid .,the kid was washed by the husband .,a lady asks a lawyer .,a lawyer is asked by a lady .,a lady from a professor asks a lawyer .,a lawyer is asked by a lady from a professor .,professor,,from,,def,indef,was,is,washed,asks,lady,lawyer
