s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
-78.0,-78.625,-3.771484375,-4.0703125,-83.125,-82.375,-9.15625,-9.3046875,0.625,-0.75,0.298828125,0.1484375
-77.625,-78.25,-2.6796875,-3.34375,-81.75,-82.75,-4.37109375,-4.58984375,0.625,1.0,0.6640625,0.21875
-80.5,-84.0625,-3.39453125,-4.3125,-85.9375,-83.875,-3.607421875,-4.203125,3.5625,-2.0625,0.91796875,0.595703125
-71.5625,-71.1875,-5.109375,-4.859375,-73.9375,-74.125,-5.63671875,-5.73046875,-0.375,0.1875,-0.25,0.09375
-67.0,-68.1875,-4.8203125,-4.83203125,-70.5,-69.875,-5.37890625,-5.640625,1.1875,-0.625,0.01171875,0.26171875
-72.9375,-74.875,-4.984375,-5.49609375,-75.0625,-73.1875,-3.20703125,-3.748046875,1.9375,-1.875,0.51171875,0.541015625
-84.625,-85.125,-3.44921875,-3.875,-87.375,-88.1875,-5.28125,-5.87109375,0.5,0.8125,0.42578125,0.58984375
-76.5625,-77.5625,-6.62109375,-6.79296875,-74.1875,-74.4375,-3.744140625,-4.06640625,1.0,0.25,0.171875,0.322265625
-80.3125,-83.0625,-2.5546875,-3.615234375,-85.125,-84.25,-3.654296875,-4.12890625,2.75,-0.875,1.060546875,0.474609375
-82.375,-84.4375,-3.912109375,-4.65625,-87.1875,-87.25,-5.12109375,-5.9765625,2.0625,0.0625,0.744140625,0.85546875
-74.0,-75.1875,-2.689453125,-3.369140625,-78.625,-78.3125,-5.12109375,-5.359375,1.1875,-0.3125,0.6796875,0.23828125
-74.875,-78.0,-2.736328125,-4.64453125,-78.5,-78.625,-5.87890625,-6.453125,3.125,0.125,1.908203125,0.57421875
-78.0,-77.0,-4.40234375,-4.83984375,-79.4375,-81.5625,-4.921875,-5.76171875,-1.0,2.125,0.4375,0.83984375
-78.5625,-82.1875,-4.08984375,-4.73046875,-84.4375,-81.6875,-4.37109375,-4.421875,3.625,-2.75,0.640625,0.05078125
-83.0,-83.0,-3.337890625,-3.759765625,-83.0,-84.4375,-5.3046875,-5.56640625,0.0,1.4375,0.421875,0.26171875
-72.6875,-73.875,-4.73828125,-5.734375,-75.875,-76.25,-5.39453125,-5.85546875,1.1875,0.375,0.99609375,0.4609375
-81.25,-81.0,-6.0859375,-5.9921875,-83.8125,-84.125,-4.04296875,-4.67578125,-0.25,0.3125,-0.09375,0.6328125
-80.875,-85.5625,-3.396484375,-4.11328125,-83.6875,-84.0625,-5.45703125,-5.796875,4.6875,0.375,0.716796875,0.33984375
-75.4375,-80.0,-3.22265625,-4.70703125,-81.5,-79.25,-8.0234375,-8.15625,4.5625,-2.25,1.484375,0.1328125
-78.625,-79.6875,-3.494140625,-4.390625,-81.375,-80.75,-3.939453125,-4.45703125,1.0625,-0.625,0.896484375,0.517578125
-75.625,-73.75,-6.2421875,-6.08203125,-74.3125,-76.625,-5.28515625,-6.203125,-1.875,2.3125,-0.16015625,0.91796875
-73.125,-72.9375,-3.7578125,-4.1875,-73.75,-75.0,-5.0703125,-5.4921875,-0.1875,1.25,0.4296875,0.421875
-74.4375,-79.0625,-4.2734375,-4.6640625,-80.6875,-77.1875,-4.375,-4.8828125,4.625,-3.5,0.390625,0.5078125
-78.25,-79.125,-3.732421875,-4.078125,-79.4375,-80.6875,-5.8984375,-6.34375,0.875,1.25,0.345703125,0.4453125
-77.6875,-81.0625,-7.7421875,-7.76953125,-79.875,-77.8125,-6.49609375,-6.5390625,3.375,-2.0625,0.02734375,0.04296875
-85.4375,-87.375,-2.9453125,-3.72265625,-88.625,-87.1875,-7.8984375,-8.09375,1.9375,-1.4375,0.77734375,0.1953125
-71.375,-73.8125,-2.76953125,-3.681640625,-76.5,-76.1875,-6.0859375,-6.50390625,2.4375,-0.3125,0.912109375,0.41796875
-75.0,-75.125,-4.203125,-4.5625,-74.75,-75.75,-5.35546875,-5.9296875,0.125,1.0,0.359375,0.57421875
-80.3125,-80.0625,-2.62109375,-3.74609375,-82.3125,-83.875,-5.4921875,-5.515625,-0.25,1.5625,1.125,0.0234375
-78.875,-78.875,-4.03515625,-4.18359375,-80.875,-81.625,-5.28125,-5.46484375,0.0,0.75,0.1484375,0.18359375
-90.625,-92.0,-4.48046875,-4.76953125,-88.6875,-89.25,-5.1484375,-5.6484375,1.375,0.5625,0.2890625,0.5
-74.75,-75.625,-6.6640625,-7.03125,-76.25,-75.3125,-5.99609375,-5.765625,0.875,-0.9375,0.3671875,-0.23046875
-67.75,-68.5,-4.265625,-4.83203125,-69.875,-69.8125,-6.05859375,-6.5078125,0.75,-0.0625,0.56640625,0.44921875
-83.1875,-85.6875,-3.970703125,-5.1796875,-81.9375,-82.3125,-4.2734375,-4.9609375,2.5,0.375,1.208984375,0.6875
-65.75,-69.1875,-3.0859375,-5.5,-70.25,-71.1875,-4.2421875,-5.10546875,3.4375,0.9375,2.4140625,0.86328125
-71.875,-74.8125,-2.388671875,-3.64453125,-76.75,-76.6875,-6.3984375,-7.26171875,2.9375,-0.0625,1.255859375,0.86328125
-73.5,-73.6875,-5.05078125,-5.22265625,-77.5625,-77.625,-6.2890625,-6.81640625,0.1875,0.0625,0.171875,0.52734375
-80.1875,-83.1875,-4.234375,-5.12109375,-82.375,-80.25,-3.955078125,-4.09765625,3.0,-2.125,0.88671875,0.142578125
-76.8125,-78.4375,-2.650390625,-3.439453125,-79.8125,-79.75,-3.357421875,-3.982421875,1.625,-0.0625,0.7890625,0.625
-78.5625,-78.4375,-4.2421875,-4.73046875,-81.4375,-82.75,-5.1328125,-5.44140625,-0.125,1.3125,0.48828125,0.30859375
-90.0,-94.5625,-3.734375,-4.33203125,-98.375,-96.25,-4.328125,-4.56640625,4.5625,-2.125,0.59765625,0.23828125
-74.0,-75.8125,-3.369140625,-4.1796875,-76.125,-76.25,-3.591796875,-3.865234375,1.8125,0.125,0.810546875,0.2734375
-83.0,-82.5625,-4.9296875,-5.01171875,-84.75,-87.0625,-4.86328125,-5.0625,-0.4375,2.3125,0.08203125,0.19921875
-80.625,-81.5625,-7.421875,-8.0234375,-83.25,-83.875,-5.1875,-5.3359375,0.9375,0.625,0.6015625,0.1484375
-79.625,-81.5625,-3.0625,-3.94921875,-82.75,-82.6875,-6.2265625,-6.8515625,1.9375,-0.0625,0.88671875,0.625
-71.9375,-74.375,-4.203125,-5.23046875,-72.5,-72.0,-3.63671875,-4.11328125,2.4375,-0.5,1.02734375,0.4765625
-72.75,-72.5625,-4.484375,-4.79296875,-74.4375,-75.875,-4.64453125,-5.015625,-0.1875,1.4375,0.30859375,0.37109375
-72.625,-76.375,-4.0703125,-5.48828125,-75.75,-74.6875,-4.94140625,-5.40625,3.75,-1.0625,1.41796875,0.46484375
-77.0,-79.25,-3.21875,-3.64453125,-81.1875,-80.5625,-5.453125,-5.73828125,2.25,-0.625,0.42578125,0.28515625
-72.625,-74.25,-4.9921875,-5.1328125,-73.75,-72.25,-7.03125,-7.25,1.625,-1.5,0.140625,0.21875
-70.8125,-75.875,-3.3671875,-4.96484375,-72.5625,-71.25,-3.6484375,-4.265625,5.0625,-1.3125,1.59765625,0.6171875
-69.625,-71.8125,-5.765625,-6.3359375,-71.5,-68.25,-4.77734375,-5.0234375,2.1875,-3.25,0.5703125,0.24609375
-74.3125,-75.4375,-3.615234375,-4.1953125,-79.5,-79.5625,-5.5703125,-5.7421875,1.125,0.0625,0.580078125,0.171875
-81.9375,-80.25,-4.31640625,-4.98046875,-82.5,-85.3125,-7.6171875,-8.78125,-1.6875,2.8125,0.6640625,1.1640625
-79.125,-79.1875,-4.75,-5.08203125,-79.0625,-79.8125,-5.0078125,-5.58203125,0.0625,0.75,0.33203125,0.57421875
-75.8125,-78.25,-5.0625,-5.6171875,-76.375,-75.1875,-3.833984375,-4.53125,2.4375,-1.1875,0.5546875,0.697265625
-81.75,-81.0,-3.044921875,-4.17578125,-80.875,-83.75,-3.021484375,-3.884765625,-0.75,2.875,1.130859375,0.86328125
-85.9375,-86.1875,-4.15625,-4.203125,-84.875,-85.1875,-4.30859375,-4.640625,0.25,0.3125,0.046875,0.33203125
-70.625,-71.875,-3.66796875,-4.70703125,-72.1875,-73.1875,-6.05078125,-7.00390625,1.25,1.0,1.0390625,0.953125
-89.625,-90.875,-4.3828125,-4.6640625,-93.5625,-92.625,-4.2421875,-4.375,1.25,-0.9375,0.28125,0.1328125
-76.875,-78.25,-3.123046875,-4.0625,-79.75,-80.9375,-5.00390625,-5.5078125,1.375,1.1875,0.939453125,0.50390625
-77.75,-80.5,-2.7265625,-3.3515625,-83.625,-83.25,-4.8984375,-6.05859375,2.75,-0.375,0.625,1.16015625
-79.1875,-81.8125,-4.18359375,-5.01953125,-84.6875,-82.4375,-5.3203125,-5.4609375,2.625,-2.25,0.8359375,0.140625
-78.75,-82.375,-8.84375,-9.5390625,-84.0,-82.6875,-3.927734375,-4.35546875,3.625,-1.3125,0.6953125,0.427734375
-80.0625,-79.4375,-4.203125,-4.60546875,-80.8125,-82.5,-5.7734375,-6.27734375,-0.625,1.6875,0.40234375,0.50390625
-86.1875,-88.375,-5.83203125,-6.1875,-93.375,-93.0,-4.50390625,-4.90234375,2.1875,-0.375,0.35546875,0.3984375
-80.0,-81.875,-3.048828125,-3.587890625,-83.6875,-83.0625,-2.78125,-3.060546875,1.875,-0.625,0.5390625,0.279296875
-88.0,-88.625,-4.11328125,-4.30078125,-86.8125,-85.9375,-4.08984375,-4.3515625,0.625,-0.875,0.1875,0.26171875
-67.875,-69.125,-3.943359375,-4.859375,-69.0625,-69.6875,-4.44140625,-4.76171875,1.25,0.625,0.916015625,0.3203125
-82.8125,-84.0,-3.103515625,-3.93359375,-87.0,-86.5,-5.234375,-5.55078125,1.1875,-0.5,0.830078125,0.31640625
-74.0625,-75.6875,-4.390625,-5.26953125,-76.5,-77.25,-6.0390625,-6.67578125,1.625,0.75,0.87890625,0.63671875
-80.0,-79.4375,-5.3671875,-5.25,-78.9375,-79.9375,-4.9765625,-5.58984375,-0.5625,1.0,-0.1171875,0.61328125
-86.4375,-88.8125,-4.7265625,-5.96875,-88.1875,-88.75,-5.37890625,-5.8828125,2.375,0.5625,1.2421875,0.50390625
-77.3125,-79.125,-4.9921875,-5.87109375,-79.1875,-80.8125,-4.7890625,-5.6875,1.8125,1.625,0.87890625,0.8984375
-79.0625,-81.8125,-3.515625,-4.8671875,-80.5625,-80.625,-2.86328125,-3.603515625,2.75,0.0625,1.3515625,0.740234375
-91.625,-93.4375,-6.78125,-7.0078125,-96.0,-94.0,-4.91015625,-5.6328125,1.8125,-2.0,0.2265625,0.72265625
-77.4375,-81.8125,-3.759765625,-5.24609375,-81.3125,-80.8125,-6.30859375,-6.51953125,4.375,-0.5,1.486328125,0.2109375
-84.9375,-86.875,-5.64453125,-6.47265625,-87.0625,-87.875,-3.083984375,-3.884765625,1.9375,0.8125,0.828125,0.80078125
-85.6875,-85.5,-4.1484375,-4.5546875,-90.375,-92.3125,-3.134765625,-3.53125,-0.1875,1.9375,0.40625,0.396484375
-85.5625,-85.75,-5.0859375,-5.3125,-85.9375,-85.75,-5.22265625,-5.10546875,0.1875,-0.1875,0.2265625,-0.1171875
-88.0625,-86.8125,-6.46875,-6.37890625,-90.6875,-91.6875,-4.79296875,-5.359375,-1.25,1.0,-0.08984375,0.56640625
-81.9375,-82.875,-4.91796875,-4.75,-83.6875,-84.0625,-3.296875,-3.6796875,0.9375,0.375,-0.16796875,0.3828125
-81.8125,-84.0625,-4.60546875,-5.49609375,-86.5,-85.5,-3.9453125,-4.39453125,2.25,-1.0,0.890625,0.44921875
-73.0,-75.875,-5.07421875,-5.6015625,-76.25,-74.875,-3.330078125,-3.849609375,2.875,-1.375,0.52734375,0.51953125
-76.3125,-80.0625,-4.29296875,-5.0390625,-80.5625,-78.5625,-5.125,-5.37890625,3.75,-2.0,0.74609375,0.25390625
-76.3125,-77.25,-7.89453125,-8.5859375,-78.25,-77.5,-7.46875,-7.1015625,0.9375,-0.75,0.69140625,-0.3671875
-80.1875,-82.5625,-5.8359375,-6.234375,-86.6875,-84.6875,-3.24609375,-3.611328125,2.375,-2.0,0.3984375,0.365234375
-76.625,-78.0,-4.04296875,-4.94921875,-79.125,-79.1875,-3.267578125,-4.03125,1.375,0.0625,0.90625,0.763671875
-77.8125,-81.875,-4.05859375,-4.71484375,-80.6875,-78.4375,-3.240234375,-3.6640625,4.0625,-2.25,0.65625,0.423828125
-74.875,-75.3125,-4.34765625,-4.94140625,-74.75,-76.6875,-2.87890625,-3.427734375,0.4375,1.9375,0.59375,0.548828125
-71.3125,-75.25,-3.513671875,-4.65625,-76.0625,-74.8125,-5.16015625,-5.4375,3.9375,-1.25,1.142578125,0.27734375
-69.0,-71.5625,-3.30078125,-4.5,-70.75,-69.8125,-4.2890625,-4.1953125,2.5625,-0.9375,1.19921875,-0.09375
-71.3125,-76.5,-2.662109375,-4.265625,-75.8125,-74.6875,-3.068359375,-4.42578125,5.1875,-1.125,1.603515625,1.357421875
-86.3125,-88.0,-3.458984375,-4.078125,-93.375,-92.9375,-4.76953125,-5.3046875,1.6875,-0.4375,0.619140625,0.53515625
-82.375,-83.375,-4.40625,-5.640625,-84.875,-84.625,-4.23828125,-4.91015625,1.0,-0.25,1.234375,0.671875
-78.6875,-79.25,-6.63671875,-7.16015625,-82.125,-82.75,-4.13671875,-4.9375,0.5625,0.625,0.5234375,0.80078125
-79.9375,-80.6875,-3.70703125,-4.26171875,-83.75,-84.4375,-5.6796875,-6.44140625,0.75,0.6875,0.5546875,0.76171875
-76.0,-76.5625,-3.529296875,-4.3984375,-75.875,-77.25,-5.1328125,-5.6328125,0.5625,1.375,0.869140625,0.5
-73.0,-73.625,-5.4375,-5.53515625,-74.75,-75.8125,-4.55078125,-5.2734375,0.625,1.0625,0.09765625,0.72265625
-72.9375,-75.375,-3.48828125,-4.19140625,-81.0625,-80.0,-6.796875,-7.19140625,2.4375,-1.0625,0.703125,0.39453125
-78.9375,-81.8125,-3.134765625,-4.4765625,-80.9375,-79.125,-6.65234375,-7.26171875,2.875,-1.8125,1.341796875,0.609375
-81.1875,-80.9375,-3.86328125,-4.1328125,-84.1875,-86.4375,-4.8125,-5.27734375,-0.25,2.25,0.26953125,0.46484375
-71.5,-73.8125,-3.099609375,-4.15234375,-75.8125,-75.5625,-3.427734375,-4.03125,2.3125,-0.25,1.052734375,0.603515625
-77.25,-80.0,-3.935546875,-4.71484375,-79.4375,-77.3125,-4.32421875,-4.60546875,2.75,-2.125,0.779296875,0.28125
-75.4375,-74.3125,-3.990234375,-4.6484375,-75.4375,-78.4375,-6.22265625,-6.70703125,-1.125,3.0,0.658203125,0.484375
-73.25,-75.0,-4.96484375,-5.37890625,-78.3125,-77.9375,-6.3828125,-6.875,1.75,-0.375,0.4140625,0.4921875
-86.5625,-88.25,-3.671875,-4.35546875,-88.375,-88.5,-3.421875,-3.765625,1.6875,0.125,0.68359375,0.34375
-81.4375,-82.0625,-3.962890625,-4.40625,-83.3125,-83.875,-4.15625,-4.546875,0.625,0.5625,0.443359375,0.390625
-79.625,-79.8125,-4.2890625,-4.796875,-78.6875,-80.25,-5.67578125,-6.1328125,0.1875,1.5625,0.5078125,0.45703125
-80.3125,-81.5,-6.62109375,-7.0078125,-83.9375,-83.125,-3.763671875,-4.53515625,1.1875,-0.8125,0.38671875,0.771484375
-73.3125,-74.5625,-3.484375,-3.99609375,-77.375,-76.3125,-3.78515625,-3.85546875,1.25,-1.0625,0.51171875,0.0703125
-81.5,-82.5625,-3.578125,-4.58984375,-84.1875,-86.1875,-4.3984375,-5.39453125,1.0625,2.0,1.01171875,0.99609375
-69.375,-71.5625,-2.517578125,-3.578125,-74.5,-74.875,-3.546875,-4.1796875,2.1875,0.375,1.060546875,0.6328125
-74.125,-73.875,-2.94921875,-3.373046875,-76.0,-78.0625,-4.90625,-5.34765625,-0.25,2.0625,0.423828125,0.44140625
-76.75,-79.1875,-4.44921875,-4.796875,-80.875,-79.1875,-3.498046875,-4.00390625,2.4375,-1.6875,0.34765625,0.505859375
-88.125,-91.0,-2.5234375,-3.56640625,-91.25,-91.4375,-4.796875,-5.80078125,2.875,0.1875,1.04296875,1.00390625
-73.375,-75.0625,-3.982421875,-4.90234375,-74.8125,-75.25,-4.32421875,-4.953125,1.6875,0.4375,0.919921875,0.62890625
-74.6875,-78.25,-3.38671875,-4.23046875,-81.1875,-80.6875,-5.546875,-6.63671875,3.5625,-0.5,0.84375,1.08984375
-79.5625,-79.3125,-3.52734375,-3.9375,-81.9375,-83.25,-4.66796875,-5.03125,-0.25,1.3125,0.41015625,0.36328125
-87.125,-89.875,-4.66015625,-5.140625,-93.125,-92.5,-7.0859375,-6.76171875,2.75,-0.625,0.48046875,-0.32421875
-76.5,-77.5625,-3.712890625,-4.61328125,-79.1875,-79.5625,-5.13671875,-5.80078125,1.0625,0.375,0.900390625,0.6640625
-78.1875,-76.0625,-4.4140625,-4.53515625,-77.6875,-78.5,-4.046875,-4.44140625,-2.125,0.8125,0.12109375,0.39453125
-82.375,-83.4375,-3.6640625,-4.1875,-85.4375,-85.1875,-4.25,-4.60546875,1.0625,-0.25,0.5234375,0.35546875
-75.3125,-75.375,-4.49609375,-4.515625,-77.875,-78.6875,-6.33203125,-6.484375,0.0625,0.8125,0.01953125,0.15234375
-73.6875,-72.9375,-4.8984375,-5.109375,-75.4375,-77.5,-5.1171875,-5.56640625,-0.75,2.0625,0.2109375,0.44921875
-70.1875,-71.4375,-3.625,-3.990234375,-70.4375,-71.625,-4.94140625,-5.25390625,1.25,1.1875,0.365234375,0.3125
-76.8125,-79.5,-4.21484375,-5.1640625,-80.625,-79.3125,-3.1953125,-3.529296875,2.6875,-1.3125,0.94921875,0.333984375
-83.5,-83.875,-5.703125,-6.1796875,-83.875,-85.25,-5.3828125,-5.6953125,0.375,1.375,0.4765625,0.3125
-64.875,-65.375,-3.818359375,-4.73046875,-68.1875,-69.0,-4.8125,-5.8671875,0.5,0.8125,0.912109375,1.0546875
-76.25,-77.4375,-8.0546875,-8.3359375,-81.5,-80.9375,-5.796875,-6.0,1.1875,-0.5625,0.28125,0.203125
-74.3125,-78.4375,-3.0078125,-4.51953125,-77.5625,-75.0625,-3.484375,-4.5859375,4.125,-2.5,1.51171875,1.1015625
-79.6875,-80.5,-3.322265625,-3.673828125,-80.9375,-80.6875,-3.759765625,-3.9453125,0.8125,-0.25,0.3515625,0.185546875
-71.375,-71.875,-4.4453125,-4.95703125,-75.0,-76.3125,-5.515625,-5.91796875,0.5,1.3125,0.51171875,0.40234375
-76.5,-78.5625,-2.283203125,-3.9140625,-81.5625,-81.5,-3.29296875,-4.00390625,2.0625,-0.0625,1.630859375,0.7109375
-71.5,-73.125,-3.9921875,-4.8984375,-75.5625,-75.3125,-3.576171875,-5.02734375,1.625,-0.25,0.90625,1.451171875
-71.8125,-72.4375,-5.10546875,-5.25,-73.5,-74.1875,-4.80859375,-5.14453125,0.625,0.6875,0.14453125,0.3359375
-76.1875,-76.3125,-4.39453125,-4.80859375,-77.3125,-79.5,-2.095703125,-3.154296875,0.125,2.1875,0.4140625,1.05859375
-76.0,-77.6875,-2.4375,-2.89453125,-80.75,-79.5625,-4.03125,-4.5546875,1.6875,-1.1875,0.45703125,0.5234375
-82.375,-83.4375,-5.90625,-6.34375,-88.375,-88.125,-4.80078125,-5.66796875,1.0625,-0.25,0.4375,0.8671875
-75.3125,-74.8125,-4.94140625,-5.078125,-76.4375,-78.5,-5.7890625,-6.3203125,-0.5,2.0625,0.13671875,0.53125
-77.875,-79.875,-5.37890625,-5.984375,-76.0,-76.75,-7.0625,-7.51171875,2.0,0.75,0.60546875,0.44921875
-76.75,-77.375,-4.046875,-4.68359375,-76.3125,-76.625,-5.70703125,-6.109375,0.625,0.3125,0.63671875,0.40234375
-70.625,-71.8125,-3.5,-3.775390625,-71.875,-72.1875,-3.583984375,-4.24609375,1.1875,0.3125,0.275390625,0.662109375
-74.9375,-75.625,-2.462890625,-3.001953125,-78.5625,-78.625,-3.390625,-3.857421875,0.6875,0.0625,0.5390625,0.466796875
-90.1875,-92.4375,-3.8203125,-4.640625,-91.75,-90.1875,-7.15625,-7.26953125,2.25,-1.5625,0.8203125,0.11328125
-78.9375,-80.0625,-3.326171875,-4.03125,-82.9375,-83.0625,-4.94140625,-5.5390625,1.125,0.125,0.705078125,0.59765625
-75.0,-76.6875,-2.80078125,-3.15234375,-79.3125,-79.4375,-5.27734375,-5.93359375,1.6875,0.125,0.3515625,0.65625
-80.875,-82.5,-4.3203125,-4.4609375,-83.0,-82.4375,-3.927734375,-4.15625,1.625,-0.5625,0.140625,0.228515625
-71.875,-74.3125,-2.841796875,-3.7578125,-76.5,-76.25,-2.517578125,-2.916015625,2.4375,-0.25,0.916015625,0.3984375
-77.0,-77.4375,-3.322265625,-3.884765625,-79.625,-79.5,-7.23828125,-7.515625,0.4375,-0.125,0.5625,0.27734375
-70.5625,-73.6875,-4.8984375,-5.5390625,-77.1875,-75.0625,-5.1953125,-5.74609375,3.125,-2.125,0.640625,0.55078125
-90.8125,-91.5625,-4.56640625,-5.0390625,-90.5625,-91.375,-5.63671875,-5.953125,0.75,0.8125,0.47265625,0.31640625
-76.5625,-77.4375,-4.32421875,-4.62109375,-79.75,-78.6875,-5.59765625,-5.75390625,0.875,-1.0625,0.296875,0.15625
-90.3125,-89.5,-4.08203125,-4.38671875,-91.125,-92.1875,-5.95703125,-6.1953125,-0.8125,1.0625,0.3046875,0.23828125
-80.8125,-79.375,-5.8359375,-6.97265625,-84.3125,-82.875,-2.921875,-3.23046875,-1.4375,-1.4375,1.13671875,0.30859375
-63.125,-63.625,-4.02734375,-4.515625,-67.5625,-68.5625,-5.8046875,-6.5234375,0.5,1.0,0.48828125,0.71875
-71.8125,-74.875,-3.58984375,-3.921875,-78.125,-75.625,-5.52734375,-5.75,3.0625,-2.5,0.33203125,0.22265625
-75.125,-76.3125,-4.33203125,-4.56640625,-78.0,-77.5625,-5.8359375,-6.375,1.1875,-0.4375,0.234375,0.5390625
