item_index,prime_structure,sample_index,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,raw_continuation,first_generated_word,choice_structure,generated_sentence,generated_structure
5,active,0,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," band wanted to make a band .
You must put a question mark after the word “wanted,” and after the word",band,active,the band wanted to make a band .,other
5,active,1,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," band wants/wanted coffee

The second example is: band, coffee, wants/wanted, I want/wanted",band,active,"the band wants/wanted coffee The second example is: band, coffee, wants/wanted, I want/wanted",active
5,active,2,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," man removed a hat . He wants coffee and wants to meet up with a new girl.

This is an example",man,other,the man removed a hat .,other
5,passive,0,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," band did not want/was not wanted.
Sentence: band, coffee, wants/wanted, wants/wanted",band,active,the band did not want/was not wanted.,other
5,passive,1,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," boss of the department has removed band, coffee, wants/wanted , so he wanted to remove the band for want/",boss,other,"the boss of the department has removed band, coffee, wants/wanted , so he wanted to remove the band for want/",active
5,passive,2,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the", hat was removed by band .,hat,other,the hat was removed by band .,other
6,active,0,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher is carrying beer .
Use these words in one sentence: brother, beer, smelled, got .

[",teacher,other,the teacher is carrying beer .,other
6,active,1,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher carries the salad . The teacher has the salad . Use these words in one sentence: brother, beer, smells
",teacher,other,the teacher carries the salad .,other
6,active,2,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher carried the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: The teacher",teacher,other,the teacher carried the salad .,other
6,passive,0,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled",salad,other,the salad is carried by the teacher .,other
6,passive,1,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence:",salad,other,the salad is carried by the teacher .,other
6,passive,2,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," salad is carried by the teacher .

Here is the correct one:
Sentence: the salad is carried by",salad,other,the salad is carried by the teacher .,other
7,active,0,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," adult understood the boy.

A sentence should always start with the first word of the sentence:

""I",adult,other,the adult understood the boy.,other
7,active,1,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," writer understands that the boy understands

You may also use the following words:

She knows that the boy knows",writer,active,the writer understands that the boy understands You may also use the following words: She knows that the boy knows,other
7,active,2,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," boy understands the writer .

My problem here is that I think this is what the book is suppose to do.",boy,other,the boy understands the writer .,other
7,passive,0,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," boy was understood by the adult .
Use these words in one sentence: the writer was understanding.
Use these words",boy,other,the boy was understood by the adult .,other
7,passive,1,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," child was understood by the adult, the adult was understood by the boy

A:

The following is a",child,other,"the child was understood by the adult, the adult was understood by the boy A: The following is a",other
7,passive,2,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," child was understood by the adult .

If you use a word other than the two above it won't be recognized",child,other,the child was understood by the adult .,other
8,active,0,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff and attorney beat the reporter.

A:

For the first example, a sentence that begins with the",sheriff,active,the sheriff and attorney beat the reporter.,other
8,active,1,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff beat a lawyer washes/washed
Sentence: a writer washes/washed
Sentence: a manager",sheriff,active,the sheriff beat a lawyer washes/washed Sentence: a writer washes/washed Sentence: a manager,other
8,active,2,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff, the lawyer, the washes/washed

There's a nice and useful sentence form for this that I",sheriff,active,"the sheriff, the lawyer, the washes/washed There's a nice and useful sentence form for this that I",other
8,passive,0,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff was the lawyer
Use these words in one sentence: sheriff and lawyer were washed

Sentence: A writer",sheriff,active,the sheriff was the lawyer Use these words in one sentence: sheriff and lawyer were washed Sentence: A writer,other
8,passive,1,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," president of the United States was arrested .
Use these words in one sentence: the president of the United States was arrested",president,other,the president of the United States was arrested .,other
8,passive,2,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff was a lawyer .

Your boss’s job is to do what the boss wants. You must also do",sheriff,active,the sheriff was a lawyer .,other
9,active,0,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," first prince.
Use these words in one sentence: a man describes an aunt .
Use these words in one sentence",first,other,the first prince.,other
9,active,1,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the", prince described an aunt.,prince,other,the prince described an aunt.,other
9,active,2,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," prince gave his aunt a beer to go and she drank it

A:

You may be using this:",prince,other,the prince gave his aunt a beer to go and she drank it A: You may be using this:,other
9,passive,0,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," prince was described by the aunt

A:

You could use a predicate.
You could use a string",prince,other,the prince was described by the aunt A: You could use a predicate.,other
9,passive,1,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," prince saw a boy in a beer-can .
Use these words in one sentence: his mother gave him a beer",prince,other,the prince saw a boy in a beer-can .,other
9,passive,2,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," prince was described by the boy
Examples:
How do I describe my aunt to my brother?

How do",prince,other,the prince was described by the boy Examples: How do I describe my aunt to my brother?,other
10,active,0,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," manager ran down the street .
Use these words in one sentence: protector, guardian, protects/protected
Sentence",manager,other,the manager ran down the street .,other
10,active,1,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," worker made a lot of complaints about the supervisor .
Use these words in one sentence: the worker said .
Sent",worker,other,the worker made a lot of complaints about the supervisor .,other
10,active,2,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," minister .

A:

Try 
The minister was the one who put the doctor in the hospital
",minister,passive,the minister .,other
10,passive,0,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," minister was hurried by the doctor .

In this example, we are using sentence construction techniques to help break up the",minister,passive,the minister was hurried by the doctor .,other
10,passive,1,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," minister was hurried by the doctor .
Sentence: the minister was hurried by the doctor .
Sentence: the",minister,passive,the minister was hurried by the doctor .,other
10,passive,2,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," minister was hurried by the physician .
The first sentence contains the first letter of the word:
"" . ""
",minister,passive,the minister was hurried by the physician .,other
11,active,0,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," husband was killed by the professor's firing.

Now in this sentence we use the same verb. So we have",husband,other,the husband was killed by the professor's firing.,other
11,active,1,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," husband is killed
Sentence: a husband was killed
Sentence: a soldier was killed
Sentence: a",husband,other,the husband is killed Sentence: a husband was killed Sentence: a soldier was killed Sentence: a,other
11,active,2,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," professor and the soldier

I have a sentence for the sentences, but it would be better if I give you the",professor,other,"the professor and the soldier I have a sentence for the sentences, but it would be better if I give you the",other
11,passive,0,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," professor was beaten .
The example: soldiers (are) beaten by their husbands .

A:

I",professor,other,the professor was beaten .,other
11,passive,1,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," professor was killed.
If you want a short story, try this:
""I am a teacher of history.""",professor,other,the professor was killed.,other
11,passive,2,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," professor was beaten by a husband .
What is your sentence?

A:

The correct answer is ",professor,other,the professor was beaten by a husband .,other
12,active,0,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," princess asked/asked the husband, who helped the princess
I think you can use an inflectional construction such",princess,passive,"the princess asked/asked the husband, who helped the princess I think you can use an inflectional construction such",other
12,active,1,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," best possible match!
Sentence: a girl kills a boy . Use these words in one sentence: winner, princess",best,other,the best possible match!,other
12,active,2,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," prince asked the king to forgive him
Sentence: the prince asked the king to forgive him
Sentence: he",prince,other,the prince asked the king to forgive him Sentence: the prince asked the king to forgive him Sentence: he,other
12,passive,0,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," king defeated the king.
Use these words in a sentence, with a hyphen: king defeated the prince
Use",king,other,the king defeated the king.,other
12,passive,1,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," king asked a boy to kill his wife.
Write this sentence sentence: the king told me to ask/ask a",king,other,the king asked a boy to kill his wife.,other
12,passive,2,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," king will give a gold ring to the king's daughter.
Use this sentence in one sentence: the king will give",king,other,the king will give a gold ring to the king's daughter.,other
13,active,0,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," princess leaves the key .
Sentence: the princess leaves the key .
Sentence: the princess left the key",princess,other,the princess leaves the key .,other
13,active,1,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," princess returns the key to her husband
Use these words in one sentence: the president has the key
Sentence:",princess,other,the princess returns the key to her husband Use these words in one sentence: the president has the key Sentence:,other
13,active,2,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," princess leaves the key .

My attempt to do this is as follows:

President, singer, grabbed
",princess,other,the princess leaves the key .,other
13,passive,0,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," key is left by the president .

Here are some examples of sentences which can be written like this:

",key,other,the key is left by the president .,other
13,passive,1,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," key is left by the princess .

The next example uses the word “key” and another word to describe a",key,other,the key is left by the princess .,other
13,passive,2,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," key is left .
Using the words in one sentence, I would be able to create a word that can be translated",key,other,the key is left .,other
