item_index,prime_structure,sample_index,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,raw_continuation,first_generated_word,choice_structure,generated_sentence,generated_structure
1,passive,1,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Use these words in one sentence: reader, tea, destroyed
Sentence: the"," business is led by a partner .
Use these words in two sentences: tea, destroyed
Sentence: the business",business,other,the business is led by a partner .,other
1,passive,2,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Use these words in one sentence: reader, tea, destroyed
Sentence: the", two men ran a tea service and destroyed a factory.,two,other,the two men ran a tea service and destroyed a factory.,other
2,active,0,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," boss makes sure to pay the man.
Use these words in one sentence: I am a professional.
Sentence",boss,other,the boss makes sure to pay the man.,other
2,active,1,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," company is looking for a new anchor .
Use these words in three or four sentences: anchor , new anchor, new",company,other,the company is looking for a new anchor .,other
2,active,2,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," shipmate is the ship .
Use these words in a long sentence (with the first word of each sentence repeated):",shipmate,other,the shipmate is the ship .,other
2,passive,0,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," company is judged by the soldier .
Use these words in one sentence: employer, anchor, broken/broken",company,other,the company is judged by the soldier .,other
2,passive,1,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," employer is responsible for the broken anchor's death , the anchor was broken.
Use these words in two sentences: if",employer,active,"the employer is responsible for the broken anchor's death , the anchor was broken.",active
2,passive,2,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the"," employer, anchor, was the anchor
Sentence: the anchor, was the employer, anchor, was broke/broken",employer,active,"the employer, anchor, was the anchor Sentence: the anchor, was the employer, anchor, was broke/broken",other
3,active,0,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," scientist collects the chicken .
Use these words in two sentences: scientist, chicken, collected
Sentence: the scientist",scientist,active,the scientist collects the chicken .,other
3,active,1,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," writer is a cat lover
Sentence: the writer is a cat lover
Sentence: the writer is a cat",writer,other,the writer is a cat lover Sentence: the writer is a cat lover Sentence: the writer is a cat,other
3,active,2,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," scientist threw the chicken away.
Use these words in a sentence: chicken, collected, scientist, collected
Sentence",scientist,active,the scientist threw the chicken away.,other
3,passive,0,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," tea is destroyed by the reader .
You should change this sentence to: the tea is destroyed by the reader.
",tea,other,the tea is destroyed by the reader .,other
3,passive,1,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," tea is destroyed by the reader .
Use these words in two sentences: the tea is destroyed by the reader .
",tea,other,the tea is destroyed by the reader .,other
3,passive,2,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Use these words in one sentence: scientist, chicken, collected
Sentence: the"," chicken is destroyed by the reader .
Use these words in two sentences: scientists, chicken, collected
Sentence:",chicken,passive,the chicken is destroyed by the reader .,other
4,active,0,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Use these words in one sentence: army, candy, kept
Sentence: the"," whole house was on fire
How to Write It:
If your sentence is written like this:
The whole house",whole,other,the whole house was on fire How to Write It: If your sentence is written like this: The whole house,other
4,active,1,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Use these words in one sentence: army, candy, kept
Sentence: the", company used a bottle of milk .,company,other,the company used a bottle of milk .,other
4,active,2,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Use these words in one sentence: army, candy, kept
Sentence: the"," army has a candies factory
Use these words in one sentence: an army unit
Sentence: they used candy",army,active,the army has a candies factory Use these words in one sentence: an army unit Sentence: they used candy,other
4,passive,0,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Use these words in one sentence: army, candy, kept
Sentence: the"," company kept that bottle
Sentence: the company kept the candy
Sentence: the company kept the keeps bottle
",company,other,the company kept that bottle Sentence: the company kept the candy Sentence: the company kept the keeps bottle,other
4,passive,1,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Use these words in one sentence: army, candy, kept
Sentence: the"," army kept them from getting into the candy .
Use these words in one sentence: keep, candy , army
Sent",army,active,the army kept them from getting into the candy .,active
4,passive,2,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Use these words in one sentence: army, candy, kept
Sentence: the"," army used to be a company .
Use these words in one sentence: company , kept , army
Sentence:",army,active,the army used to be a company .,other
5,active,0,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," band's bean
Use these words in two sentences: band, coffee, wants/wanted
Sentence: the",band's,other,"the band's bean Use these words in two sentences: band, coffee, wants/wanted Sentence: the",other
5,active,1,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," woman's husband's parents
It has to be: she's the woman's husband's parents
The best way to",woman's,other,the woman's husband's parents It has to be: she's the woman's husband's parents The best way to,other
5,active,2,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," band wanted a coffee  .
Use these words in two sentences: band, coffee, has/had.",band,active,the band wanted a coffee .,active
5,passive,0,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the", hat got stolen by a girl .,hat,other,the hat got stolen by a girl .,other
5,passive,1,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," two kids tried to kill us last night, the hat was removed .",two,other,"the two kids tried to kill us last night, the hat was removed .",other
5,passive,2,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the"," hat was removed by a guy
Use these words in multiple sentences: band, coffee, wants/wanted
Sent",hat,other,"the hat was removed by a guy Use these words in multiple sentences: band, coffee, wants/wanted Sent",other
6,active,0,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher carries the salad
Use these words in a series of sentences: brothers, beer, smell, the teacher's son",teacher,other,"the teacher carries the salad Use these words in a series of sentences: brothers, beer, smell, the teacher's son",other
6,active,1,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," father is a bad father .
Use these words in one sentence: the father is a good father .
The first",father,other,the father is a bad father .,other
6,active,2,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher carries the salad.
Use this word in two sentences: brother, beer, smelled
Sentence: the teacher",teacher,other,the teacher carries the salad.,other
6,passive,0,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," burger is served to the family .
Use these words in two sentences: the son, mother, brother, wife,",burger,other,the burger is served to the family .,other
6,passive,1,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," salad is carried by the teacher .
Use these words in two sentences: brother, beer, smelled",salad,other,the salad is carried by the teacher .,other
6,passive,2,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the"," teacher carries the salad .
Use these words in three sentences: (brother), beer, smelled
Sentence: the",teacher,other,the teacher carries the salad .,other
7,active,0,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," writer struck the boy
Sentence: the professor struck the boy
Sentence: the strikes/strucks were all",writer,active,the writer struck the boy Sentence: the professor struck the boy Sentence: the strikes/strucks were all,active
7,active,1,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," adult understands that the child will be fine
Use these words in one sentence: the adult understands that the child
Use",adult,other,the adult understands that the child will be fine Use these words in one sentence: the adult understands that the child Use,other
7,active,2,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," adult understood that .
The adult understood that the boy wanted to be a writer.
The adult understood that the boy",adult,other,the adult understood that .,other
7,passive,0,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," boy was struck.
Use these words in two or more sentences: writer, professor, strikes/strucks.
",boy,other,the boy was struck.,other
7,passive,1,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," boy was an English major/professor
Use these words in two sentences: a writer is a writer, a teacher",boy,other,"the boy was an English major/professor Use these words in two sentences: a writer is a writer, a teacher",other
7,passive,2,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the"," boy was understood by the adult .
Use these words in two sentences: writer, professor, strikes/strucks
",boy,other,the boy was understood by the adult .,other
8,active,0,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," judge denied bail.
Sentence: the judge said he would not grant bail .
Use these words in one sentence",judge,other,the judge denied bail.,other
8,active,1,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," coach was drunk.
Use these words in one sentence: the coach was drunk.
Sentence: the coach was",coach,other,the coach was drunk.,other
8,active,2,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," office of the attorney general called in a suspect for questioning, and he was arrested .
Use these words in two sentences",office,other,"the office of the attorney general called in a suspect for questioning, and he was arrested .",other
8,passive,0,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," sheriff arrested a man for stealing a hat .
Use these words in one sentence: the sheriff arrested the man for stealing",sheriff,active,the sheriff arrested a man for stealing a hat .,other
8,passive,1,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," boss' mother is in the hospital
Use these words in a different sentence: A nurse said, ""There you are",boss,other,"the boss' mother is in the hospital Use these words in a different sentence: A nurse said, ""There you are",other
8,passive,2,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the"," lawyer washes his hair.
Use these words in two sentences: The lawyer washed his hair.
Sentence:",lawyer,passive,the lawyer washes his hair.,other
9,active,0,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," first is the first man he kissed .
Use these words in two sentences: boy, boy .
Sentence:",first,other,the first is the first man he kissed .,other
9,active,1,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," king is sitting with his lords.
Sentence: there's a young man who's a drunkard.
Sent",king,other,the king is sitting with his lords.,other
9,active,2,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," king of the north, the king of the north, the king of the north .
Use these words in one sentence",king,other,"the king of the north, the king of the north, the king of the north .",other
9,passive,0,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," man who bought the beer/drink was described by the prince as a 'king'.
Use these words in one",man,other,the man who bought the beer/drink was described by the prince as a 'king'.,other
9,passive,1,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," prince is in trouble, the girl is in trouble
Use these words in two sentences: prince, girl
Sentence",prince,other,"the prince is in trouble, the girl is in trouble Use these words in two sentences: prince, girl Sentence",other
9,passive,2,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the"," two of us were so afraid of the fire that we got up to go to the bathroom.
Use these words in",two,other,the two of us were so afraid of the fire that we got up to go to the bathroom.,other
10,active,0,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," doctor said that the man had to do a lot of work .
Use these words in one sentence: I think the",doctor,other,the doctor said that the man had to do a lot of work .,other
10,active,1,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," doctor rushed the manager
Use these words in one sentence: doctor, manager
Sentence: the doctor was hurried by",doctor,other,"the doctor rushed the manager Use these words in one sentence: doctor, manager Sentence: the doctor was hurried by",other
10,active,2,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," doctor rushed the manager .
Use these words in one phrase: I am a priest .
Sentence: I am",doctor,other,the doctor rushed the manager .,other
10,passive,0,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," doctor's heart was broken by the news .
Sentence: the doctor is being treated by the minister.
Use",doctor's,other,the doctor's heart was broken by the news .,other
10,passive,1,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," manager is hurried by the doctor .
Use these words in two sentences: reader, minister, protects/protected
Sent",manager,other,the manager is hurried by the doctor .,other
10,passive,2,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the"," manager had a heart attack
Use these words in two sentences: reader, minister, protected
Sentence: the manager",manager,other,"the manager had a heart attack Use these words in two sentences: reader, minister, protected Sentence: the manager",other
11,active,0,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," child beat an uncle .
Use these words in one sentence: uncle, child, father, uncle's son,
",child,other,the child beat an uncle .,other
11,active,1,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," soldier destroyed the pot
Used in two or more sentences: the pot destroys the soldier, the pot destroys the house.",soldier,active,"the soldier destroyed the pot Used in two or more sentences: the pot destroys the soldier, the pot destroys the house.",active
11,active,2,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," wife beat her husband with a pot.
Sentence: her husband destroyed the pots.
Sentence: they were",wife,other,the wife beat her husband with a pot.,other
11,passive,0,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," first sentence in the sentence.
How many words are you allowed to use in your sentence?
Use these words in",first,other,the first sentence in the sentence.,other
11,passive,1,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," sentence is a good sentence
Use these words in more than one sentence: all the words in a sentence are good
",sentence,other,the sentence is a good sentence Use these words in more than one sentence: all the words in a sentence are good,other
11,passive,2,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the"," teacher was killed by a lover.
Use these words in two sentences: a man has been arrested.
Sentence",teacher,other,the teacher was killed by a lover.,other
12,active,0,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," boy was the winner of the game.
Use these words in one sentence: winner, princess, asks/asked",boy,other,the boy was the winner of the game.,other
12,active,1,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," police officer who is responsible for the death of a young man, was found guilty of murder.
Use these words in",police,other,"the police officer who is responsible for the death of a young man, was found guilty of murder.",other
12,active,2,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," man killed the boy .
Use these words in one sentence: he, he, she, her, hers
Sent",man,other,the man killed the boy .,other
12,passive,0,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," girl came home late on a Tuesday.
Use these words in one sentence: it was a long weekend.
Sent",girl,other,the girl came home late on a Tuesday.,other
12,passive,1,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," winner of the World Cup has asked his friends for a drink.
Sentence: in the afternoon.
Sentence",winner,active,the winner of the World Cup has asked his friends for a drink.,other
12,passive,2,a boy was killed by a husband .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a boy was killed by a husband .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the"," wife killed the boy and the boy's family and friends were horrified
If you use the words winner, princess, asks",wife,other,"the wife killed the boy and the boy's family and friends were horrified If you use the words winner, princess, asks",other
13,active,0,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," president grabbed the singer
When: I did the show on June 16, 2015.
Use these words in one sentence",president,active,"the president grabbed the singer When: I did the show on June 16, 2015.",active
13,active,1,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," princess leaves the key .
Use these words in one sentence: president, singer, grabbed .
Sentence: the",princess,other,the princess leaves the key .,other
13,active,2,the princess leaves the key .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the princess leaves the key .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," mayor tells the president not to make a joke about the election.
Use these words in one sentence: mayor, queen",mayor,other,the mayor tells the president not to make a joke about the election.,other
13,passive,0,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the"," key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence:",key,other,the key is left by the princess .,other
13,passive,1,the key is left by the princess .,a president grabbed a singer .,a singer was grabbed by a president .,president,singer,grabbed,grabbed,"Prime sentence: the key is left by the princess .
Use these words in one sentence: president, singer, grabbed
Sentence: the", key is left by the princess .,key,other,the key is left by the princess .,other
