item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
13,prompt_filler,filler,a writer bothers an actor .,an actor is bothered by a writer .,The writer was involved in a fight with the actor .,the writer was involved in a fight with the actor .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The drabble quisted in varlen.""

There was a bothering event involving a writer and an actor.
The one who did it was a writer.
The one it happened to was an actor.

Bridget asked, ""What happened?""
Mary answered, ""The"," writer was involved in a fight with the actor.""

The writer was a man.
The actor was a woman.
The writer"
15,prompt_no_prime,no_prime,a friend raises a girl .,a girl is raised by a friend .,The one who did it was a friend .,the one who did it was a friend .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a raising event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a friend.""
Bridget asked, ""What happened to the girl?""
Mary answered, """
15,prompt_filler,filler,a friend raises a girl .,a girl is raised by a friend .,The prantel staved behind nulven .,the prantel staved behind nulven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prantel staved behind nulven.""

There was a raising event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The"," prantel staved behind nulven.""

The prantel staved behind nulven is a sentence that"
16,prompt_active,active,an actress forgives an adult .,an adult is forgiven by an actress .,The actress forgave the adult .,the actress forgave the adult .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a skopemkuleding event involving the mnikudpav and the vratorrud.
The one who did it was the mnikudpav.
The one it happened to was the vratorrud.

Bridget asked, ""What happened?""
Mary answered, ""The mnikudpav skopemkuled the vratorrud.""

There was a forgiving event involving an actress and an adult.
The one who did it was an actress.
The one it happened to was an adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," actress forgave the adult.""

There was a skopemkuleding event involving a mnikudpav and a"
16,prompt_passive,passive,an actress forgives an adult .,an adult is forgiven by an actress .,The adult was forgivably acted by the actress .,the adult was forgivably acted by the actress .,copular_adjectival,be_adjectival_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a skopemkuleding event involving the mnikudpav and the vratorrud.
The one who did it was the mnikudpav.
The one it happened to was the vratorrud.

Bridget asked, ""What happened?""
Mary answered, ""The vratorrud was skopemkuled by the mnikudpav.""

There was a forgiving event involving an actress and an adult.
The one who did it was an actress.
The one it happened to was an adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult was forgivably acted by the actress.""

There was a skopemkuleding event involving the mnik"
16,prompt_no_prime,no_prime,an actress forgives an adult .,an adult is forgiven by an actress .,The actress was in a movie and she was in a car accident .,the actress was in a movie and she was in a car accident .,copular_prepositional,be_prepositional_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a forgiving event involving an actress and an adult.
The one who did it was an actress.
The one it happened to was an adult.

Bridget asked, ""What happened?""
Mary answered, ""The", actress was in a movie and she was in a car accident. She was in a car with an adult. The adult
16,prompt_filler,filler,an actress forgives an adult .,an adult is forgiven by an actress .,The glimmer farned in jasken .,the glimmer farned in jasken .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The glimmer farned in jasken.""

There was a forgiving event involving an actress and an adult.
The one who did it was an actress.
The one it happened to was an adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," glimmer farned in jasken.""

The glimmer farned in jasken is a phrase that"
17,prompt_filler,filler,a secretary catches a sheriff .,a sheriff is caught by a secretary .,The sheriff was caught .,the sheriff was caught .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The nasker plodded near hulven.""

There was a catching event involving a secretary and a sheriff.
The one who did it was a secretary.
The one it happened to was a sheriff.

Bridget asked, ""What happened?""
Mary answered, ""The"," sheriff was caught.""

The sheriff was caught by the secretary.
The sheriff was caught by the secretary.
The sheriff was caught"
19,prompt_active,active,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady forgot the lawyer .,the lady forgot the lawyer .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a zlodulfineding event involving the kverukvol and the kveruknef.
The one who did it was the kverukvol.
The one it happened to was the kveruknef.

Bridget asked, ""What happened?""
Mary answered, ""The kverukvol zlodulfined the kveruknef.""

There was a forgetting event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The"," lady forgot the lawyer.""

There was a zlodulfineding event involving the lady and the lawyer.
The one who"
19,prompt_no_prime,no_prime,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady forgot to give the lawyer the papers .,the lady forgot to give the lawyer the papers .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a forgetting event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The"," lady forgot to give the lawyer the papers.""

Bridget asked, ""Why did the lady forget?""
Mary answered,"
19,prompt_filler,filler,a lady forgets a lawyer .,a lawyer is forgotten by a lady .,The lady did it to the lawyer .,the lady did it to the lawyer .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The plinter drossed in marven.""

There was a forgetting event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The"," lady did it to the lawyer.""

The lady was a lawyer.
The lawyer was a lady.

Bridget asked,"
21,prompt_no_prime,no_prime,the girl comforted the guest .,the guest was comforted by the girl .,The girl did it .,the girl did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a comforteding event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The"," girl did it. The girl was the one who did it.""

Bridget asked, ""Who was the girl?""
"
22,prompt_passive,passive,the soldier destroyed the son .,the son was destroyed by the soldier .,The son is destroyeding by the soldier .,the son is destroyeding by the soldier .,active_progressive_intransitive_pp,be_ing_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"There was a vragafmuring event involving a britorkul and a smekudlom.
The one who did it was a britorkul.
The one it happened to was a smekudlom.

Bridget asked, ""What happened?""
Mary answered, ""A smekudlom is vragafmured by a britorkul.""

There was a destroyeding event involving the soldier and the son.
The one who did it was the soldier.
The one it happened to was the son.

Bridget asked, ""What happened?""
Mary answered, ""The"," son is destroyeding by the soldier.""

There was a vragafmuring event involving the soldier and the son.
"
23,prompt_no_prime,no_prime,the actor carried the actress .,the actress was carried by the actor .,The actor was involved in a carrieding event with the actress .,the actor was involved in a carrieding event with the actress .,copular_participial,be_participial_no_by,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a carrieding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor was involved in a carrieding event with the actress.""

Bridget asked, ""What was the carrieding event"
23,prompt_filler,filler,the actor carried the actress .,the actress was carried by the actor .,The actor did it to the actress .,the actor did it to the actress .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The trasket draved on molven.""

There was a carrieding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor did it to the actress.""

The actor was not the one who did it.
The actress was not the one who"
24,prompt_filler,filler,the winner kissed the woman .,the woman was kissed by the winner .,The noster glimmed near varset .,the noster glimmed near varset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The noster glimmed near varset.""

There was a kisseding event involving the winner and the woman.
The one who did it was the winner.
The one it happened to was the woman.

Bridget asked, ""What happened?""
Mary answered, ""The"," noster glimmed near varset.""

The winner was the man.
The woman was the one who kissed him.

"
25,prompt_no_prime,no_prime,a cousin helps a daughter .,a daughter is helped by a cousin .,The one who did it was a cousin .,the one who did it was a cousin .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a helping event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a cousin.""
Bridget asked, ""What happened to the one who did it?""
Mary"
27,prompt_no_prime,no_prime,the soldier described the son .,the son was described by the soldier .,The soldier was the one who did it .,the soldier was the one who did it .,copular_nominal,be_det_nominal_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a describeding event involving the soldier and the son.
The one who did it was the soldier.
The one it happened to was the son.

Bridget asked, ""What happened?""
Mary answered, ""The"," soldier was the one who did it. The son was the one who was hurt.""

Bridget asked, ""What"
27,prompt_filler,filler,the soldier described the son .,the son was described by the soldier .,The prindle rasped during forven .,the prindle rasped during forven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prindle rasped during forven.""

There was a describeding event involving the soldier and the son.
The one who did it was the soldier.
The one it happened to was the son.

Bridget asked, ""What happened?""
Mary answered, ""The"," prindle rasped during forven.""

The prindle rasped during forven.
The prindle rasped during for"
29,prompt_no_prime,no_prime,a woman surprises a worker .,a worker is surprised by a woman .,The woman who was working at the time was the one who did it .,the woman who was working at the time was the one who did it .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a surprising event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," woman who was working at the time was the one who did it.""
Bridget asked, ""Who was the woman"
29,prompt_filler,filler,a woman surprises a worker .,a worker is surprised by a woman .,The woman did it to the worker .,the woman did it to the worker .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The vornet drissed near malden.""

There was a surprising event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"," woman did it to the worker.""

The woman was a worker.
The worker was a woman.
The worker did it.
"
31,prompt_filler,filler,the father carried the friend .,the friend was carried by the father .,The tharner plested after zolven .,the tharner plested after zolven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tharner plested after zolven.""

There was a carrieding event involving the father and the friend.
The one who did it was the father.
The one it happened to was the friend.

Bridget asked, ""What happened?""
Mary answered, ""The"," tharner plested after zolven.""

The tharner plested after zolven is a sentence that"
33,prompt_no_prime,no_prime,the adult taught the attorney .,the attorney was taught by the adult .,"The adult was the one who did it, and the attorney was the one who was taught .","the adult was the one who did it, and the attorney was the one who was taught .",other_coordinate_multiclause,coordination_with_punctuation,passive_like,patient>(agent),passive_pattern_detected,other,other,True,True,"There was a taughting event involving the adult and the attorney.
The one who did it was the adult.
The one it happened to was the attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," adult was the one who did it, and the attorney was the one who was taught.""

Bridget asked, """
33,prompt_filler,filler,the adult taught the attorney .,the attorney was taught by the adult .,The glarnet shummed above torven .,the glarnet shummed above torven .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The glarnet shummed above torven.""

There was a taughting event involving the adult and the attorney.
The one who did it was the adult.
The one it happened to was the attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," glarnet shummed above torven.""

The adult was the one who did it.
The attorney was the one"
36,prompt_no_prime,no_prime,an actress strikes an adult .,an adult is struck by an actress .,The actress was in a movie and she was in a car accident .,the actress was in a movie and she was in a car accident .,copular_prepositional,be_prepositional_predicate,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a striking event involving an actress and an adult.
The one who did it was an actress.
The one it happened to was an adult.

Bridget asked, ""What happened?""
Mary answered, ""The", actress was in a movie and she was in a car accident. The actress was in a movie and she was in a
38,prompt_passive,passive,the guy forgave the hero .,the hero was forgiven by the guy .,The hero forgave the guy .,the hero forgave the guy .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a mninorkuling event involving a kvenorkul and a frazemzom.
The one who did it was a kvenorkul.
The one it happened to was a frazemzom.

Bridget asked, ""What happened?""
Mary answered, ""A frazemzom is mninorkuled by a kvenorkul.""

There was a forgaving event involving the guy and the hero.
The one who did it was the guy.
The one it happened to was the hero.

Bridget asked, ""What happened?""
Mary answered, ""The"," hero forgave the guy.""

There was a forgiving event involving the guy and the hero.
The one who did it"
39,prompt_no_prime,no_prime,the king judged the lady .,the lady was judged by the king .,The king did it to the lady .,the king did it to the lady .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a judgeding event involving the king and the lady.
The one who did it was the king.
The one it happened to was the lady.

Bridget asked, ""What happened?""
Mary answered, ""The"," king did it to the lady.""

Bridget asked, ""Who did it?""
Mary answered, ""The king.""

"
40,prompt_filler,filler,a son drags a student .,a student is dragged by a son .,The glimmer farned in jasken .,the glimmer farned in jasken .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The glimmer farned in jasken.""

There was a dragging event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The"," glimmer farned in jasken.""

The glimmer farned in jasken is a metaphor for"
42,prompt_filler,filler,the bishop helped the boy .,the boy was helped by the bishop .,The bishop did it to the boy .,the bishop did it to the boy .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The drimlet vorked before talven.""

There was a helpeding event involving the bishop and the boy.
The one who did it was the bishop.
The one it happened to was the boy.

Bridget asked, ""What happened?""
Mary answered, ""The"," bishop did it to the boy.""

The bishop was the one who did it.
The boy was the one who was done"
45,prompt_filler,filler,the soldier protected the son .,the son was protected by the soldier .,The vornel stonned during nalven .,the vornel stonned during nalven .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The vornel stonned during nalven.""

There was a protecteding event involving the soldier and the son.
The one who did it was the soldier.
The one it happened to was the son.

Bridget asked, ""What happened?""
Mary answered, ""The"," vornel stonned during nalven.""

The vornel stonned during nalven.
The vorn"
46,prompt_no_prime,no_prime,the actor washed the actress .,the actress was washed by the actor .,The actor did it to me .,the actor did it to me .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a washeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor did it to me.""
Bridget asked, ""What did he do?""
Mary replied, ""He washed me"
46,prompt_filler,filler,the actor washed the actress .,the actress was washed by the actor .,The actor was washed .,the actor was washed .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The frindle glemmed in yorsen.""

There was a washeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor was washed.""

The actor was the one who did the washing.
The actress was the one who was washed.

B"
47,prompt_no_prime,no_prime,the man asked the manager .,the manager was asked by the man .,The man did it .,the man did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a askeding event involving the man and the manager.
The one who did it was the man.
The one it happened to was the manager.

Bridget asked, ""What happened?""
Mary answered, ""The"," man did it. The manager was the one it happened to.""

Bridget asked, ""What did the man do"
47,prompt_filler,filler,the man asked the manager .,the manager was asked by the man .,The manager was fired .,the manager was fired .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The trasket draved on molven.""

There was a askeding event involving the man and the manager.
The one who did it was the man.
The one it happened to was the manager.

Bridget asked, ""What happened?""
Mary answered, ""The"," manager was fired.""

The man was angry.
The man was upset.
The man was furious.

Bridget asked,"
48,prompt_no_prime,no_prime,a friend hurts a girl .,a girl is hurt by a friend .,The one who did it was a friend .,the one who did it was a friend .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was a hurting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was a friend.""
Bridget asked, ""What happened to the girl?""
Mary answered, """
48,prompt_filler,filler,a friend hurts a girl .,a girl is hurt by a friend .,The noster glimmed near varset .,the noster glimmed near varset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The noster glimmed near varset.""

There was a hurting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The"," noster glimmed near varset.""

The word ""noster"" means ""our"" in Latin.
The word"
49,prompt_no_prime,no_prime,the champion helped the chief .,the chief was helped by the champion .,The champion did it to the chief .,the champion did it to the chief .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"There was a helpeding event involving the champion and the chief.
The one who did it was the champion.
The one it happened to was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The"," champion did it to the chief.""

Bridget asked, ""Who did it?""
Mary answered, ""The champion.""

"
49,prompt_filler,filler,the champion helped the chief .,the chief was helped by the champion .,The champion did it to the chief .,the champion did it to the chief .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The trassel fented beside murven.""

There was a helpeding event involving the champion and the chief.
The one who did it was the champion.
The one it happened to was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The"," champion did it to the chief.""

The champion was the one who did it.
The chief was the one it happened to"
50,prompt_active,active,an author follows a bishop .,a bishop is followed by an author .,The author wrote a book about the bishop .,the author wrote a book about the bishop .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a skotafrudeding event involving the kvenorvek and the kverukvol.
The one who did it was the kvenorvek.
The one it happened to was the kverukvol.

Bridget asked, ""What happened?""
Mary answered, ""The kvenorvek skotafruded the kverukvol.""

There was a following event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," author wrote a book about the bishop.""

There was a following event involving a kverukvol and a kvenor"
50,prompt_no_prime,no_prime,an author follows a bishop .,a bishop is followed by an author .,The author wrote a book about the bishop .,the author wrote a book about the bishop .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a following event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," author wrote a book about the bishop.""
Bridget asked, ""What did the author write about?""
Mary replied,"
50,prompt_filler,filler,an author follows a bishop .,a bishop is followed by an author .,The bishop was staved .,the bishop was staved .,passive_short,be_participle_no_by,passive_like,patient>(agent),passive_pattern_detected,other,passive,True,False,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The krelbin staved on dralfin.""

There was a following event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"," bishop was staved.""

Bridget asked, ""What happened?""
Mary answered, ""The author was staved.""

"
51,prompt_no_prime,no_prime,the uncle dragged the wife .,the wife was dragged by the uncle .,The uncle did it .,the uncle did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a draggeding event involving the uncle and the wife.
The one who did it was the uncle.
The one it happened to was the wife.

Bridget asked, ""What happened?""
Mary answered, ""The"," uncle did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The uncle did it.""
B"
51,prompt_filler,filler,the uncle dragged the wife .,the wife was dragged by the uncle .,The uncle did it to the wife .,the uncle did it to the wife .,other_prepositional_misc,prepositional_without_confident_parse,unknown,unknown,verb_not_confident,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The prindle rasped during forven.""

There was a draggeding event involving the uncle and the wife.
The one who did it was the uncle.
The one it happened to was the wife.

Bridget asked, ""What happened?""
Mary answered, ""The"," uncle did it to the wife.""

Bridget asked, ""What happened?""
Mary answered, ""The uncle did it"
53,prompt_no_prime,no_prime,the man surprised the manager .,the manager was surprised by the man .,The man did it .,the man did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was a surpriseding event involving the man and the manager.
The one who did it was the man.
The one it happened to was the manager.

Bridget asked, ""What happened?""
Mary answered, ""The"," man did it. The manager was the one it happened to.""

Bridget asked, ""What did the man do"
