s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-78.1875,-81.1875,-4.23046875,-5.38671875,-82.4375,-80.75,-4.83203125,-5.05078125,3.0,-1.6875
-77.4375,-78.9375,-3.001953125,-4.109375,-81.0625,-82.1875,-3.83984375,-4.390625,1.5,1.125
-90.4375,-90.75,-3.283203125,-4.15625,-90.3125,-91.4375,-5.59765625,-5.85546875,0.3125,1.125
-77.375,-77.4375,-6.94921875,-6.84765625,-77.4375,-79.5,-3.806640625,-4.1875,0.0625,2.0625
-75.0625,-79.875,-2.88671875,-4.4765625,-80.875,-78.625,-4.6640625,-5.4296875,4.8125,-2.25
-78.1875,-79.625,-3.08203125,-3.16015625,-83.0625,-81.6875,-3.677734375,-4.08984375,1.4375,-1.375
-80.875,-81.5625,-3.388671875,-3.572265625,-84.625,-85.0625,-5.64453125,-6.26171875,0.6875,0.4375
-82.0,-85.75,-2.962890625,-4.39453125,-86.6875,-85.6875,-4.125,-4.6875,3.75,-1.0
-91.8125,-92.375,-3.39453125,-3.908203125,-95.625,-95.8125,-5.08984375,-5.421875,0.5625,0.1875
-79.0625,-79.5625,-4.53125,-4.93359375,-83.4375,-83.6875,-5.9140625,-6.2734375,0.5,0.25
-71.9375,-73.9375,-2.6484375,-3.91796875,-75.5625,-75.8125,-5.12890625,-5.99609375,2.0,0.25
-80.8125,-82.0,-4.31640625,-4.703125,-84.0625,-82.8125,-5.33984375,-5.42578125,1.1875,-1.25
-73.75,-78.9375,-2.275390625,-3.736328125,-81.125,-79.4375,-4.4765625,-5.80078125,5.1875,-1.6875
-63.34375,-67.625,-3.923828125,-4.98828125,-72.8125,-70.0625,-4.59765625,-4.99609375,4.28125,-2.75
-72.625,-72.5,-4.609375,-4.9296875,-74.5,-75.5,-5.0234375,-5.47265625,-0.125,1.0
-81.5625,-83.3125,-7.0546875,-7.16015625,-86.6875,-84.25,-4.0390625,-4.55859375,1.75,-2.4375
-73.4375,-74.625,-7.25390625,-7.3828125,-77.8125,-74.625,-6.22265625,-6.72265625,1.1875,-3.1875
-81.75,-79.75,-3.70703125,-3.86328125,-81.25,-83.1875,-5.99609375,-6.328125,-2.0,1.9375
-72.5,-72.75,-2.134765625,-3.3671875,-80.0,-79.5,-6.26953125,-6.50390625,0.25,-0.5
-85.5,-87.875,-4.3046875,-5.19140625,-86.375,-85.25,-4.3984375,-4.78125,2.375,-1.125
-71.125,-73.6875,-2.580078125,-3.130859375,-77.375,-76.5,-4.80078125,-5.94921875,2.5625,-0.875
-75.25,-77.75,-3.58984375,-5.08984375,-79.125,-79.75,-3.451171875,-4.44921875,2.5,0.625
-69.625,-70.625,-5.43359375,-5.7109375,-72.4375,-75.1875,-6.59375,-6.953125,1.0,2.75
-78.0625,-79.4375,-4.48828125,-4.98828125,-78.75,-80.5625,-3.474609375,-3.70703125,1.375,1.8125
-70.3125,-74.875,-3.09765625,-4.328125,-76.3125,-74.5,-3.912109375,-4.29296875,4.5625,-1.8125
-84.6875,-84.625,-5.07421875,-5.74609375,-86.3125,-87.5,-5.30078125,-5.92578125,-0.0625,1.1875
-68.375,-71.8125,-6.5390625,-6.859375,-75.3125,-71.625,-7.52734375,-7.2421875,3.4375,-3.6875
-72.5,-74.0,-3.76953125,-4.00390625,-76.875,-76.875,-5.07421875,-5.5546875,1.5,0.0
-71.8125,-73.3125,-2.9296875,-3.91015625,-75.9375,-76.6875,-5.62890625,-6.203125,1.5,0.75
-76.0625,-78.9375,-2.890625,-3.833984375,-80.875,-80.875,-2.875,-3.5625,2.875,0.0
-73.4375,-74.8125,-3.259765625,-4.26171875,-74.625,-75.0625,-6.1953125,-6.3359375,1.375,0.4375
-90.625,-90.8125,-2.884765625,-4.1875,-92.1875,-93.4375,-5.0234375,-5.27734375,0.1875,1.25
-72.5,-71.8125,-3.76953125,-4.3046875,-77.125,-79.75,-5.8828125,-6.10546875,-0.6875,2.625
-75.0625,-77.3125,-3.6796875,-4.09375,-80.8125,-79.375,-6.140625,-6.55859375,2.25,-1.4375
-74.3125,-74.875,-4.08984375,-4.4765625,-75.8125,-76.25,-4.46875,-5.3984375,0.5625,0.4375
-86.4375,-88.6875,-5.46484375,-5.8203125,-86.625,-85.8125,-5.23828125,-5.69921875,2.25,-0.8125
-79.8125,-84.125,-4.48828125,-4.93359375,-85.4375,-81.5,-5.94140625,-6.15625,4.3125,-3.9375
-79.125,-77.875,-4.08203125,-4.4921875,-81.75,-84.125,-6.078125,-6.2578125,-1.25,2.375
-77.0,-79.625,-3.306640625,-3.640625,-81.125,-80.1875,-5.359375,-6.11328125,2.625,-0.9375
-79.8125,-80.0,-2.64453125,-3.865234375,-81.5,-83.75,-4.00390625,-5.109375,0.1875,2.25
-86.1875,-90.5,-3.31640625,-4.44921875,-95.1875,-91.375,-3.087890625,-3.4609375,4.3125,-3.8125
-83.3125,-85.9375,-4.76953125,-4.953125,-84.6875,-83.125,-4.22265625,-4.66015625,2.625,-1.5625
-75.6875,-76.4375,-4.01953125,-4.50390625,-78.125,-78.875,-6.19921875,-7.12109375,0.75,0.75
-79.5,-80.625,-3.6796875,-4.359375,-81.75,-82.875,-6.58203125,-7.17578125,1.125,1.125
-75.625,-80.75,-3.58984375,-4.6171875,-81.375,-79.5625,-4.33203125,-4.59375,5.125,-1.8125
-86.4375,-87.625,-3.9296875,-4.203125,-90.125,-90.5625,-5.16015625,-5.55078125,1.1875,0.4375
-80.0,-83.4375,-5.578125,-6.09765625,-87.125,-83.8125,-5.34375,-5.5625,3.4375,-3.3125
-75.5,-76.375,-2.275390625,-2.560546875,-79.75,-81.375,-5.64453125,-6.08203125,0.875,1.625
-72.375,-73.6875,-2.81640625,-3.53125,-75.625,-75.8125,-3.8515625,-4.33984375,1.3125,0.1875
-73.8125,-74.6875,-3.59375,-3.978515625,-74.5625,-75.6875,-2.431640625,-2.80078125,0.875,1.125
-67.5,-71.1875,-4.71875,-5.76171875,-70.625,-69.125,-4.48828125,-5.1015625,3.6875,-1.5
-82.125,-85.5,-2.42578125,-2.8515625,-89.75,-87.4375,-4.44140625,-4.6953125,3.375,-2.3125
-82.0,-83.25,-3.86328125,-4.2578125,-85.0625,-84.6875,-4.921875,-5.71484375,1.25,-0.375
-73.1875,-75.375,-3.21484375,-4.51171875,-77.625,-78.875,-4.5234375,-5.36328125,2.1875,1.25
-76.125,-76.9375,-6.51171875,-6.83984375,-76.125,-80.75,-5.28515625,-5.859375,0.8125,4.625
-79.5,-83.9375,-4.12890625,-4.71875,-84.9375,-82.0,-2.751953125,-3.369140625,4.4375,-2.9375
-76.875,-81.375,-3.970703125,-5.28515625,-79.125,-78.9375,-5.22265625,-5.34375,4.5,-0.1875
-72.3125,-71.5625,-4.08984375,-4.63671875,-75.25,-77.25,-5.51953125,-5.87890625,-0.75,2.0
-80.5,-82.4375,-3.876953125,-4.76171875,-84.8125,-84.625,-5.734375,-6.3359375,1.9375,-0.1875
-75.4375,-81.4375,-3.599609375,-4.71484375,-80.75,-76.5,-3.3515625,-3.69921875,6.0,-4.25
-77.0625,-79.5,-4.65625,-4.796875,-81.5,-79.0,-5.5078125,-5.828125,2.4375,-2.5
-73.5625,-73.3125,-4.16796875,-4.1171875,-76.25,-76.25,-4.4765625,-4.80859375,-0.25,0.0
-82.625,-84.25,-5.046875,-5.484375,-82.125,-81.5,-5.328125,-5.66796875,1.625,-0.625
-77.8125,-78.125,-2.857421875,-3.845703125,-80.9375,-83.0,-5.984375,-6.21484375,0.3125,2.0625
-71.3125,-70.875,-4.12890625,-4.38671875,-72.375,-73.25,-5.92578125,-6.10546875,-0.4375,0.875
-79.9375,-82.875,-2.880859375,-4.23828125,-85.125,-83.875,-7.75,-7.578125,2.9375,-1.25
-75.375,-74.9375,-3.228515625,-3.93359375,-77.0625,-79.5625,-4.2265625,-4.59765625,-0.4375,2.5
-78.1875,-78.6875,-3.912109375,-4.37109375,-80.1875,-80.125,-5.88671875,-6.60546875,0.5,-0.0625
-70.9375,-72.6875,-3.525390625,-4.265625,-75.375,-73.75,-5.40234375,-6.03125,1.75,-1.625
-76.375,-78.9375,-2.515625,-3.271484375,-80.1875,-80.25,-2.810546875,-3.900390625,2.5625,0.0625
-75.4375,-76.0625,-3.001953125,-3.93359375,-75.8125,-77.5,-3.171875,-3.705078125,0.625,1.6875
-74.4375,-74.125,-3.84765625,-4.80859375,-76.0,-76.6875,-3.935546875,-4.35546875,-0.3125,0.6875
-78.125,-79.75,-5.64453125,-6.15234375,-84.125,-82.625,-5.61328125,-5.90234375,1.625,-1.5
-82.1875,-82.5,-7.7734375,-7.76953125,-81.0,-81.6875,-5.9140625,-6.9921875,0.3125,0.6875
-68.75,-69.3125,-3.41796875,-3.83203125,-73.5625,-73.8125,-5.73046875,-5.97265625,0.5625,0.25
-84.8125,-87.875,-6.4609375,-7.3984375,-87.4375,-88.3125,-4.58984375,-5.0234375,3.0625,0.875
-76.3125,-80.375,-6.9609375,-8.03125,-81.25,-78.9375,-4.46875,-4.9140625,4.0625,-2.3125
-87.9375,-89.1875,-4.421875,-4.79296875,-90.6875,-90.75,-5.3515625,-6.09375,1.25,0.0625
-79.25,-82.375,-4.8046875,-5.58203125,-82.8125,-81.1875,-5.4453125,-6.0859375,3.125,-1.625
-67.1875,-68.125,-3.357421875,-3.818359375,-65.9375,-66.5625,-4.3828125,-4.67578125,0.9375,0.625
-80.1875,-80.9375,-2.640625,-3.615234375,-84.4375,-85.25,-5.46875,-6.32421875,0.75,0.8125
-71.375,-71.8125,-3.876953125,-4.3203125,-75.0,-75.25,-5.1640625,-5.08984375,0.4375,0.25
-85.0,-85.3125,-5.69921875,-6.09375,-83.3125,-84.5625,-3.1953125,-3.3203125,0.3125,1.25
-78.25,-78.5625,-3.919921875,-4.51953125,-79.5625,-80.9375,-4.41015625,-4.84765625,0.3125,1.375
-82.0,-82.0625,-4.12109375,-4.3828125,-83.375,-84.4375,-5.33984375,-5.97265625,0.0625,1.0625
-78.25,-80.9375,-3.240234375,-4.6328125,-83.75,-84.3125,-7.1484375,-7.1875,2.6875,0.5625
-74.375,-75.5625,-2.763671875,-3.73828125,-77.6875,-78.0,-4.54296875,-4.89453125,1.1875,0.3125
-76.875,-79.5625,-4.9296875,-5.19921875,-75.25,-73.625,-3.9453125,-4.55078125,2.6875,-1.625
-73.25,-73.6875,-3.318359375,-3.892578125,-73.875,-75.4375,-5.43359375,-6.03515625,0.4375,1.5625
-83.1875,-84.125,-3.4609375,-4.2734375,-86.1875,-85.5625,-4.0859375,-5.46484375,0.9375,-0.625
-62.09375,-65.625,-3.669921875,-5.12890625,-68.4375,-66.9375,-3.87890625,-3.9921875,3.53125,-1.5
-78.1875,-79.5,-6.9921875,-7.48828125,-82.125,-79.75,-3.9375,-4.42578125,1.3125,-2.375
-91.125,-91.5,-5.25390625,-5.328125,-92.9375,-93.4375,-4.9140625,-5.2109375,0.375,0.5
-76.75,-80.875,-2.4453125,-3.53515625,-84.5625,-81.6875,-5.17578125,-6.01953125,4.125,-2.875
-73.1875,-74.1875,-4.5703125,-5.0390625,-80.375,-79.9375,-6.34765625,-6.3046875,1.0,-0.4375
-74.1875,-74.25,-8.875,-8.3515625,-77.25,-77.8125,-5.55078125,-5.984375,0.0625,0.5625
-87.0625,-90.8125,-3.892578125,-4.4296875,-94.375,-91.625,-3.416015625,-3.9765625,3.75,-2.75
-70.3125,-72.125,-2.89453125,-4.1796875,-73.75,-73.25,-6.6328125,-7.0703125,1.8125,-0.5
-81.1875,-81.75,-5.4453125,-5.5703125,-83.125,-82.125,-5.1171875,-5.39453125,0.5625,-1.0
-73.0,-73.75,-2.8046875,-3.203125,-77.5,-77.375,-5.62109375,-6.171875,0.75,-0.125
-78.8125,-83.875,-4.16796875,-5.25,-82.9375,-80.0,-3.34765625,-3.888671875,5.0625,-2.9375
-84.75,-83.5,-4.546875,-4.84765625,-90.625,-91.8125,-5.4765625,-6.03125,-1.25,1.1875
-67.125,-66.75,-2.9609375,-3.7734375,-69.0625,-71.125,-5.16015625,-6.12109375,-0.375,2.0625
-79.125,-81.6875,-2.751953125,-3.73046875,-80.25,-80.8125,-5.1796875,-5.51953125,2.5625,0.5625
-79.8125,-80.3125,-3.947265625,-4.42578125,-81.5,-82.8125,-5.89453125,-6.140625,0.5,1.3125
-91.5,-92.0625,-4.25,-4.6875,-90.8125,-91.875,-3.970703125,-4.18359375,0.5625,1.0625
-72.0,-77.125,-2.8671875,-3.921875,-77.1875,-76.8125,-5.16015625,-5.93359375,5.125,-0.375
-76.0,-75.3125,-4.5,-5.24609375,-77.9375,-80.1875,-6.67578125,-7.96875,-0.6875,2.25
-73.125,-74.5,-7.26953125,-7.9609375,-76.9375,-76.125,-5.21875,-5.90234375,1.375,-0.8125
-78.1875,-79.25,-4.76171875,-5.1015625,-82.125,-82.1875,-6.0546875,-6.26171875,1.0625,0.0625
-77.25,-77.8125,-3.14453125,-3.90234375,-80.9375,-82.375,-5.06640625,-5.98046875,0.5625,1.4375
-79.75,-81.0625,-3.646484375,-4.40625,-82.0625,-81.875,-3.265625,-3.505859375,1.3125,-0.1875
-85.6875,-87.75,-4.8984375,-5.73828125,-92.6875,-91.25,-5.5546875,-5.1640625,2.0625,-1.4375
-89.75,-93.125,-4.0078125,-4.4296875,-97.0,-93.5,-3.63671875,-4.50390625,3.375,-3.5
-78.4375,-80.875,-3.869140625,-4.24609375,-83.375,-82.125,-5.64453125,-6.015625,2.4375,-1.25
-72.125,-73.125,-4.25390625,-4.7265625,-76.1875,-76.3125,-4.16796875,-4.51953125,1.0,0.125
-84.3125,-86.5,-5.640625,-7.0859375,-85.0625,-85.375,-4.984375,-5.53515625,2.1875,0.3125
-78.9375,-78.0,-4.12109375,-4.0,-78.9375,-80.75,-3.32421875,-3.728515625,-0.9375,1.8125
-74.625,-76.0625,-3.646484375,-4.40625,-74.4375,-75.1875,-3.8359375,-5.01171875,1.4375,0.75
-70.0625,-71.3125,-3.451171875,-4.61328125,-74.0625,-74.375,-3.453125,-4.234375,1.25,0.3125
-81.4375,-82.5,-3.638671875,-4.8046875,-83.625,-84.625,-6.01953125,-6.32421875,1.0625,1.0
-63.25,-71.5,-3.650390625,-5.265625,-68.0,-64.625,-6.875,-6.49609375,8.25,-3.375
-86.1875,-88.6875,-4.46484375,-4.8203125,-88.4375,-88.0625,-3.50390625,-4.10546875,2.5,-0.375
-65.5,-67.625,-3.939453125,-4.859375,-68.0625,-68.0625,-4.78515625,-5.66015625,2.125,0.0
-80.4375,-81.125,-4.2421875,-4.6015625,-79.3125,-79.875,-6.66796875,-7.1953125,0.6875,0.5625
-82.3125,-84.75,-4.1796875,-4.89453125,-85.125,-85.125,-3.130859375,-3.7578125,2.4375,0.0
-72.125,-73.375,-5.85546875,-6.1640625,-74.5625,-76.25,-4.7421875,-5.46875,1.25,1.6875
-73.625,-76.125,-5.671875,-6.15234375,-77.0625,-75.75,-5.08203125,-5.3203125,2.5,-1.3125
-73.125,-76.125,-4.34375,-4.80859375,-75.6875,-76.125,-6.26953125,-6.8984375,3.0,0.4375
-72.5625,-74.25,-2.880859375,-3.978515625,-75.1875,-76.4375,-5.26953125,-6.25,1.6875,1.25
-86.9375,-88.5625,-3.630859375,-5.16015625,-88.3125,-87.5,-6.48828125,-6.87109375,1.625,-0.8125
-83.375,-84.0,-3.048828125,-3.70703125,-83.0,-84.0625,-3.43359375,-4.0390625,0.625,1.0625
-78.4375,-79.4375,-2.830078125,-3.193359375,-83.625,-83.5625,-6.36328125,-6.5859375,1.0,-0.0625
-73.25,-77.0625,-4.46484375,-5.44921875,-78.5,-75.5625,-3.701171875,-4.22265625,3.8125,-2.9375
-73.6875,-76.625,-9.3203125,-9.28125,-79.0625,-74.875,-4.703125,-4.84765625,2.9375,-4.1875
-73.8125,-76.3125,-2.755859375,-3.375,-78.125,-76.9375,-3.18359375,-3.724609375,2.5,-1.1875
-79.1875,-82.5,-4.76171875,-5.28125,-83.25,-80.5,-5.45703125,-5.90625,3.3125,-2.75
-74.8125,-76.3125,-2.30078125,-3.48046875,-78.375,-79.375,-4.9609375,-6.01953125,1.5,1.0
-85.3125,-85.125,-4.4921875,-4.68359375,-87.5,-88.0625,-4.78515625,-5.1640625,-0.1875,0.5625
-85.3125,-85.9375,-4.57421875,-5.01171875,-86.625,-86.4375,-5.3515625,-5.4921875,0.625,-0.1875
-82.3125,-83.375,-3.306640625,-4.0703125,-86.75,-86.4375,-5.95703125,-6.27734375,1.0625,-0.3125
-84.0625,-87.375,-3.666015625,-4.7578125,-87.4375,-86.4375,-8.09375,-7.69140625,3.3125,-1.0
-71.8125,-75.625,-4.03515625,-5.203125,-77.5625,-76.75,-4.81640625,-5.24609375,3.8125,-0.8125
-73.4375,-76.0,-2.771484375,-3.720703125,-78.5625,-79.125,-4.93359375,-5.48046875,2.5625,0.5625
-82.1875,-81.875,-4.40625,-5.01953125,-83.8125,-83.1875,-7.5625,-7.80859375,-0.3125,-0.625
-81.125,-83.9375,-3.203125,-4.421875,-87.625,-85.625,-5.32421875,-5.39453125,2.8125,-2.0
-78.5,-79.875,-2.771484375,-2.97265625,-83.125,-82.875,-5.80078125,-5.94140625,1.375,-0.25
-76.1875,-79.6875,-3.837890625,-4.8984375,-79.25,-78.375,-5.25390625,-5.796875,3.5,-0.875
-79.0625,-80.3125,-3.6171875,-4.56640625,-78.9375,-80.125,-5.48828125,-5.88671875,1.25,1.1875
-78.375,-80.8125,-3.1640625,-4.0703125,-83.0,-81.625,-5.35546875,-6.01171875,2.4375,-1.375
-89.875,-91.125,-4.234375,-4.71484375,-87.5625,-88.3125,-4.140625,-4.6640625,1.25,0.75
-72.4375,-73.5,-4.078125,-4.8515625,-72.375,-74.125,-5.01953125,-5.3984375,1.0625,1.75
-74.6875,-77.0625,-3.345703125,-3.884765625,-79.5625,-76.1875,-4.62890625,-5.24609375,2.375,-3.375
-70.1875,-70.8125,-5.609375,-5.96484375,-69.1875,-69.875,-3.654296875,-3.783203125,0.625,0.6875
-76.6875,-77.125,-2.4921875,-2.849609375,-82.5,-82.5,-6.14453125,-6.55078125,0.4375,0.0
-70.25,-71.3125,-2.8203125,-3.794921875,-73.0,-74.8125,-4.65625,-4.73046875,1.0625,1.8125
-78.0625,-79.9375,-4.65234375,-5.17578125,-82.375,-81.375,-3.955078125,-4.30859375,1.875,-1.0
-78.625,-78.5625,-3.998046875,-3.927734375,-83.5,-84.0,-5.5703125,-5.78125,-0.0625,0.5
-74.375,-75.1875,-4.70703125,-5.4375,-76.1875,-77.0,-4.6640625,-4.54296875,0.8125,0.8125
-70.875,-72.25,-6.05859375,-6.51171875,-73.375,-73.6875,-6.6015625,-6.546875,1.375,0.3125
-75.375,-79.125,-3.97265625,-4.734375,-80.9375,-80.3125,-6.26953125,-6.71484375,3.75,-0.625
-85.0,-84.0625,-6.0078125,-6.12109375,-85.25,-85.875,-3.51953125,-3.599609375,-0.9375,0.625
-77.625,-78.75,-3.451171875,-4.52734375,-78.625,-81.1875,-4.26953125,-4.72265625,1.125,2.5625
-80.0,-80.625,-4.73828125,-5.125,-80.0,-79.8125,-4.34375,-4.71875,0.625,-0.1875
-84.125,-87.375,-3.1171875,-4.046875,-91.6875,-90.8125,-4.69921875,-5.2890625,3.25,-0.875
-72.125,-73.9375,-4.08984375,-4.953125,-74.0,-75.875,-5.09765625,-5.9609375,1.8125,1.875
-81.6875,-85.0,-3.28125,-3.802734375,-85.625,-83.5,-6.60546875,-6.890625,3.3125,-2.125
-70.6875,-71.875,-4.12890625,-5.6328125,-71.75,-74.125,-5.21875,-5.8046875,1.1875,2.375
-86.625,-86.8125,-2.888671875,-3.4296875,-89.3125,-89.625,-4.98046875,-5.3984375,0.1875,0.3125
-83.9375,-85.375,-4.0234375,-4.80078125,-87.8125,-87.4375,-5.9296875,-6.40625,1.4375,-0.375
-79.625,-80.125,-4.76953125,-5.0078125,-81.4375,-82.8125,-4.8359375,-5.0859375,0.5,1.375
-76.3125,-77.75,-4.0390625,-4.1953125,-81.6875,-81.5,-5.1328125,-5.65625,1.4375,-0.1875
-75.4375,-79.0625,-2.6015625,-4.7421875,-78.5625,-79.4375,-5.984375,-6.2578125,3.625,0.875
-83.9375,-84.375,-3.88671875,-4.203125,-84.125,-84.0,-4.3515625,-4.75,0.4375,-0.125
-75.0625,-74.8125,-3.283203125,-3.74609375,-76.3125,-78.6875,-6.19140625,-6.40625,-0.25,2.375
-82.0625,-81.875,-5.76953125,-6.1875,-86.6875,-86.3125,-5.703125,-6.1640625,-0.1875,-0.375
-72.8125,-74.75,-3.271484375,-4.03125,-77.25,-76.75,-4.66796875,-4.7578125,1.9375,-0.5
-73.25,-71.5,-4.00390625,-3.6015625,-74.0,-76.0625,-8.5234375,-9.578125,-1.75,2.0625
-80.1875,-80.9375,-2.892578125,-2.94921875,-82.375,-82.6875,-5.64453125,-6.109375,0.75,0.3125
-65.875,-67.3125,-3.9453125,-5.390625,-68.4375,-70.125,-6.640625,-6.984375,1.4375,1.6875
-61.3125,-62.90625,-1.546875,-1.9130859375,-67.9375,-66.9375,-5.4453125,-5.29296875,1.59375,-1.0
-75.9375,-77.375,-3.353515625,-4.40625,-80.375,-80.875,-5.03515625,-6.28515625,1.4375,0.5
-77.5,-77.1875,-2.970703125,-3.220703125,-78.8125,-79.75,-6.05078125,-6.62890625,-0.3125,0.9375
-70.125,-70.75,-2.75,-3.41015625,-74.875,-75.125,-6.61328125,-6.9296875,0.625,0.25
-70.8125,-73.5625,-4.17578125,-4.91015625,-73.5625,-72.125,-4.7578125,-5.08984375,2.75,-1.4375
-70.875,-72.9375,-2.498046875,-3.337890625,-77.8125,-76.9375,-4.13671875,-4.765625,2.0625,-0.875
-77.75,-77.5,-4.70703125,-4.82421875,-81.1875,-82.4375,-4.9609375,-5.19921875,-0.25,1.25
-78.75,-81.6875,-4.55859375,-5.3671875,-81.1875,-79.5,-8.28125,-8.0625,2.9375,-1.6875
-71.5625,-72.25,-2.6640625,-3.33984375,-76.375,-77.5625,-4.328125,-5.28515625,0.6875,1.1875
-67.0625,-71.0,-4.29296875,-5.81640625,-71.3125,-71.0,-4.2890625,-4.72265625,3.9375,-0.3125
