s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
3.75,-0.625,0.76171875,0.4453125
-0.9375,0.625,0.11328125,0.080078125
1.125,2.5625,1.076171875,0.453125
0.625,-0.1875,0.38671875,0.375
3.25,-0.875,0.9296875,0.58984375
1.8125,1.875,0.86328125,0.86328125
3.3125,-2.125,0.521484375,0.28515625
1.1875,2.375,1.50390625,0.5859375
0.1875,0.3125,0.541015625,0.41796875
1.4375,-0.375,0.77734375,0.4765625
0.5,1.375,0.23828125,0.25
1.4375,-0.1875,0.15625,0.5234375
3.625,0.875,2.140625,0.2734375
0.4375,-0.125,0.31640625,0.3984375
-0.25,2.375,0.462890625,0.21484375
-0.1875,-0.375,0.41796875,0.4609375
1.9375,-0.5,0.759765625,0.08984375
-1.75,2.0625,-0.40234375,1.0546875
0.75,0.3125,0.056640625,0.46484375
1.4375,1.6875,1.4453125,0.34375
1.59375,-1.0,0.3662109375,-0.15234375
1.4375,0.5,1.052734375,1.25
-0.3125,0.9375,0.25,0.578125
0.625,0.25,0.66015625,0.31640625
2.75,-1.4375,0.734375,0.33203125
2.0625,-0.875,0.83984375,0.62890625
-0.25,1.25,0.1171875,0.23828125
2.9375,-1.6875,0.80859375,-0.21875
0.6875,1.1875,0.67578125,0.95703125
3.9375,-0.3125,1.5234375,0.43359375
0.9375,-0.1875,0.53515625,0.09765625
0.5,0.4375,1.076171875,0.76171875
1.75,-0.0625,0.677734375,-0.03125
2.75,-1.0625,0.689453125,-0.1171875
-0.125,2.3125,0.609375,0.71484375
2.6875,-2.0625,1.544921875,0.595703125
1.8125,-0.375,0.912109375,0.640625
1.0625,-0.875,0.12109375,0.26171875
2.1875,0.625,0.705078125,0.99609375
-0.6875,2.625,0.43359375,0.7109375
2.125,-0.5,0.56640625,0.435546875
4.5,-1.6875,1.046875,0.23046875
1.125,0.0625,0.375,0.36328125
0.3125,0.375,0.31640625,0.2734375
1.875,0.5,0.74609375,1.193359375
0.6875,0.5625,0.7578125,0.69140625
2.125,-1.0,0.5,0.04296875
1.125,1.125,1.04296875,0.7734375
-0.4375,2.625,0.47265625,0.3359375
2.1875,-0.4375,0.66015625,0.3671875
3.0625,0.375,1.134765625,1.14453125
1.625,-1.25,0.1328125,0.453125
-3.125,4.25,-0.078125,0.9296875
1.0625,0.0625,0.962890625,0.60546875
0.25,1.125,0.568359375,0.57421875
1.625,-0.875,0.65625,0.80078125
1.875,1.0625,0.88671875,0.712890625
3.8125,-2.875,0.833984375,0.08203125
1.375,-0.125,0.18359375,0.2890625
0.9375,0.3125,0.859375,0.83984375
2.6875,-1.4375,0.6484375,0.47265625
1.3125,-0.5625,0.078125,0.4453125
2.5,-0.4375,0.4765625,0.3828125
-1.0625,2.75,-0.0234375,0.1953125
2.0625,0.5,0.73046875,0.4140625
1.125,0.5,0.603515625,0.7734375
1.875,1.3125,1.3984375,1.0078125
1.875,1.5625,1.681640625,0.05078125
-0.125,2.6875,0.810546875,0.796875
1.5,0.875,0.296875,0.62890625
1.5,-0.75,0.640625,0.40625
0.625,1.0,0.443359375,0.640625
1.75,0.9375,0.71875,0.2578125
-0.0625,1.4375,0.380859375,-0.00390625
-0.125,1.8125,0.2890625,0.203125
1.25,0.0625,0.88671875,0.265625
-0.75,3.1875,0.806640625,0.78125
3.125,-1.25,0.69140625,0.7265625
1.9375,0.25,0.607421875,0.4609375
-0.1875,2.5,0.171875,0.453125
2.0,0.3125,0.935546875,0.7265625
2.4375,0.125,0.763671875,0.84375
0.8125,0.9375,0.59765625,0.09375
5.8125,-4.0,1.30859375,0.109375
0.4375,2.1875,1.259765625,0.72265625
2.125,-0.625,0.595703125,0.375
4.0,-1.9375,1.0078125,0.931640625
2.25,-0.0625,0.375,0.515625
-0.625,0.25,0.1171875,0.2109375
2.0625,0.375,0.3828125,0.37109375
3.75,-2.1875,1.0390625,0.96484375
1.75,-0.25,0.5234375,0.40234375
1.875,-1.1875,0.5625,0.3125
2.625,-1.0,1.470703125,0.41796875
3.6875,-2.8125,0.578125,0.55078125
0.9375,1.375,0.34375,0.63671875
0.875,-0.1875,0.38671875,0.7578125
0.9375,0.0625,0.24609375,0.30859375
0.875,0.375,0.5390625,0.474609375
-0.75,2.5,0.5390625,0.4296875
1.125,0.125,0.4267578125,0.70703125
0.625,0.5625,0.705078125,0.29296875
1.625,-0.125,0.49609375,0.09765625
0.375,1.0,0.28125,0.44140625
4.375,-0.75,1.64453125,0.51171875
1.9375,-0.25,0.779296875,0.9609375
0.375,0.875,0.357421875,-0.203125
-0.3125,0.6875,0.078125,0.23828125
4.9375,-2.6875,0.99609375,0.54296875
0.75,-1.1875,0.451171875,0.34765625
0.375,0.75,0.5,0.1328125
2.125,-0.5625,0.818359375,0.62109375
2.6875,-1.8125,0.13671875,0.14453125
3.4375,-1.375,0.95703125,0.595703125
1.5,1.0,0.923828125,0.458984375
1.625,1.375,0.96875,0.296875
1.125,0.5,0.69921875,-0.03515625
1.9375,0.75,0.4453125,0.4453125
-2.0,2.0,-0.05859375,0.515625
0.75,1.875,1.310546875,0.68359375
3.0625,-0.8125,1.28125,0.44140625
0.625,0.1875,-0.109375,0.2421875
2.25,0.3125,0.390625,0.46484375
5.0,-3.1875,0.68359375,-0.65234375
0.5625,0.3125,1.212890625,0.59375
1.125,-0.5625,0.474609375,0.10546875
2.1875,-1.875,-0.06640625,0.18359375
2.8125,-1.8125,0.369140625,0.37890625
1.6875,-1.5,0.046875,0.33984375
2.875,-2.3125,0.7734375,-0.28125
1.1875,1.0625,1.45703125,0.857421875
2.375,-0.375,0.72265625,0.32421875
1.9375,0.3125,1.0625,0.55078125
0.3125,1.6875,0.822265625,0.78125
4.28125,-2.125,1.404296875,0.640625
0.875,1.25,0.58203125,0.32421875
3.0,-0.5,0.56640625,0.4453125
2.25,-0.75,0.640625,0.2578125
0.0,0.0625,0.255859375,0.49609375
1.125,0.125,0.75,-0.16015625
2.5625,0.375,1.06640625,0.76171875
2.125,-0.875,0.8046875,-0.0078125
-0.0625,0.625,0.16796875,0.51171875
1.875,-1.5,0.701171875,0.4140625
1.0625,-1.9375,0.0703125,0.484375
3.25,1.5,1.2939453125,1.2265625
-3.25,5.25,0.7734375,0.72265625
1.8125,-0.3125,0.880859375,0.814453125
1.375,0.875,0.908203125,0.40625
1.0625,0.375,0.33203125,0.64453125
0.3125,0.625,0.32421875,0.51171875
-0.1875,1.5625,1.228515625,0.76171875
1.6875,0.5625,1.771484375,0.3828125
2.1875,-0.9375,0.548828125,0.609375
0.125,0.3125,0.16796875,0.40625
0.5625,1.0,0.267578125,0.87890625
1.75,-0.9375,0.4140625,0.47265625
1.125,0.625,0.00390625,0.65234375
3.0,-1.1875,1.18359375,0.34375
2.375,1.1875,0.84375,0.01171875
0.125,2.3125,1.650390625,0.3984375
0.3125,-0.0625,0.37890625,0.15625
0.625,2.1875,0.90625,0.74609375
1.0,-0.625,0.34765625,0.93359375
-0.125,1.8125,0.80078125,-0.22265625
1.0,0.6875,0.55859375,0.35546875
1.8125,-1.1875,0.60546875,0.484375
4.0625,-0.8125,1.84765625,-0.140625
0.8125,-0.0625,0.3359375,0.87890625
0.5625,0.375,0.1796875,0.505859375
-1.75,2.4375,0.3203125,0.3046875
0.625,-0.9375,0.7265625,-0.1328125
1.5,0.1875,0.951171875,0.43359375
-0.875,1.5625,0.943359375,0.46484375
2.0625,-0.4375,1.060546875,0.0390625
0.5625,2.125,0.91015625,0.630859375
1.875,0.25,0.83984375,0.416015625
2.3125,-0.125,0.8359375,0.63671875
2.875,-3.375,0.046875,0.23828125
1.3125,-0.25,0.5546875,0.28515625
0.25,-0.125,0.869140625,0.69921875
2.5625,-1.125,0.6171875,0.474609375
1.375,-0.9375,0.84375,0.41796875
2.5,-0.625,1.03125,0.453125
6.5625,-1.8125,1.998046875,0.4140625
0.9375,1.6875,0.8125,0.66796875
3.0,-0.75,0.79296875,0.53125
1.5,0.0,0.513671875,1.0
-0.3125,1.9375,0.10546875,0.38671875
2.0625,-1.9375,0.419921875,0.326171875
2.625,-1.0,1.193359375,0.21484375
-0.0625,0.4375,0.58203125,0.25
1.625,1.625,1.509765625,0.77734375
1.625,0.4375,0.93359375,0.6015625
0.0,0.75,0.421875,0.2890625
1.625,0.125,0.0078125,0.70703125
1.125,0.125,0.892578125,0.2421875
3.1875,-1.25,0.916015625,0.56640625
2.125,0.5625,0.73828125,0.65625
0.375,1.375,0.376953125,0.58203125
1.9375,-1.75,0.22265625,0.609375
2.25,0.0625,0.875,0.5390625
-1.9375,2.9375,0.642578125,0.484375
2.125,-0.5625,0.5546875,0.64453125
0.0625,1.4375,-0.03125,0.86328125
4.5,-3.0625,1.330078125,0.56640625
1.625,0.0625,1.33203125,0.70703125
2.0625,1.3125,1.634765625,0.4609375
0.8125,0.625,0.734375,0.4140625
2.1875,-0.0625,0.8359375,0.26171875
1.1875,0.3125,1.052734375,0.505859375
0.875,-0.1875,0.3984375,0.4921875
0.5,-1.625,0.17578125,0.16796875
1.1875,-0.25,0.54296875,0.32421875
1.5625,0.5625,0.83203125,0.65234375
0.125,1.25,0.30859375,0.40234375
-0.625,2.0,0.58984375,0.65625
1.4375,-0.4375,0.95703125,0.87109375
1.9375,0.0,0.953125,0.6328125
4.1875,-2.0,1.896484375,0.328125
2.0625,-0.25,0.8125,0.5546875
-0.5625,2.5,-0.28125,0.48046875
2.8125,-1.375,1.306640625,0.28515625
1.75,0.8125,0.84765625,0.9140625
1.5625,-0.25,0.634765625,0.32421875
1.3125,-0.9375,0.18359375,0.67578125
1.3125,0.5,0.31640625,0.3984375
1.0,-1.1875,0.34375,0.640625
2.125,-0.4375,0.580078125,0.654296875
-2.3125,3.625,0.2890625,0.89453125
6.5,-3.0,2.416015625,0.6015625
2.6875,-1.5,0.525390625,0.375
2.6875,-1.375,0.34765625,0.35546875
1.4375,-0.875,0.62109375,0.16015625
-0.0625,1.6875,0.18359375,0.3671875
2.125,-1.1875,1.021484375,0.46484375
2.3125,-0.25,0.6640625,0.8203125
0.375,-0.4375,0.21484375,0.25
0.625,2.4375,1.06640625,0.35546875
-1.5625,3.125,0.12890625,0.47265625
2.3125,-0.1875,1.21875,0.34375
0.1875,0.9375,1.2421875,0.501953125
1.625,-0.625,0.578125,0.50390625
1.1875,0.25,0.8125,0.28125
2.1875,-0.5,0.61328125,0.26953125
-0.1875,1.3125,0.63671875,0.71484375
3.125,-1.125,0.18359375,1.01953125
0.0,0.8125,0.318359375,0.48046875
1.1875,-0.1875,0.4296875,0.1328125
1.9375,0.5625,1.158203125,0.87109375
4.125,-3.375,0.421875,0.30078125
-0.125,1.625,0.7734375,0.40234375
3.375,-1.1875,1.34375,0.1015625
2.3125,-2.875,-0.10546875,0.30859375
0.375,-0.4375,0.21484375,0.41796875
2.125,-0.6875,0.7734375,0.60546875
3.0625,-2.5625,0.359375,0.23828125
0.125,1.375,0.69921875,0.4296875
3.5625,0.0,0.12109375,0.73828125
2.375,-2.875,-0.2578125,0.671875
1.3125,0.0,0.51953125,0.0390625
2.875,-0.5,0.234375,0.39453125
-0.5,2.0,0.458984375,0.509765625
1.5,0.25,0.6171875,0.234375
1.1875,0.75,0.556640625,0.7890625
0.6875,-0.3125,0.220703125,0.357421875
0.3125,1.375,0.70703125,0.109375
0.125,1.375,0.9921875,0.421875
1.0,0.5,0.37109375,0.34765625
0.125,1.0625,0.66015625,0.4453125
4.75,-2.5625,1.044921875,-0.3828125
1.5,-0.8125,0.4833984375,0.734375
1.625,0.1875,1.123046875,0.18359375
3.3125,-1.5,0.865234375,0.5
1.8125,0.5,0.626953125,1.0078125
2.3125,-0.625,0.37109375,0.2265625
0.75,0.4375,0.380859375,0.287109375
2.8125,-1.3125,0.49609375,0.37109375
1.0625,0.4375,0.3125,0.02734375
-0.5625,1.25,-0.19921875,0.3984375
2.3125,-0.625,0.990234375,0.16796875
2.6875,-1.0,1.24609375,1.4296875
-0.875,1.9375,0.12890625,0.48828125
0.625,1.0,0.388671875,-0.09765625
4.3125,-1.75,1.30859375,-0.171875
1.1875,-1.375,0.14453125,0.271484375
-3.5,6.1875,0.47265625,0.6953125
1.25,0.4375,0.4765625,0.546875
0.875,0.75,0.876953125,0.65625
1.5,-0.5625,0.384765625,0.43359375
0.75,1.0625,0.50390625,0.30859375
0.0,-1.0625,-0.080078125,0.34375
2.3125,0.0,0.931640625,0.67578125
-0.1875,1.625,0.58984375,0.310546875
2.0625,-0.625,0.65625,0.28515625
0.6875,1.375,0.837890625,0.59765625
0.3125,3.0625,1.123046875,0.234375
5.875,-4.4375,0.919921875,0.32421875
1.5625,1.1875,1.1171875,1.0625
-0.0625,1.125,0.5625,-0.32421875
-0.3125,0.3125,0.927734375,0.513671875
1.5625,0.75,1.197265625,0.46484375
2.1875,-1.3125,0.76171875,0.56640625
1.25,0.9375,1.083984375,0.421875
3.125,-3.375,1.189453125,0.375
2.3125,-0.0625,0.85546875,0.5234375
3.375,-1.0625,1.53515625,0.5234375
3.9375,-1.9375,1.5,0.25
0.75,0.6875,0.33203125,0.541015625
1.8125,0.625,0.6875,0.90625
0.9375,1.9375,0.984375,0.94140625
1.5,0.75,0.890625,0.64453125
1.1875,-2.0,0.5078125,0.12890625
1.125,-0.25,0.677734375,0.1796875
0.4375,0.4375,0.19140625,0.51171875
2.75,-1.625,0.880859375,0.1484375
-0.4375,1.625,0.28515625,0.90234375
-0.5625,2.75,0.94140625,0.546875
2.25,-3.3125,0.482421875,0.03125
1.625,1.125,1.2109375,0.46484375
2.75,-1.25,1.517578125,0.78125
0.4375,1.0,0.5390625,0.12109375
2.8125,1.375,1.646484375,0.88671875
0.625,1.625,0.546875,0.55859375
1.625,0.4375,0.93359375,0.75390625
3.1875,-0.375,0.322265625,0.38671875
1.4375,0.0625,0.390625,0.63671875
1.5625,0.1875,0.61328125,0.72265625
3.4375,0.125,1.50390625,0.296875
1.9375,-0.6875,0.419921875,0.3359375
-1.0625,1.125,0.828125,0.17578125
1.0,0.25,0.966796875,0.55859375
3.0,-1.625,0.7890625,0.421875
2.3125,-0.0625,1.265625,0.8828125
2.3125,0.0625,0.603515625,0.9296875
-0.1875,1.625,-0.2109375,0.34375
2.125,-0.25,1.09375,0.12890625
5.25,-1.9375,0.28125,0.44140625
2.0625,0.3125,0.876953125,0.302734375
2.625,-0.25,0.640625,0.767578125
2.0625,-0.75,0.5078125,0.1171875
2.0625,-0.6875,0.642578125,0.80078125
0.625,-0.75,0.08984375,-0.11328125
0.6875,1.4375,1.509765625,0.64453125
1.875,0.9375,0.796875,0.5859375
0.75,0.4375,0.0,0.23828125
1.875,1.0,0.6875,0.7265625
2.3125,-0.5625,0.79296875,0.30078125
0.5,2.1875,1.23046875,0.5546875
1.25,0.4375,0.65625,0.73046875
1.4375,-0.1875,0.4921875,0.82421875
0.5625,1.8125,0.580078125,0.2109375
5.75,-2.9375,0.947265625,0.2578125
1.75,-1.4375,0.62109375,0.392578125
0.4375,1.9375,0.98828125,0.572265625
0.25,1.5625,0.482421875,0.41015625
3.1875,-0.625,1.671875,0.740234375
4.9375,-3.3125,0.666015625,0.814453125
4.1875,-0.375,1.728515625,0.890625
0.8125,0.375,0.609375,0.046875
0.4375,0.375,0.623046875,0.568359375
0.9375,0.0625,0.283203125,0.3203125
2.375,-0.1875,1.322265625,0.359375
0.8125,1.25,0.6640625,0.14453125
2.25,-1.1875,0.69140625,0.359375
1.0,1.3125,1.177734375,0.875
3.4375,-0.5,0.828125,1.474609375
1.375,1.0,0.8984375,0.611328125
0.75,-0.75,1.001953125,0.11328125
0.625,-0.875,0.609375,0.35546875
1.875,0.75,0.74609375,0.90234375
1.9375,-0.875,0.453125,0.5078125
0.0625,1.0,-0.0546875,0.4765625
1.125,0.9375,0.978515625,0.421875
1.375,-1.0625,0.16796875,0.53125
0.625,1.75,0.80078125,0.58203125
3.75,-1.9375,1.13671875,0.41015625
1.5,-0.5625,0.4375,0.26171875
1.625,-0.375,0.70703125,0.53515625
1.625,-0.625,0.193359375,0.50390625
1.6875,-0.125,-0.0390625,0.583984375
1.0,-0.5625,0.68359375,0.62109375
2.5,-1.8125,0.578125,0.57421875
1.4375,-1.25,0.18359375,0.31640625
2.0625,-2.0,1.220703125,0.78515625
2.0625,0.5,0.41796875,0.380859375
2.125,0.3125,0.654296875,0.3359375
-0.3125,1.875,0.755859375,0.40234375
6.5,-4.6875,2.1484375,0.37109375
0.9375,0.5625,0.8671875,0.609375
1.9375,2.0625,1.203125,1.1171875
2.5625,-2.125,0.802734375,0.365234375
1.96875,-1.0,0.0849609375,0.38671875
0.75,1.125,0.50390625,0.53125
0.9375,-0.4375,-0.00390625,0.62109375
3.25,-0.5,1.423828125,0.0078125
1.4375,0.4375,0.587890625,0.41796875
0.3125,1.3125,0.72265625,0.3984375
4.25,-3.125,0.541015625,1.015625
2.125,-1.0625,0.69140625,0.2734375
-0.5,1.625,0.3359375,0.69921875
1.9375,-0.375,0.3359375,0.5859375
1.875,1.0,1.345703125,0.31640625
2.0625,-1.6875,0.876953125,0.38671875
0.5,0.375,0.89453125,0.16796875
0.875,0.375,0.92578125,0.56640625
1.4375,-0.125,0.2578125,0.453125
0.875,0.6875,0.49609375,0.35546875
0.625,1.8125,0.7734375,0.38671875
2.4375,-1.4375,0.7109375,-0.1953125
1.8125,1.0625,0.71875,0.3828125
1.75,-0.4375,0.759765625,0.251953125
0.0625,1.8125,0.857421875,0.5234375
-0.5,3.375,0.955078125,0.9609375
0.0625,-0.5,-1.3203125,0.53515625
4.8125,-2.375,0.775390625,0.0703125
0.0,2.25,0.5234375,0.3125
3.375,-1.8125,0.8203125,0.6171875
2.0625,0.4375,1.873046875,0.80859375
1.1875,-0.6875,0.2109375,0.28125
1.5,-0.8125,0.1328125,0.3203125
1.75,0.125,0.287109375,0.48046875
3.9375,-1.1875,1.232421875,0.37109375
2.8125,-1.6875,0.95703125,0.4609375
3.1875,-2.375,0.47265625,0.2578125
-0.8125,2.0,0.203125,0.3203125
0.6875,1.0,0.19921875,0.16796875
-1.0,2.5,0.48046875,0.33984375
3.0625,-1.75,1.119140625,0.3125
3.8125,-1.875,0.900390625,0.59375
3.125,1.4375,1.39453125,0.375
1.4375,-1.8125,0.375,0.25390625
-1.4375,2.4375,0.62109375,0.64453125
0.625,1.625,0.66796875,0.78125
1.9375,-1.5,2.328125,0.48046875
0.3125,0.375,0.1640625,0.46875
1.8125,1.125,1.5390625,0.359375
2.75,0.25,0.89453125,0.390625
0.0625,1.1875,0.71875,0.890625
1.0625,-1.8125,0.86328125,0.904296875
2.375,-1.375,0.609375,0.22265625
1.875,-1.0,1.060546875,0.4296875
0.71875,-0.125,0.134765625,0.4453125
1.125,0.1875,0.015625,0.48828125
-0.875,1.1875,-0.140625,0.15234375
2.5625,-0.875,1.00390625,0.765625
2.25,0.4375,1.30078125,0.390625
1.25,0.25,0.36328125,0.72265625
2.625,0.1875,0.6015625,0.3515625
5.875,-5.0,0.2421875,0.46875
-0.8125,2.375,0.447265625,0.83984375
