item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,prompt_active,prompt_passive,prompt_no_demo,prompt_filler
10,a boy bothers a brother .,a brother is bothered by a boy .,a winner understands a woman .,a woman is understood by a winner .,The baker laughed during breakfast .,involving_event,did_to,mary_answered,"There was a bothering event involving a boy and a brother.
The one who did it was a boy.
The one it happened to was a brother.

Bridget asked, ""What happened?""
Mary answered, ""A boy bothers a brother.""

There was a understanding event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a bothering event involving a boy and a brother.
The one who did it was a boy.
The one it happened to was a brother.

Bridget asked, ""What happened?""
Mary answered, ""A brother is bothered by a boy.""

There was a understanding event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a understanding event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The baker laughed during breakfast.""

There was a understanding event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""The"
11,a man washes a manager .,a manager is washed by a man .,a woman beats a worker .,a worker is beaten by a woman .,The signal flickered across the screen .,involving_event,did_to,mary_answered,"There was a washing event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A man washes a manager.""

There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a washing event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A manager is washed by a man.""

There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The signal flickered across the screen.""

There was a beating event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"
12,a student describes a teacher .,a teacher is described by a student .,a wife kisses a winner .,a winner is kissed by a wife .,The tourist wandered through the plaza .,involving_event,did_to,mary_answered,"There was a describing event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""A student describes a teacher.""

There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""A teacher is described by a student.""

There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tourist wandered through the plaza.""

There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""The"
13,a guy raises a hero .,a hero is raised by a guy .,a professor asks a reader .,a reader is asked by a professor .,The kettle whistled in the kitchen .,involving_event,did_to,mary_answered,"There was a raising event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""A guy raises a hero.""

There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a raising event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""A hero is raised by a guy.""

There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The kettle whistled in the kitchen.""

There was a asking event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The"
14,a minister surprises a mother .,a mother is surprised by a minister .,a daughter describes a doctor .,a doctor is described by a daughter .,The garden brightened after rain .,involving_event,did_to,mary_answered,"There was a surprising event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister surprises a mother.""

There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a surprising event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is surprised by a minister.""

There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The garden brightened after rain.""

There was a describing event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"
15,a buddy comforts a candidate .,a candidate is comforted by a buddy .,an author carries a bishop .,a bishop is carried by an author .,The jacket hung behind the chair .,involving_event,did_to,mary_answered,"There was a comforting event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""A buddy comforts a candidate.""

There was a carrying event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a comforting event involving a buddy and a candidate.
The one who did it was a buddy.
The one it happened to was a candidate.

Bridget asked, ""What happened?""
Mary answered, ""A candidate is comforted by a buddy.""

There was a carrying event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The jacket hung behind the chair.""

There was a carrying event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
16,an author teaches a bishop .,a bishop is taught by an author .,a parent joins a partner .,a partner is joined by a parent .,The radio crackled in the attic .,involving_event,did_to,mary_answered,"There was a teaching event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""An author teaches a bishop.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""A bishop is taught by an author.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The radio crackled in the attic.""

There was a joining event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"
17,a champion kisses a chief .,a chief is kissed by a champion .,a hero protects a husband .,a husband is protected by a hero .,The witness paused near the doorway .,involving_event,did_to,mary_answered,"There was a kissing event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""A champion kisses a chief.""

There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""A chief is kissed by a champion.""

There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The witness paused near the doorway.""

There was a protecting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"
18,an adult kills an attorney .,an attorney is killed by an adult .,a student hurts a teacher .,a teacher is hurt by a student .,The package arrived before noon .,involving_event,did_to,mary_answered,"There was a killing event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""An adult kills an attorney.""

There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""An attorney is killed by an adult.""

There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was a hurting event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"
19,a hero comforts a husband .,a husband is comforted by a hero .,a daughter protects a doctor .,a doctor is protected by a daughter .,The sculpture stood in the hallway .,involving_event,did_to,mary_answered,"There was a comforting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A hero comforts a husband.""

There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a comforting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A husband is comforted by a hero.""

There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The sculpture stood in the hallway.""

There was a protecting event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"
20,a lady comforts a lawyer .,a lawyer is comforted by a lady .,a professor kills a reader .,a reader is killed by a professor .,The captain waited beside the harbor .,involving_event,did_to,mary_answered,"There was a comforting event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""A lady comforts a lawyer.""

There was a killing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a comforting event involving a lady and a lawyer.
The one who did it was a lady.
The one it happened to was a lawyer.

Bridget asked, ""What happened?""
Mary answered, ""A lawyer is comforted by a lady.""

There was a killing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The captain waited beside the harbor.""

There was a killing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""The"
21,a professor washes a reader .,a reader is washed by a professor .,an author kisses a bishop .,a bishop is kissed by an author .,The teacher listened during assembly .,involving_event,did_to,mary_answered,"There was a washing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""A professor washes a reader.""

There was a kissing event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a washing event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""A reader is washed by a professor.""

There was a kissing event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The teacher listened during assembly.""

There was a kissing event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
22,a mayor selects a minister .,a minister is selected by a mayor .,a parent describes a partner .,a partner is described by a parent .,The violin echoed in the theater .,involving_event,did_to,mary_answered,"There was a selecting event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""A mayor selects a minister.""

There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a selecting event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""A minister is selected by a mayor.""

There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The violin echoed in the theater.""

There was a describing event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"
23,a prince describes a princess .,a princess is described by a prince .,a doctor forgives an employee .,an employee is forgiven by a doctor .,The pillow rested on the sofa .,involving_event,did_to,mary_answered,"There was a describing event involving a prince and a princess.
The one who did it was a prince.
The one it happened to was a princess.

Bridget asked, ""What happened?""
Mary answered, ""A prince describes a princess.""

There was a forgiving event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a prince and a princess.
The one who did it was a prince.
The one it happened to was a princess.

Bridget asked, ""What happened?""
Mary answered, ""A princess is described by a prince.""

There was a forgiving event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The pillow rested on the sofa.""

There was a forgiving event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"
24,a girl judges a guest .,a guest is judged by a girl .,a doctor strikes an employee .,an employee is struck by a doctor .,The lantern glowed near sunset .,involving_event,did_to,mary_answered,"There was a judging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""A girl judges a guest.""

There was a striking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""A guest is judged by a girl.""

There was a striking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a striking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was a striking event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"
